아누비스의 가면,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,0,최종 DEX 0% 증가,-,0,💎 100,100
,1,최종 DEX 1% 증가,1,1,-,100
,2,최종 DEX 2% 증가,2,3,-,100
,3,최종 DEX 3% 증가,4,7,-,100
,4,최종 DEX 4% 증가,6,13,-,100
,5,최종 DEX 5% 증가,8,21,💎 105,205
,6,최종 DEX 6% 증가,10,31,-,205
,7,최종 DEX 7% 증가,12,43,-,205
,8,최종 DEX 8% 증가,14,57,-,205
,9,최종 DEX 9% 증가,16,73,-,205
,10,최종 DEX 10% 증가,18,91,💎 111,316
,11,최종 DEX 11% 증가,20,111,-,316
,12,최종 DEX 12% 증가,22,133,-,316
,13,최종 DEX 13% 증가,24,157,-,316
,14,최종 DEX 14% 증가,27,184,-,316
,15,최종 DEX 15% 증가,29,213,💎 117,433
,16,최종 DEX 16% 증가,31,244,-,433
,17,최종 DEX 17% 증가,34,278,-,433
,18,최종 DEX 18% 증가,36,314,-,433
,19,최종 DEX 19% 증가,38,352,-,433
,20,최종 DEX 20% 증가,41,393,💎 122,555
,21,최종 DEX 21% 증가,43,436,-,555
,22,최종 DEX 22% 증가,45,481,-,555
,23,최종 DEX 23% 증가,48,529,-,555
,24,최종 DEX 24% 증가,50,579,-,555
,25,최종 DEX 25% 증가,53,632,💎 129,684
,26,최종 DEX 26% 증가,55,687,-,684
,27,최종 DEX 27% 증가,58,745,-,684
,28,최종 DEX 28% 증가,60,805,-,684
,29,최종 DEX 29% 증가,63,868,-,684
,30,최종 DEX 30% 증가,65,933,💎 135,819
,31,최종 DEX 31% 증가,68,"1,001",-,819
,32,최종 DEX 32% 증가,70,"1,071",-,819
,33,최종 DEX 33% 증가,73,"1,144",-,819
,34,최종 DEX 34% 증가,75,"1,219",-,819
,35,최종 DEX 35% 증가,78,"1,297",💎 142,961
,36,최종 DEX 36% 증가,81,"1,378",-,961
,37,최종 DEX 37% 증가,83,"1,461",-,961
,38,최종 DEX 38% 증가,86,"1,547",-,961
,39,최종 DEX 39% 증가,88,"1,635",-,961
,40,최종 DEX 40% 증가,91,"1,726",💎 149,"1,110"
,41,최종 DEX 41% 증가,94,"1,820",-,"1,110"
,42,최종 DEX 42% 증가,96,"1,916",-,"1,110"
,43,최종 DEX 43% 증가,99,"2,015",-,"1,110"
,44,최종 DEX 44% 증가,102,"2,117",-,"1,110"
,45,최종 DEX 45% 증가,104,"2,221",💎 157,"1,267"
,46,최종 DEX 46% 증가,107,"2,328",-,"1,267"
,47,최종 DEX 47% 증가,110,"2,438",-,"1,267"
,48,최종 DEX 48% 증가,112,"2,550",-,"1,267"
,49,최종 DEX 49% 증가,115,"2,665",-,"1,267"
,50,최종 DEX 50% 증가,118,"2,783",💎 165,"1,432"
,51,최종 DEX 51% 증가,121,"2,904",-,"1,432"
,52,최종 DEX 52% 증가,123,"3,027",-,"1,432"
,53,최종 DEX 53% 증가,126,"3,153",-,"1,432"
,54,최종 DEX 54% 증가,129,"3,282",-,"1,432"
,55,최종 DEX 55% 증가,131,"3,413",💎 174,"1,606"
,56,최종 DEX 56% 증가,134,"3,547",-,"1,606"
,57,최종 DEX 57% 증가,137,"3,684",-,"1,606"
,58,최종 DEX 58% 증가,140,"3,824",-,"1,606"
,59,최종 DEX 59% 증가,142,"3,966",-,"1,606"
,60,최종 DEX 60% 증가,145,"4,111",💎 183,"1,789"
,61,최종 DEX 61% 증가,148,"4,259",-,"1,789"
,62,최종 DEX 62% 증가,151,"4,410",-,"1,789"
,63,최종 DEX 63% 증가,154,"4,564",-,"1,789"
,64,최종 DEX 64% 증가,156,"4,720",-,"1,789"
,65,최종 DEX 65% 증가,159,"4,879",💎 193,"1,982"
,66,최종 DEX 66% 증가,162,"5,041",-,"1,982"
,67,최종 DEX 67% 증가,165,"5,206",-,"1,982"
,68,최종 DEX 68% 증가,168,"5,374",-,"1,982"
,69,최종 DEX 69% 증가,170,"5,544",-,"1,982"
,70,최종 DEX 70% 증가,173,"5,717",💎 204,"2,186"
,71,최종 DEX 71% 증가,176,"5,893",-,"2,186"
,72,최종 DEX 72% 증가,179,"6,072",-,"2,186"
,73,최종 DEX 73% 증가,182,"6,254",-,"2,186"
,74,최종 DEX 74% 증가,185,"6,439",-,"2,186"
,75,최종 DEX 75% 증가,187,"6,626",💎 215,"2,401"
,76,최종 DEX 76% 증가,190,"6,816",-,"2,401"
,77,최종 DEX 77% 증가,193,"7,009",-,"2,401"
,78,최종 DEX 78% 증가,196,"7,205",-,"2,401"
,79,최종 DEX 79% 증가,199,"7,404",-,"2,401"
,80,최종 DEX 80% 증가,202,"7,606",💎 227,"2,628"
,81,최종 DEX 81% 증가,205,"7,811",-,"2,628"
,82,최종 DEX 82% 증가,207,"8,018",-,"2,628"
,83,최종 DEX 83% 증가,210,"8,228",-,"2,628"
,84,최종 DEX 84% 증가,213,"8,441",-,"2,628"
,85,최종 DEX 85% 증가,216,"8,657",💎 241,"2,869"
,86,최종 DEX 86% 증가,219,"8,876",-,"2,869"
,87,최종 DEX 87% 증가,222,"9,098",-,"2,869"
,88,최종 DEX 88% 증가,225,"9,323",-,"2,869"
,89,최종 DEX 89% 증가,228,"9,551",-,"2,869"
,90,최종 DEX 90% 증가,231,"9,782",💎 255,"3,124"
,91,최종 DEX 91% 증가,233,"10,015",-,"3,124"
,92,최종 DEX 92% 증가,236,"10,251",-,"3,124"
,93,최종 DEX 93% 증가,239,"10,490",-,"3,124"
,94,최종 DEX 94% 증가,242,"10,732",-,"3,124"
,95,최종 DEX 95% 증가,245,"10,977",💎 270,"3,394"
,96,최종 DEX 96% 증가,248,"11,225",-,"3,394"
,97,최종 DEX 97% 증가,251,"11,476",-,"3,394"
,98,최종 DEX 98% 증가,254,"11,730",-,"3,394"
,99,최종 DEX 99% 증가,257,"11,987",-,"3,394"
,100,최종 DEX 100% 증가,260,"12,247",💎 286,"3,680"
,101,최종 DEX 101% 증가,263,"12,510",-,"3,680"
,102,최종 DEX 102% 증가,266,"12,776",-,"3,680"
,103,최종 DEX 103% 증가,269,"13,045",-,"3,680"
,104,최종 DEX 104% 증가,272,"13,317",-,"3,680"
,105,최종 DEX 105% 증가,275,"13,592",💎 304,"3,984"
,106,최종 DEX 106% 증가,278,"13,870",-,"3,984"
,107,최종 DEX 107% 증가,281,"14,151",-,"3,984"
,108,최종 DEX 108% 증가,284,"14,435",-,"3,984"
,109,최종 DEX 109% 증가,287,"14,722",-,"3,984"
,110,최종 DEX 110% 증가,289,"15,011",💎 322,"4,306"
,111,최종 DEX 111% 증가,292,"15,303",-,"4,306"
,112,최종 DEX 112% 증가,295,"15,598",-,"4,306"
,113,최종 DEX 113% 증가,298,"15,896",-,"4,306"
,114,최종 DEX 114% 증가,301,"16,197",-,"4,306"
,115,최종 DEX 115% 증가,304,"16,501",💎 342,"4,648"
,116,최종 DEX 116% 증가,307,"16,808",-,"4,648"
,117,최종 DEX 117% 증가,310,"17,118",-,"4,648"
,118,최종 DEX 118% 증가,313,"17,431",-,"4,648"
,119,최종 DEX 119% 증가,316,"17,747",-,"4,648"
,120,최종 DEX 120% 증가,319,"18,066",💎 363,"5,011"
