어둠에 물든 구슬,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,0,이세계의 재화 2배 획득 확률 0% 증가,-,0,💎 100,100
,1,이세계의 재화 2배 획득 확률 0.5% 증가,3,3,-,100
,2,이세계의 재화 2배 획득 확률 1% 증가,8,11,-,100
,3,이세계의 재화 2배 획득 확률 1.5% 증가,13,24,-,100
,4,이세계의 재화 2배 획득 확률 2% 증가,18,42,-,100
,5,이세계의 재화 2배 획득 확률 2.5% 증가,24,66,💎 109,209
,6,이세계의 재화 2배 획득 확률 3% 증가,30,96,-,209
,7,이세계의 재화 2배 획득 확률 3.5% 증가,36,132,-,209
,8,이세계의 재화 2배 획득 확률 4% 증가,43,175,-,209
,9,이세계의 재화 2배 획득 확률 4.5% 증가,49,224,-,209
,10,이세계의 재화 2배 획득 확률 5% 증가,56,280,💎 121,330
,11,이세계의 재화 2배 획득 확률 5.5% 증가,62,342,-,330
,12,이세계의 재화 2배 획득 확률 6% 증가,69,411,-,330
,13,이세계의 재화 2배 획득 확률 6.5% 증가,76,487,-,330
,14,이세계의 재화 2배 획득 확률 7% 증가,83,570,-,330
,15,이세계의 재화 2배 획득 확률 7.5% 증가,90,660,💎 137,467
,16,이세계의 재화 2배 획득 확률 8% 증가,97,757,-,467
,17,이세계의 재화 2배 획득 확률 8.5% 증가,104,861,-,467
,18,이세계의 재화 2배 획득 확률 9% 증가,111,972,-,467
,19,이세계의 재화 2배 획득 확률 9.5% 증가,118,"1,090",-,467
,20,이세계의 재화 2배 획득 확률 10% 증가,126,"1,216",💎 160,627
,21,이세계의 재화 2배 획득 확률 10.5% 증가,133,"1,349",-,627
,22,이세계의 재화 2배 획득 확률 11% 증가,140,"1,489",-,627
,23,이세계의 재화 2배 획득 확률 11.5% 증가,148,"1,637",-,627
,24,이세계의 재화 2배 획득 확률 12% 증가,155,"1,792",-,627
,25,이세계의 재화 2배 획득 확률 12.5% 증가,163,"1,955",💎 192,819
,26,이세계의 재화 2배 획득 확률 13% 증가,171,"2,126",-,819
,27,이세계의 재화 2배 획득 확률 13.5% 증가,178,"2,304",-,819
,28,이세계의 재화 2배 획득 확률 14% 증가,186,"2,490",-,819
,29,이세계의 재화 2배 획득 확률 14.5% 증가,194,"2,684",-,819
,30,이세계의 재화 2배 획득 확률 15% 증가,201,"2,885",💎 235,"1,054"
,31,이세계의 재화 2배 획득 확률 15.5% 증가,209,"3,094",-,"1,054"
,32,이세계의 재화 2배 획득 확률 16% 증가,217,"3,311",-,"1,054"
,33,이세계의 재화 2배 획득 확률 16.5% 증가,225,"3,536",-,"1,054"
,34,이세계의 재화 2배 획득 확률 17% 증가,233,"3,769",-,"1,054"
,35,이세계의 재화 2배 획득 확률 17.5% 증가,241,"4,010",💎 292,"1,346"
,36,이세계의 재화 2배 획득 확률 18% 증가,249,"4,259",-,"1,346"
,37,이세계의 재화 2배 획득 확률 18.5% 증가,257,"4,516",-,"1,346"
,38,이세계의 재화 2배 획득 확률 19% 증가,265,"4,781",-,"1,346"
,39,이세계의 재화 2배 획득 확률 19.5% 증가,273,"5,054",-,"1,346"
,40,이세계의 재화 2배 획득 확률 20% 증가,281,"5,335",💎 365,"1,711"
,41,이세계의 재화 2배 획득 확률 20.5% 증가,289,"5,624",-,"1,711"
,42,이세계의 재화 2배 획득 확률 21% 증가,297,"5,921",-,"1,711"
,43,이세계의 재화 2배 획득 확률 21.5% 증가,305,"6,226",-,"1,711"
,44,이세계의 재화 2배 획득 확률 22% 증가,313,"6,539",-,"1,711"
,45,이세계의 재화 2배 획득 확률 22.5% 증가,322,"6,861",💎 455,"2,166"
,46,이세계의 재화 2배 획득 확률 23% 증가,330,"7,191",-,"2,166"
,47,이세계의 재화 2배 획득 확률 23.5% 증가,338,"7,529",-,"2,166"
,48,이세계의 재화 2배 획득 확률 24% 증가,346,"7,875",-,"2,166"
,49,이세계의 재화 2배 획득 확률 24.5% 증가,355,"8,230",-,"2,166"
,50,이세계의 재화 2배 획득 확률 25% 증가,363,"8,593",💎 567,"2,733"
,51,이세계의 재화 2배 획득 확률 25.5% 증가,371,"8,964",-,"2,733"
,52,이세계의 재화 2배 획득 확률 26% 증가,380,"9,344",-,"2,733"
,53,이세계의 재화 2배 획득 확률 26.5% 증가,388,"9,732",-,"2,733"
,54,이세계의 재화 2배 획득 확률 27% 증가,396,"10,128",-,"2,733"
,55,이세계의 재화 2배 획득 확률 27.5% 증가,405,"10,533",💎 701,"3,434"
,56,이세계의 재화 2배 획득 확률 28% 증가,413,"10,946",-,"3,434"
,57,이세계의 재화 2배 획득 확률 28.5% 증가,422,"11,368",-,"3,434"
,58,이세계의 재화 2배 획득 확률 29% 증가,430,"11,798",-,"3,434"
,59,이세계의 재화 2배 획득 확률 29.5% 증가,439,"12,237",-,"3,434"
,60,이세계의 재화 2배 획득 확률 30% 증가,447,"12,684",💎 859,"4,293"
,61,이세계의 재화 2배 획득 확률 30.5% 증가,456,"13,140",-,"4,293"
,62,이세계의 재화 2배 획득 확률 31% 증가,464,"13,604",-,"4,293"
,63,이세계의 재화 2배 획득 확률 31.5% 증가,473,"14,077",-,"4,293"
,64,이세계의 재화 2배 획득 확률 32% 증가,482,"14,559",-,"4,293"
,65,이세계의 재화 2배 획득 확률 32.5% 증가,490,"15,049","💎 1,045","5,338"
,66,이세계의 재화 2배 획득 확률 33% 증가,499,"15,548",-,"5,338"
,67,이세계의 재화 2배 획득 확률 33.5% 증가,507,"16,055",-,"5,338"
,68,이세계의 재화 2배 획득 확률 34% 증가,516,"16,571",-,"5,338"
,69,이세계의 재화 2배 획득 확률 34.5% 증가,525,"17,096",-,"5,338"
,70,이세계의 재화 2배 획득 확률 35% 증가,533,"17,629","💎 1,260","6,598"
