고룡의 비늘,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,0,최종 크리티컬 데미지 0% 증가,-,0,💎 100,100
,1,최종 크리티컬 데미지 1% 증가,2,2,-,100
,2,최종 크리티컬 데미지 2% 증가,5,7,-,100
,3,최종 크리티컬 데미지 3% 증가,8,15,-,100
,4,최종 크리티컬 데미지 4% 증가,11,26,-,100
,5,최종 크리티컬 데미지 5% 증가,14,40,💎 103,203
,6,최종 크리티컬 데미지 6% 증가,18,58,-,203
,7,최종 크리티컬 데미지 7% 증가,21,79,-,203
,8,최종 크리티컬 데미지 8% 증가,25,104,-,203
,9,최종 크리티컬 데미지 9% 증가,28,132,-,203
,10,최종 크리티컬 데미지 10% 증가,32,164,💎 106,309
,11,최종 크리티컬 데미지 11% 증가,36,200,-,309
,12,최종 크리티컬 데미지 12% 증가,40,240,-,309
,13,최종 크리티컬 데미지 13% 증가,43,283,-,309
,14,최종 크리티컬 데미지 14% 증가,47,330,-,309
,15,최종 크리티컬 데미지 15% 증가,51,381,💎 109,418
,16,최종 크리티컬 데미지 16% 증가,55,436,-,418
,17,최종 크리티컬 데미지 17% 증가,59,495,-,418
,18,최종 크리티컬 데미지 18% 증가,63,558,-,418
,19,최종 크리티컬 데미지 19% 증가,67,625,-,418
,20,최종 크리티컬 데미지 20% 증가,71,696,💎 113,531
,21,최종 크리티컬 데미지 21% 증가,75,771,-,531
,22,최종 크리티컬 데미지 22% 증가,79,850,-,531
,23,최종 크리티컬 데미지 23% 증가,84,934,-,531
,24,최종 크리티컬 데미지 24% 증가,88,"1,022",-,531
,25,최종 크리티컬 데미지 25% 증가,92,"1,114",💎 117,648
,26,최종 크리티컬 데미지 26% 증가,96,"1,210",-,648
,27,최종 크리티컬 데미지 27% 증가,100,"1,310",-,648
,28,최종 크리티컬 데미지 28% 증가,105,"1,415",-,648
,29,최종 크리티컬 데미지 29% 증가,109,"1,524",-,648
,30,최종 크리티컬 데미지 30% 증가,113,"1,637",💎 122,770
,31,최종 크리티컬 데미지 31% 증가,117,"1,754",-,770
,32,최종 크리티컬 데미지 32% 증가,122,"1,876",-,770
,33,최종 크리티컬 데미지 33% 증가,126,"2,002",-,770
,34,최종 크리티컬 데미지 34% 증가,130,"2,132",-,770
,35,최종 크리티컬 데미지 35% 증가,135,"2,267",💎 127,897
,36,최종 크리티컬 데미지 36% 증가,139,"2,406",-,897
,37,최종 크리티컬 데미지 37% 증가,144,"2,550",-,897
,38,최종 크리티컬 데미지 38% 증가,148,"2,698",-,897
,39,최종 크리티컬 데미지 39% 증가,152,"2,850",-,897
,40,최종 크리티컬 데미지 40% 증가,157,"3,007",💎 133,"1,030"
,41,최종 크리티컬 데미지 41% 증가,161,"3,168",-,"1,030"
,42,최종 크리티컬 데미지 42% 증가,166,"3,334",-,"1,030"
,43,최종 크리티컬 데미지 43% 증가,170,"3,504",-,"1,030"
,44,최종 크리티컬 데미지 44% 증가,175,"3,679",-,"1,030"
,45,최종 크리티컬 데미지 45% 증가,179,"3,858",💎 140,"1,170"
,46,최종 크리티컬 데미지 46% 증가,184,"4,042",-,"1,170"
,47,최종 크리티컬 데미지 47% 증가,188,"4,230",-,"1,170"
,48,최종 크리티컬 데미지 48% 증가,193,"4,423",-,"1,170"
,49,최종 크리티컬 데미지 49% 증가,197,"4,620",-,"1,170"
,50,최종 크리티컬 데미지 50% 증가,202,"4,822",💎 148,"1,318"
,51,최종 크리티컬 데미지 51% 증가,207,"5,029",-,"1,318"
,52,최종 크리티컬 데미지 52% 증가,211,"5,240",-,"1,318"
,53,최종 크리티컬 데미지 53% 증가,216,"5,456",-,"1,318"
,54,최종 크리티컬 데미지 54% 증가,220,"5,676",-,"1,318"
,55,최종 크리티컬 데미지 55% 증가,225,"5,901",💎 157,"1,475"
,56,최종 크리티컬 데미지 56% 증가,229,"6,130",-,"1,475"
,57,최종 크리티컬 데미지 57% 증가,234,"6,364",-,"1,475"
,58,최종 크리티컬 데미지 58% 증가,239,"6,603",-,"1,475"
,59,최종 크리티컬 데미지 59% 증가,243,"6,846",-,"1,475"
,60,최종 크리티컬 데미지 60% 증가,248,"7,094",💎 168,"1,643"
,61,최종 크리티컬 데미지 61% 증가,253,"7,347",-,"1,643"
,62,최종 크리티컬 데미지 62% 증가,257,"7,604",-,"1,643"
,63,최종 크리티컬 데미지 63% 증가,262,"7,866",-,"1,643"
