황금 인장 반지,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,0,환생 포인트 획득량 0% 증가,-,0,💎 100,100
,1,환생 포인트 획득량 1% 증가,1,1,-,100
,2,환생 포인트 획득량 2% 증가,2,3,-,100
,3,환생 포인트 획득량 3% 증가,3,6,-,100
,4,환생 포인트 획득량 4% 증가,5,11,-,100
,5,환생 포인트 획득량 5% 증가,6,17,💎 104,204
,6,환생 포인트 획득량 6% 증가,8,25,-,204
,7,환생 포인트 획득량 7% 증가,9,34,-,204
,8,환생 포인트 획득량 8% 증가,11,45,-,204
,9,환생 포인트 획득량 9% 증가,12,57,-,204
,10,환생 포인트 획득량 10% 증가,14,71,💎 108,312
,11,환생 포인트 획득량 11% 증가,15,86,-,312
,12,환생 포인트 획득량 12% 증가,17,103,-,312
,13,환생 포인트 획득량 13% 증가,18,121,-,312
,14,환생 포인트 획득량 14% 증가,20,141,-,312
,15,환생 포인트 획득량 15% 증가,22,163,💎 112,424
,16,환생 포인트 획득량 16% 증가,23,186,-,424
,17,환생 포인트 획득량 17% 증가,25,211,-,424
,18,환생 포인트 획득량 18% 증가,27,238,-,424
,19,환생 포인트 획득량 19% 증가,28,266,-,424
,20,환생 포인트 획득량 20% 증가,30,296,💎 117,541
,21,환생 포인트 획득량 21% 증가,32,328,-,541
,22,환생 포인트 획득량 22% 증가,33,361,-,541
,23,환생 포인트 획득량 23% 증가,35,396,-,541
,24,환생 포인트 획득량 24% 증가,37,433,-,541
,25,환생 포인트 획득량 25% 증가,39,472,💎 122,663
,26,환생 포인트 획득량 26% 증가,40,512,-,663
,27,환생 포인트 획득량 27% 증가,42,554,-,663
,28,환생 포인트 획득량 28% 증가,44,598,-,663
,29,환생 포인트 획득량 29% 증가,46,644,-,663
,30,환생 포인트 획득량 30% 증가,47,691,💎 127,790
,31,환생 포인트 획득량 31% 증가,49,740,-,790
,32,환생 포인트 획득량 32% 증가,51,791,-,790
,33,환생 포인트 획득량 33% 증가,53,844,-,790
,34,환생 포인트 획득량 34% 증가,54,898,-,790
,35,환생 포인트 획득량 35% 증가,56,954,💎 133,923
,36,환생 포인트 획득량 36% 증가,58,"1,012",-,923
,37,환생 포인트 획득량 37% 증가,60,"1,072",-,923
,38,환생 포인트 획득량 38% 증가,62,"1,134",-,923
,39,환생 포인트 획득량 39% 증가,63,"1,197",-,923
,40,환생 포인트 획득량 40% 증가,65,"1,262",💎 139,"1,062"
,41,환생 포인트 획득량 41% 증가,67,"1,329",-,"1,062"
,42,환생 포인트 획득량 42% 증가,69,"1,398",-,"1,062"
,43,환생 포인트 획득량 43% 증가,71,"1,469",-,"1,062"
,44,환생 포인트 획득량 44% 증가,73,"1,542",-,"1,062"
,45,환생 포인트 획득량 45% 증가,74,"1,616",💎 146,"1,208"
,46,환생 포인트 획득량 46% 증가,76,"1,692",-,"1,208"
,47,환생 포인트 획득량 47% 증가,78,"1,770",-,"1,208"
,48,환생 포인트 획득량 48% 증가,80,"1,850",-,"1,208"
,49,환생 포인트 획득량 49% 증가,82,"1,932",-,"1,208"
,50,환생 포인트 획득량 50% 증가,84,"2,016",💎 153,"1,361"
,51,환생 포인트 획득량 51% 증가,86,"2,102",-,"1,361"
,52,환생 포인트 획득량 52% 증가,87,"2,189",-,"1,361"
,53,환생 포인트 획득량 53% 증가,89,"2,278",-,"1,361"
,54,환생 포인트 획득량 54% 증가,91,"2,369",-,"1,361"
,55,환생 포인트 획득량 55% 증가,93,"2,462",💎 161,"1,522"
,56,환생 포인트 획득량 56% 증가,95,"2,557",-,"1,522"
,57,환생 포인트 획득량 57% 증가,97,"2,654",-,"1,522"
,58,환생 포인트 획득량 58% 증가,99,"2,753",-,"1,522"
,59,환생 포인트 획득량 59% 증가,100,"2,853",-,"1,522"
,60,환생 포인트 획득량 60% 증가,102,"2,955",💎 171,"1,693"
,61,환생 포인트 획득량 61% 증가,104,"3,059",-,"1,693"
,62,환생 포인트 획득량 62% 증가,106,"3,165",-,"1,693"
,63,환생 포인트 획득량 63% 증가,108,"3,273",-,"1,693"
,64,환생 포인트 획득량 64% 증가,110,"3,383",-,"1,693"
,65,환생 포인트 획득량 65% 증가,112,"3,495",💎 181,"1,874"
,66,환생 포인트 획득량 66% 증가,114,"3,609",-,"1,874"
,67,환생 포인트 획득량 67% 증가,116,"3,725",-,"1,874"
,68,환생 포인트 획득량 68% 증가,118,"3,843",-,"1,874"
,69,환생 포인트 획득량 69% 증가,119,"3,962",-,"1,874"
,70,환생 포인트 획득량 70% 증가,121,"4,083",💎 192,"2,066"
,71,환생 포인트 획득량 71% 증가,123,"4,206",-,"2,066"
,72,환생 포인트 획득량 72% 증가,125,"4,331",-,"2,066"
,73,환생 포인트 획득량 73% 증가,127,"4,458",-,"2,066"
,74,환생 포인트 획득량 74% 증가,129,"4,587",-,"2,066"
,75,환생 포인트 획득량 75% 증가,131,"4,718",💎 204,"2,270"
,76,환생 포인트 획득량 76% 증가,133,"4,851",-,"2,270"
,77,환생 포인트 획득량 77% 증가,135,"4,986",-,"2,270"
,78,환생 포인트 획득량 78% 증가,137,"5,123",-,"2,270"
,79,환생 포인트 획득량 79% 증가,139,"5,262",-,"2,270"
,80,환생 포인트 획득량 80% 증가,141,"5,403",💎 217,"2,487"
,81,환생 포인트 획득량 81% 증가,143,"5,546",-,"2,487"
,82,환생 포인트 획득량 82% 증가,144,"5,690",-,"2,487"
,83,환생 포인트 획득량 83% 증가,146,"5,836",-,"2,487"
,84,환생 포인트 획득량 84% 증가,148,"5,984",-,"2,487"
,85,환생 포인트 획득량 85% 증가,150,"6,134",💎 231,"2,718"
,86,환생 포인트 획득량 86% 증가,152,"6,286",-,"2,718"
