시간의 모래시계,레벨,효과,다음 레벨 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,0,레벨업 필요 EXP 0% 증가 환생 시 RP 획득량 0% 증가 (시간 대비 RP 효율 동일),0,0,💎 100,100
,1,레벨업 필요 EXP 10% 증가 환생 시 RP 획득량 10% 증가 (시간 대비 RP 효율 동일),3,3,,100
,2,레벨업 필요 EXP 20% 증가 환생 시 RP 획득량 20% 증가 (시간 대비 RP 효율 동일),4,7,,100
,3,레벨업 필요 EXP 30% 증가 환생 시 RP 획득량 30% 증가 (시간 대비 RP 효율 동일),6,13,,100
,4,레벨업 필요 EXP 40% 증가 환생 시 RP 획득량 40% 증가 (시간 대비 RP 효율 동일),8,21,,100
,5,레벨업 필요 EXP 50% 증가 환생 시 RP 획득량 50% 증가 (시간 대비 RP 효율 동일),13,34,💎 103,203
,6,레벨업 필요 EXP 60% 증가 환생 시 RP 획득량 60% 증가 (시간 대비 RP 효율 동일),15,49,,203
,7,레벨업 필요 EXP 70% 증가 환생 시 RP 획득량 70% 증가 (시간 대비 RP 효율 동일),19,68,,203
,8,레벨업 필요 EXP 80% 증가 환생 시 RP 획득량 80% 증가 (시간 대비 RP 효율 동일),21,89,,203
,9,레벨업 필요 EXP 90% 증가 환생 시 RP 획득량 90% 증가 (시간 대비 RP 효율 동일),26,115,,203
,10,레벨업 필요 EXP 100% 증가 환생 시 RP 획득량 100% 증가 (시간 대비 RP 효율 동일),32,147,💎 107,310
,11,레벨업 필요 EXP 110% 증가 환생 시 RP 획득량 110% 증가 (시간 대비 RP 효율 동일),35,182,,310
,12,레벨업 필요 EXP 120% 증가 환생 시 RP 획득량 120% 증가 (시간 대비 RP 효율 동일),41,223,,310
,13,레벨업 필요 EXP 130% 증가 환생 시 RP 획득량 130% 증가 (시간 대비 RP 효율 동일),46,269,,310
,14,레벨업 필요 EXP 140% 증가 환생 시 RP 획득량 140% 증가 (시간 대비 RP 효율 동일),48,317,,310
,15,레벨업 필요 EXP 150% 증가 환생 시 RP 획득량 150% 증가 (시간 대비 RP 효율 동일),52,369,💎 113,423
,16,레벨업 필요 EXP 160% 증가 환생 시 RP 획득량 160% 증가 (시간 대비 RP 효율 동일),59,428,,423
,17,레벨업 필요 EXP 170% 증가 환생 시 RP 획득량 170% 증가 (시간 대비 RP 효율 동일),65,493,,423
,18,레벨업 필요 EXP 180% 증가 환생 시 RP 획득량 180% 증가 (시간 대비 RP 효율 동일),68,561,,423
,19,레벨업 필요 EXP 190% 증가 환생 시 RP 획득량 190% 증가 (시간 대비 RP 효율 동일),74,635,,423
,20,레벨업 필요 EXP 200% 증가 환생 시 RP 획득량 200% 증가 (시간 대비 RP 효율 동일),79,714,💎 123,546
