전설의 뿔피리,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,0,최대 레벨 0 증가,-,0,💎 100,100
,1,최대 레벨 1 증가,2,2,-,100
,2,최대 레벨 2 증가,3,5,-,100
,3,최대 레벨 3 증가,5,10,-,100
,4,최대 레벨 4 증가,7,17,-,100
,5,최대 레벨 5 증가,11,28,💎 107,207
,6,최대 레벨 6 증가,13,41,-,207
,7,최대 레벨 7 증가,17,58,-,207
,8,최대 레벨 8 증가,19,77,-,207
,9,최대 레벨 9 증가,23,100,-,207
,10,최대 레벨 10 증가,29,129,💎 124,331
,11,최대 레벨 11 증가,31,160,-,331
,12,최대 레벨 12 증가,37,197,-,331
,13,최대 레벨 13 증가,41,238,-,331
,14,최대 레벨 14 증가,43,281,-,331
,15,최대 레벨 15 증가,47,328,💎 160,491
,16,최대 레벨 16 증가,53,381,-,491
,17,최대 레벨 17 증가,59,440,-,491
,18,최대 레벨 18 증가,61,501,-,491
,19,최대 레벨 19 증가,67,568,-,491
,20,최대 레벨 20 증가,71,639,💎 225,716
,21,최대 레벨 21 증가,73,712,-,716
,22,최대 레벨 22 증가,79,791,-,716
,23,최대 레벨 23 증가,83,874,-,716
,24,최대 레벨 24 증가,89,963,-,716
,25,최대 레벨 25 증가,97,"1,060",💎 328,"1,044"
,26,최대 레벨 26 증가,101,"1,161",-,"1,044"
,27,최대 레벨 27 증가,103,"1,264",-,"1,044"
,28,최대 레벨 28 증가,107,"1,371",-,"1,044"
,29,최대 레벨 29 증가,109,"1,480",-,"1,044"
,30,최대 레벨 30 증가,113,"1,593",💎 480,"1,524"
,31,최대 레벨 31 증가,127,"1,720",-,"1,524"
,32,최대 레벨 32 증가,131,"1,851",-,"1,524"
,33,최대 레벨 33 증가,137,"1,988",-,"1,524"
,34,최대 레벨 34 증가,139,"2,127",-,"1,524"
,35,최대 레벨 35 증가,149,"2,276",💎 689,"2,213"
,36,최대 레벨 36 증가,151,"2,427",-,"2,213"
,37,최대 레벨 37 증가,157,"2,584",-,"2,213"
,38,최대 레벨 38 증가,163,"2,747",-,"2,213"
,39,최대 레벨 39 증가,167,"2,914",-,"2,213"
,40,최대 레벨 40 증가,173,"3,087",💎 966,"3,179"
,41,최대 레벨 41 증가,179,"3,266",-,"3,179"
,42,최대 레벨 42 증가,181,"3,447",-,"3,179"
,43,최대 레벨 43 증가,191,"3,638",-,"3,179"
,44,최대 레벨 44 증가,193,"3,831",-,"3,179"
,45,최대 레벨 45 증가,197,"4,028","💎 1,320","4,499"
,46,최대 레벨 46 증가,199,"4,227",-,"4,499"
,47,최대 레벨 47 증가,211,"4,438",-,"4,499"
,48,최대 레벨 48 증가,223,"4,661",-,"4,499"
,49,최대 레벨 49 증가,227,"4,888",-,"4,499"
,50,최대 레벨 50 증가,229,"5,117","💎 1,760","6,259"
,51,최대 레벨 51 증가,233,"5,350",-,"6,259"
,52,최대 레벨 52 증가,239,"5,589",-,"6,259"
,53,최대 레벨 53 증가,241,"5,830",-,"6,259"
,54,최대 레벨 54 증가,251,"6,081",-,"6,259"
,55,최대 레벨 55 증가,257,"6,338","💎 2,297","8,556"
,56,최대 레벨 56 증가,263,"6,601",-,"8,556"
,57,최대 레벨 57 증가,269,"6,870",-,"8,556"
,58,최대 레벨 58 증가,271,"7,141",-,"8,556"
,59,최대 레벨 59 증가,277,"7,418",-,"8,556"
,60,최대 레벨 60 증가,281,"7,699","💎 2,940","11,496"
,61,최대 레벨 61 증가,283,"7,982",-,"11,496"
,62,최대 레벨 62 증가,293,"8,275",-,"11,496"
,63,최대 레벨 63 증가,307,"8,582",-,"11,496"
,64,최대 레벨 64 증가,311,"8,893",-,"11,496"
,65,최대 레벨 65 증가,313,"9,206","💎 3,698","15,194"
,66,최대 레벨 66 증가,317,"9,523",-,"15,194"
,67,최대 레벨 67 증가,331,"9,854",-,"15,194"
,68,최대 레벨 68 증가,337,"10,191",-,"15,194"
,69,최대 레벨 69 증가,347,"10,538",-,"15,194"
,70,최대 레벨 70 증가,349,"10,538","💎 4,582","19,776"
,71,최대 레벨 71 증가,353,"10,891",-,"19,776"
,72,최대 레벨 72 증가,359,"11,250",-,"19,776"
,73,최대 레벨 73 증가,367,"11,617",-,"19,776"
,74,최대 레벨 74 증가,373,"11,990",-,"19,776"
,75,최대 레벨 75 증가,379,"12,369","💎 5,600","25,376"
,76,최대 레벨 76 증가,383,"12,752",-,"25,376"
,77,최대 레벨 77 증가,389,"13,141",-,"25,376"
,78,최대 레벨 78 증가,397,"13,538",-,"25,376"
,79,최대 레벨 79 증가,401,"13,939",-,"25,376"
,80,최대 레벨 80 증가,409,"14,348",-,"25,376"
