세가지 보석,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,0,올스텟 +0,-,0,💎 100,100
,1,올스텟 +1,1,1,-,100
,2,올스텟 +2,1,2,-,100
,3,올스텟 +3,1,3,-,100
,4,올스텟 +4,1,4,-,100
,5,올스텟 +5,1,5,💎 100,200
,6,올스텟 +6,2,7,-,200
,7,올스텟 +7,2,9,-,200
,8,올스텟 +8,2,11,-,200
,9,올스텟 +9,2,13,-,200
,10,올스텟 +10,2,15,💎 100,300
,11,올스텟 +11,3,18,-,300
,12,올스텟 +12,3,21,-,300
,13,올스텟 +13,3,24,-,300
,14,올스텟 +14,3,27,-,300
,15,올스텟 +15,3,30,💎 100,400
,16,올스텟 +16,4,34,-,400
,17,올스텟 +17,4,38,-,400
,18,올스텟 +18,4,42,-,400
,19,올스텟 +19,4,46,-,400
,20,올스텟 +20,4,50,💎 100,500
,21,올스텟 +21,5,55,-,500
,22,올스텟 +22,5,60,-,500
,23,올스텟 +23,5,65,-,500
,24,올스텟 +24,5,70,-,500
,25,올스텟 +25,5,75,💎 100,600
,26,올스텟 +26,6,81,-,600
,27,올스텟 +27,6,87,-,600
,28,올스텟 +28,6,93,-,600
,29,올스텟 +29,6,99,-,600
,30,올스텟 +30,6,105,💎 100,700
,31,올스텟 +31,7,112,-,700
,32,올스텟 +32,7,119,-,700
,33,올스텟 +33,7,126,-,700
,34,올스텟 +34,7,133,-,700
,35,올스텟 +35,7,140,💎 101,801
,36,올스텟 +36,8,148,-,801
,37,올스텟 +37,8,156,-,801
,38,올스텟 +38,8,164,-,801
,39,올스텟 +39,8,172,-,801
,40,올스텟 +40,8,180,💎 102,903
,41,올스텟 +41,9,189,-,903
,42,올스텟 +42,9,198,-,903
,43,올스텟 +43,9,207,-,903
,44,올스텟 +44,9,216,-,903
,45,올스텟 +45,9,225,💎 103,"1,006"
,46,올스텟 +46,10,235,-,"1,006"
,47,올스텟 +47,10,245,-,"1,006"
,48,올스텟 +48,10,255,-,"1,006"
,49,올스텟 +49,10,265,-,"1,006"
,50,올스텟 +50,10,275,💎 104,"1,110"
,51,올스텟 +51,11,286,-,"1,110"
,52,올스텟 +52,11,297,-,"1,110"
,53,올스텟 +53,11,308,-,"1,110"
,54,올스텟 +54,11,319,-,"1,110"
,55,올스텟 +55,11,330,💎 105,"1,215"
,56,올스텟 +56,12,342,-,"1,215"
,57,올스텟 +57,12,354,-,"1,215"
,58,올스텟 +58,12,366,-,"1,215"
,59,올스텟 +59,12,378,-,"1,215"
,60,올스텟 +60,12,390,💎 107,"1,322"
,61,올스텟 +61,13,403,-,"1,322"
,62,올스텟 +62,13,416,-,"1,322"
,63,올스텟 +63,13,429,-,"1,322"
,64,올스텟 +64,13,442,-,"1,322"
,65,올스텟 +65,13,455,💎 109,"1,431"
,66,올스텟 +66,14,469,-,"1,431"
,67,올스텟 +67,14,483,-,"1,431"
,68,올스텟 +68,14,497,-,"1,431"
,69,올스텟 +69,14,511,-,"1,431"
,70,올스텟 +70,14,525,💎 111,"1,542"
,71,올스텟 +71,15,540,-,"1,542"
,72,올스텟 +72,15,555,-,"1,542"
,73,올스텟 +73,15,570,-,"1,542"
,74,올스텟 +74,15,585,-,"1,542"
,75,올스텟 +75,15,600,💎 114,"1,656"
,76,올스텟 +76,16,616,-,"1,656"
,77,올스텟 +77,16,632,-,"1,656"
,78,올스텟 +78,16,648,-,"1,656"
,79,올스텟 +79,16,664,-,"1,656"
,80,올스텟 +80,16,680,💎 117,"1,773"
,81,올스텟 +81,17,697,-,"1,773"
,82,올스텟 +82,17,714,-,"1,773"
,83,올스텟 +83,17,731,-,"1,773"
,84,올스텟 +84,17,748,-,"1,773"
,85,올스텟 +85,17,765,💎 120,"1,893"
,86,올스텟 +86,18,783,-,"1,893"
,87,올스텟 +87,18,801,-,"1,893"
,88,올스텟 +88,18,819,-,"1,893"
,89,올스텟 +89,18,837,-,"1,893"
,90,올스텟 +90,18,855,💎 124,"2,017"
,91,올스텟 +91,19,874,-,"2,017"
,92,올스텟 +92,19,893,-,"2,017"
,93,올스텟 +93,19,912,-,"2,017"
,94,올스텟 +94,19,931,-,"2,017"
,95,올스텟 +95,19,950,💎 128,"2,145"
,96,올스텟 +96,20,970,-,"2,145"
,97,올스텟 +97,20,990,-,"2,145"
,98,올스텟 +98,20,"1,010",-,"2,145"
,99,올스텟 +99,20,"1,030",-,"2,145"
,100,올스텟 +100,20,"1,050",💎 133,"2,278"
,101,올스텟 +101,21,"1,071",-,"2,278"
,102,올스텟 +102,21,"1,092",-,"2,278"
,103,올스텟 +103,21,"1,113",-,"2,278"
,104,올스텟 +104,21,"1,134",-,"2,278"
,105,올스텟 +105,21,"1,155",💎 138,"2,416"
,106,올스텟 +106,22,"1,177",-,"2,416"
,107,올스텟 +107,22,"1,199",-,"2,416"
,108,올스텟 +108,22,"1,221",-,"2,416"
,109,올스텟 +109,22,"1,243",-,"2,416"
,110,올스텟 +110,22,"1,265",💎 144,"2,560"
,111,올스텟 +111,23,"1,288",-,"2,560"
,112,올스텟 +112,23,"1,311",-,"2,560"
,113,올스텟 +113,23,"1,334",-,"2,560"
,114,올스텟 +114,23,"1,357",-,"2,560"
,115,올스텟 +115,23,"1,380",💎 150,"2,710"
,116,올스텟 +116,24,"1,404",-,"2,710"
,117,올스텟 +117,24,"1,428",-,"2,710"
,118,올스텟 +118,24,"1,452",-,"2,710"
,119,올스텟 +119,24,"1,476",-,"2,710"
,120,올스텟 +120,24,"1,500",💎 157,"2,867"
,121,올스텟 +121,25,"1,525",-,"2,867"
,122,올스텟 +122,25,"1,550",-,"2,867"
,123,올스텟 +123,25,"1,575",-,"2,867"
,124,올스텟 +124,25,"1,600",-,"2,867"
,125,올스텟 +125,25,"1,625",💎 165,"3,032"
,126,올스텟 +126,26,"1,651",-,"3,032"
,127,올스텟 +127,26,"1,677",-,"3,032"
,128,올스텟 +128,26,"1,703",-,"3,032"
,129,올스텟 +129,26,"1,729",-,"3,032"
,130,올스텟 +130,26,"1,755",💎 173,"3,205"
,131,올스텟 +131,27,"1,782",-,"3,205"
,132,올스텟 +132,27,"1,809",-,"3,205"
,133,올스텟 +133,27,"1,836",-,"3,205"
,134,올스텟 +134,27,"1,863",-,"3,205"
,135,올스텟 +135,27,"1,890",💎 181,"3,386"
,136,올스텟 +136,28,"1,918",-,"3,386"
,137,올스텟 +137,28,"1,946",-,"3,386"
,138,올스텟 +138,28,"1,974",-,"3,386"
,139,올스텟 +139,28,"2,002",-,"3,386"
,140,올스텟 +140,28,"2,030",💎 191,"3,577"
,141,올스텟 +141,29,"2,059",-,"3,577"
,142,올스텟 +142,29,"2,088",-,"3,577"
,143,올스텟 +143,29,"2,117",-,"3,577"
,144,올스텟 +144,29,"2,146",-,"3,577"
,145,올스텟 +145,29,"2,175",💎 201,"3,778"
,146,올스텟 +146,30,"2,205",-,"3,778"
,147,올스텟 +147,30,"2,235",-,"3,778"
,148,올스텟 +148,30,"2,265",-,"3,778"
,149,올스텟 +149,30,"2,295",-,"3,778"
,150,올스텟 +150,30,"2,325",💎 212,"3,990"
,151,올스텟 +151,31,"2,356",-,"3,990"
,152,올스텟 +152,31,"2,387",-,"3,990"
,153,올스텟 +153,31,"2,418",-,"3,990"
,154,올스텟 +154,31,"2,449",-,"3,990"
,155,올스텟 +155,31,"2,480",💎 224,"4,214"
,156,올스텟 +156,32,"2,512",-,"4,214"
,157,올스텟 +157,32,"2,544",-,"4,214"
,158,올스텟 +158,32,"2,576",-,"4,214"
,159,올스텟 +159,32,"2,608",-,"4,214"
,160,올스텟 +160,32,"2,640",💎 236,"4,450"
,161,올스텟 +161,33,"2,673",-,"4,450"
,162,올스텟 +162,33,"2,706",-,"4,450"
,163,올스텟 +163,33,"2,739",-,"4,450"
,164,올스텟 +164,33,"2,772",-,"4,450"
,165,올스텟 +165,33,"2,805",💎 249,"4,699"
,166,올스텟 +166,34,"2,839",-,"4,699"
,167,올스텟 +167,34,"2,873",-,"4,699"
,168,올스텟 +168,34,"2,907",-,"4,699"
,169,올스텟 +169,34,"2,941",-,"4,699"
,170,올스텟 +170,34,"2,975",💎 263,"4,962"
,171,올스텟 +171,35,"3,010",-,"4,962"
,172,올스텟 +172,35,"3,045",-,"4,962"
,173,올스텟 +173,35,"3,080",-,"4,962"
,174,올스텟 +174,35,"3,115",-,"4,962"
,175,올스텟 +175,35,"3,150",💎 278,"5,240"
,176,올스텟 +176,36,"3,186",-,"5,240"
,177,올스텟 +177,36,"3,222",-,"5,240"
,178,올스텟 +178,36,"3,258",-,"5,240"
,179,올스텟 +179,36,"3,294",-,"5,240"
,180,올스텟 +180,36,"3,330",💎 294,"5,534"
,181,올스텟 +181,37,"3,367",-,"5,534"
,182,올스텟 +182,37,"3,404",-,"5,534"
,183,올스텟 +183,37,"3,441",-,"5,534"
,184,올스텟 +184,37,"3,478",-,"5,534"
,185,올스텟 +185,37,"3,515",💎 310,"5,844"
