결의의 증표,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,0,최종 공격력 0% 증가,-,0,💎 100,100
,1,최종 공격력 1% 증가,1,1,-,100
,2,최종 공격력 2% 증가,3,4,-,100
,3,최종 공격력 3% 증가,6,10,-,100
,4,최종 공격력 4% 증가,8,18,-,100
,5,최종 공격력 5% 증가,11,29,💎 104,204
,6,최종 공격력 6% 증가,14,43,-,204
,7,최종 공격력 7% 증가,16,59,-,204
,8,최종 공격력 8% 증가,19,78,-,204
,9,최종 공격력 9% 증가,22,100,-,204
,10,최종 공격력 10% 증가,25,125,💎 108,312
,11,최종 공격력 11% 증가,28,153,-,312
,12,최종 공격력 12% 증가,31,184,-,312
,13,최종 공격력 13% 증가,34,218,-,312
,14,최종 공격력 14% 증가,37,255,-,312
,15,최종 공격력 15% 증가,40,295,💎 112,424
,16,최종 공격력 16% 증가,43,338,-,424
,17,최종 공격력 17% 증가,46,384,-,424
,18,최종 공격력 18% 증가,50,434,-,424
,19,최종 공격력 19% 증가,53,487,-,424
,20,최종 공격력 20% 증가,56,543,💎 117,541
,21,최종 공격력 21% 증가,59,602,-,541
,22,최종 공격력 22% 증가,62,664,-,541
,23,최종 공격력 23% 증가,66,730,-,541
,24,최종 공격력 24% 증가,69,799,-,541
,25,최종 공격력 25% 증가,72,871,💎 122,663
,26,최종 공격력 26% 증가,76,947,-,663
,27,최종 공격력 27% 증가,79,"1,026",-,663
,28,최종 공격력 28% 증가,82,"1,108",-,663
,29,최종 공격력 29% 증가,86,"1,194",-,663
,30,최종 공격력 30% 증가,89,"1,283",💎 127,790
,31,최종 공격력 31% 증가,93,"1,376",-,790
,32,최종 공격력 32% 증가,96,"1,472",-,790
,33,최종 공격력 33% 증가,100,"1,572",-,790
,34,최종 공격력 34% 증가,103,"1,675",-,790
,35,최종 공격력 35% 증가,106,"1,781",💎 133,923
,36,최종 공격력 36% 증가,110,"1,891",-,923
,37,최종 공격력 37% 증가,113,"2,004",-,923
,38,최종 공격력 38% 증가,117,"2,121",-,923
,39,최종 공격력 39% 증가,120,"2,241",-,923
,40,최종 공격력 40% 증가,124,"2,365",💎 139,"1,062"
,41,최종 공격력 41% 증가,128,"2,493",-,"1,062"
,42,최종 공격력 42% 증가,131,"2,624",-,"1,062"
,43,최종 공격력 43% 증가,135,"2,759",-,"1,062"
,44,최종 공격력 44% 증가,138,"2,897",-,"1,062"
,45,최종 공격력 45% 증가,142,"3,039",💎 146,"1,208"
,46,최종 공격력 46% 증가,145,"3,184",-,"1,208"
,47,최종 공격력 47% 증가,149,"3,333",-,"1,208"
,48,최종 공격력 48% 증가,153,"3,486",-,"1,208"
,49,최종 공격력 49% 증가,156,"3,642",-,"1,208"
,50,최종 공격력 50% 증가,160,"3,802",💎 153,"1,361"
,51,최종 공격력 51% 증가,164,"3,966",-,"1,361"
,52,최종 공격력 52% 증가,167,"4,133",-,"1,361"
,53,최종 공격력 53% 증가,171,"4,304",-,"1,361"
,54,최종 공격력 54% 증가,174,"4,478",-,"1,361"
,55,최종 공격력 55% 증가,178,"4,656",💎 161,"1,522"
,56,최종 공격력 56% 증가,182,"4,838",-,"1,522"
,57,최종 공격력 57% 증가,186,"5,024",-,"1,522"
,58,최종 공격력 58% 증가,189,"5,213",-,"1,522"
,59,최종 공격력 59% 증가,193,"5,406",-,"1,522"
,60,최종 공격력 60% 증가,197,"5,603",💎 171,"1,693"
,61,최종 공격력 61% 증가,200,"5,803",-,"1,693"
,62,최종 공격력 62% 증가,204,"6,007",-,"1,693"
,63,최종 공격력 63% 증가,208,"6,215",-,"1,693"
,64,최종 공격력 64% 증가,212,"6,427",-,"1,693"
,65,최종 공격력 65% 증가,215,"6,642",💎 181,"1,874"
,66,최종 공격력 66% 증가,219,"6,861",-,"1,874"
,67,최종 공격력 67% 증가,223,"7,084",-,"1,874"
,68,최종 공격력 68% 증가,227,"7,311",-,"1,874"
,69,최종 공격력 69% 증가,230,"7,541",-,"1,874"
,70,최종 공격력 70% 증가,234,"7,775",💎 192,"2,066"
,71,최종 공격력 71% 증가,238,"8,013",-,"2,066"
,72,최종 공격력 72% 증가,242,"8,255",-,"2,066"
,73,최종 공격력 73% 증가,245,"8,500",-,"2,066"
,74,최종 공격력 74% 증가,249,"8,749",-,"2,066"
,75,최종 공격력 75% 증가,253,"9,002",💎 204,"2,270"
,76,최종 공격력 76% 증가,257,"9,259",-,"2,270"
,77,최종 공격력 77% 증가,261,"9,520",-,"2,270"
,78,최종 공격력 78% 증가,265,"9,785",-,"2,270"
,79,최종 공격력 79% 증가,268,"10,053",-,"2,270"
,80,최종 공격력 80% 증가,272,"10,325",💎 217,"2,487"
,81,최종 공격력 81% 증가,276,"10,601",-,"2,487"
,82,최종 공격력 82% 증가,280,"10,881",-,"2,487"
,83,최종 공격력 83% 증가,284,"11,165",-,"2,487"
,84,최종 공격력 84% 증가,288,"11,453",-,"2,487"
,85,최종 공격력 85% 증가,291,"11,744",💎 231,"2,718"
,86,최종 공격력 86% 증가,295,"12,039",-,"2,718"
,87,최종 공격력 87% 증가,299,"12,338",-,"2,718"
,88,최종 공격력 88% 증가,303,"12,641",-,"2,718"
,89,최종 공격력 89% 증가,307,"12,948",-,"2,718"
,90,최종 공격력 90% 증가,311,"13,259",💎 247,"2,965"
,91,최종 공격력 91% 증가,315,"13,574",-,"2,965"
,92,최종 공격력 92% 증가,319,"13,893",-,"2,965"
,93,최종 공격력 93% 증가,323,"14,216",-,"2,965"
,94,최종 공격력 94% 증가,326,"14,542",-,"2,965"
,95,최종 공격력 95% 증가,330,"14,872",💎 264,"3,229"
,96,최종 공격력 96% 증가,334,"15,206",-,"3,229"
,97,최종 공격력 97% 증가,338,"15,544",-,"3,229"
,98,최종 공격력 98% 증가,342,"15,886",-,"3,229"
,99,최종 공격력 99% 증가,346,"16,232",-,"3,229"
,100,최종 공격력 100% 증가,350,"16,582",💎 283,"3,512"
,101,최종 공격력 101% 증가,354,"16,936",-,"3,512"
,102,최종 공격력 102% 증가,358,"17,294",-,"3,512"
,103,최종 공격력 103% 증가,362,"17,656",-,"3,512"
,104,최종 공격력 104% 증가,366,"18,022",-,"3,512"
,105,최종 공격력 105% 증가,370,"18,392",💎 303,"3,815"
,106,최종 공격력 106% 증가,374,"18,766",-,"3,815"
,107,최종 공격력 107% 증가,378,"19,144",-,"3,815"
,108,최종 공격력 108% 증가,382,"19,526",-,"3,815"
,109,최종 공격력 109% 증가,386,"19,912",-,"3,815"
,110,최종 공격력 110% 증가,389,"20,301",💎 324,"4,139"
,111,최종 공격력 111% 증가,393,"20,694",-,"4,139"
,112,최종 공격력 112% 증가,397,"21,091",-,"4,139"
,113,최종 공격력 113% 증가,401,"21,492",-,"4,139"
,114,최종 공격력 114% 증가,405,"21,897",-,"4,139"
,115,최종 공격력 115% 증가,409,"22,306",💎 348,"4,487"
,116,최종 공격력 116% 증가,413,"22,719",-,"4,487"
,117,최종 공격력 117% 증가,417,"23,136",-,"4,487"
,118,최종 공격력 118% 증가,421,"23,557",-,"4,487"
,119,최종 공격력 119% 증가,425,"23,982",-,"4,487"
