id,level,need,cumStone,unlockGem,cumGem
threeGems,0,0,0,100,100
threeGems,1,1,1,0,100
threeGems,2,1,2,0,100
threeGems,3,1,3,0,100
threeGems,4,1,4,0,100
threeGems,5,1,5,100,200
threeGems,6,2,7,0,200
threeGems,7,2,9,0,200
threeGems,8,2,11,0,200
threeGems,9,2,13,0,200
threeGems,10,2,15,100,300
threeGems,11,3,18,0,300
threeGems,12,3,21,0,300
threeGems,13,3,24,0,300
threeGems,14,3,27,0,300
threeGems,15,3,30,100,400
threeGems,16,4,34,0,400
threeGems,17,4,38,0,400
threeGems,18,4,42,0,400
threeGems,19,4,46,0,400
threeGems,20,4,50,100,500
threeGems,21,5,55,0,500
threeGems,22,5,60,0,500
threeGems,23,5,65,0,500
threeGems,24,5,70,0,500
threeGems,25,5,75,100,600
threeGems,26,6,81,0,600
threeGems,27,6,87,0,600
threeGems,28,6,93,0,600
threeGems,29,6,99,0,600
threeGems,30,6,105,100,700
threeGems,31,7,112,0,700
threeGems,32,7,119,0,700
threeGems,33,7,126,0,700
threeGems,34,7,133,0,700
threeGems,35,7,140,101,801
threeGems,36,8,148,0,801
threeGems,37,8,156,0,801
threeGems,38,8,164,0,801
threeGems,39,8,172,0,801
threeGems,40,8,180,102,903
threeGems,41,9,189,0,903
threeGems,42,9,198,0,903
threeGems,43,9,207,0,903
threeGems,44,9,216,0,903
threeGems,45,9,225,103,1006
threeGems,46,10,235,0,1006
threeGems,47,10,245,0,1006
threeGems,48,10,255,0,1006
threeGems,49,10,265,0,1006
threeGems,50,10,275,104,1110
threeGems,51,11,286,0,1110
threeGems,52,11,297,0,1110
threeGems,53,11,308,0,1110
threeGems,54,11,319,0,1110
threeGems,55,11,330,105,1215
threeGems,56,12,342,0,1215
threeGems,57,12,354,0,1215
threeGems,58,12,366,0,1215
threeGems,59,12,378,0,1215
threeGems,60,12,390,107,1322
threeGems,61,13,403,0,1322
threeGems,62,13,416,0,1322
threeGems,63,13,429,0,1322
threeGems,64,13,442,0,1322
threeGems,65,13,455,109,1431
threeGems,66,14,469,0,1431
threeGems,67,14,483,0,1431
threeGems,68,14,497,0,1431
threeGems,69,14,511,0,1431
threeGems,70,14,525,111,1542
threeGems,71,15,540,0,1542
threeGems,72,15,555,0,1542
threeGems,73,15,570,0,1542
