level,expNeed
1,15
2,34
3,57
4,92
5,135
6,372
7,560
8,840
9,1242
10,1716
11,2360
12,3216
13,4200
14,5460
15,7050
16,8840
17,11040
18,13716
19,16680
20,20216
21,24402
22,28980
23,34320
24,40512
25,47216
26,54900
27,63666
28,73080
29,83720
30,95700
31,108480
32,122760
33,138666
34,155540
35,174216
36,194832
37,216600
38,240500
39,266682
40,294216
41,324240
42,356916
43,391160
44,428280
45,468450
46,510420
47,555680
48,604416
49,655200
50,709716
51,748608
52,789631
53,832902
54,878545
55,926689
56,977471
57,1031036
58,1087536
59,1147132
60,1209994
61,1276301
62,1346242
63,1420016
64,1497832
65,1579913
66,1666492
67,1757815
68,1854143
69,1955750
70,2062925
71,2175973
72,2295216
73,2420993
74,2553663
75,2693603
76,2841212
77,2996910
78,3161140
79,3334370
80,3517093
81,3709829
82,3913127
83,4127566
84,4353756
85,4592341
86,4844001
87,5109452
88,5389449
89,5684790
90,5996316
91,6324914
92,6671519
93,7037118
94,7422752
95,7829518
96,8258575
97,8711144
98,9188514
99,9692044
100,10223168
101,10783397
102,11374327
103,11997640
104,12655110
105,13348610
106,14080113
107,14851703
108,15665576
109,16524049
110,17429566
111,18384706
112,19392187
113,20454878
114,21575805
115,22758159
116,24005306
117,25320796
118,26708375
119,28171993
120,29715818
121,31344244
122,33061908
123,34873700
124,36784778
125,38800583
126,40926854
127,43169645
128,45535341
129,48030677
130,50662758
131,53439077
132,56367538
133,59456479
134,62714694
135,66151459
136,69776558
137,73600313
138,77633610
139,81887931
140,86375389
141,91108760
142,96101520
143,101367883
144,106922842
145,112782213
146,118962678
147,125481832
148,132358236
149,139611467
150,147262175
151,155332142
152,163844343
153,172823012
154,182293713
155,192283408
156,202820538
157,213935103
158,225658746
159,238024845
160,251068606
161,264827165
162,279339693
163,294647508
164,310794191
165,327825712
166,345790561
167,364739883
168,384727628
169,405810702
170,428049128
171,451506220
172,476248760
173,502347192
174,529875818
175,558913012
176,589541445
177,621848316
178,655925603
179,691870326
180,729784819
181,769777027
182,811960808
183,856456260
184,903390063
185,952895838
186,1005114529
187,1060194805
188,1118293480
189,1179575962
190,1244216724
191,1312399800
192,1384319309
193,1460180007
194,1540197871
195,1624600714
196,1713628833
197,1807535693
198,1906588648
199,2011069705
200,2121276324
201,2237514058
202,2359191721
203,2486530925
204,2619766077
205,2759146399
206,2904936866
207,3057416951
208,3216881921
209,3383642707
210,3557996011
211,3740254764
212,3930747766
213,4129820398
214,4337834946
215,4555169979
216,4782220618
217,5019399646
218,5267135816
219,5525875871
220,5796084759
221,6078245381
222,6372858866
223,6680444815
224,7001541257
225,7336706685
226,7686518425
227,8051573621
228,8432489654
229,8829904668
230,9244476688
231,9676883878
232,10127825531
233,10597920485
234,11087808991
235,11598149894
236,12129622883
237,12682926623
238,13258789651
239,13858969955
240,14484254053
241,15135457421
242,15813423577
243,16519023491
244,17253156661
245,18016749260
246,18810755041
247,19636156098
248,20493963286
249,21385224387
250,22311036227
251,23272888111
252,24271787796
253,25309330125
254,26387144680
255,27506905869
256,28670333183
257,29879200881
258,31135338220
259,32440631051
260,33797021341
261,35206507799
262,36671149467
263,38193065236
264,39774436595
265,41417505451
266,43124575871
267,44898015788
268,46740256576
269,48653791027
270,50641175881
271,52705032175
272,54848048146
273,57072976433
274,59382642392
275,61780936692
276,64271815485
277,66859311583
278,69547523871
279,72340628449
280,75242868695
281,78258563779
282,81391099651
283,84644938789
284,88024619683
285,91534757977
286,95180044436
287,98965254636
288,102895238331
289,106974925072
290,111209319451
291,115603496759
292,120162603655
293,124892858931
294,129799653328
295,134889446794
296,140168767368
297,145644218632
298,151322476803
299,157210289468
300,163314469421
301,172296765239
302,181873047527
303,191876065137
304,202429228720
305,213542846299
306,225227702705
307,237515226354
308,250438563804
309,264212684633
310,278684382188
311,294032023208
312,310303784484
313,327550492331
314,345825769409
315,365096186697
316,385126476965
317,405958433198
318,427636147024
319,450206115110
320,473717451441
321,498221911270
322,523774116390
323,550431692781
324,578255435864
325,607309484836
326,637661506502
327,669382889360
328,702547448094
329,737232557259
330,773519346787
331,811492909859
332,851242015498
333,892860326350
334,936446644299
335,982105209835
336,1029945896372
337,1080082928072
338,1132637488496
339,1187736819642
340,1245515382710
341,1306113727076
342,1369679978085
343,1436369976919
344,1506348725657
345,1579790962568
346,1656880460527
347,1737808885255
348,1822777369893
349,1911996093377
350,2005895878251
351,2103583517120
352,2206007052674
353,2313459335064
354,2426248802939
355,2544699783322
356,2669153520721
357,2799968732268
358,2937522185574
359,3082209267118
360,3234444584989
361,3394663606498
362,3563323396214
363,3740903413645
364,3927906317034
365,4124859013620
366,4332314668626
367,4550853844562
368,4781085759548
369,5023649693442
370,5279216492685
371,5548490225270
372,5832209910163
373,6131151337119
374,6446128976193
375,6777998870692
376,7127660661018
377,7496059612891
378,7884188718523
379,8293090987785
380,8723862712417
381,9177656100926
382,9655682821771
383,10159216810753
384,10689597551053
385,11248233748324
386,11836606827042
387,12456274706249
388,13108875779675
389,13796132698755
390,14519856070590
391,15281948589107
392,16084408883422
393,16929335930215
394,17818933040253
395,18755512623097
396,19741501520239
397,20779447794266
398,21872026285907
399,23022044512805
400,24232449882286
401,25506493438100
402,26847521016990
403,28259054366174
404,29744800391999
405,31308660894857
406,32954742815918
407,34687369022599
408,36511089661084
409,38430694105720
410,40451223536656
411,42577984178771
412,44816561236642
413,47172833562166
414,49652989093336
415,52263541104732
416,55011345312394
417,57903617877998
418,60947954359622
419,64152349658864
420,67525219016697
421,71075420113204
422,74812276329223
423,78745601230998
424,82885724342132
425,87243518270523
426,91830427261526
427,96658497252324
428,101740407506433
429,107089503911423
430,112719834027297
431,118646183977570
432,124884117279932
433,131450015718468
434,138361122364774
435,145635586860948
436,153292513083376
437,161352009312486
438,169835241040222
439,178764486553923
440,188163195442572
441,198056050179071
442,208469030940254
443,219429483834880
444,230966192718770
445,243109454785694
446,255891160132521
447,269344875507576
448,283505932462150
449,298411520136652
450,314100782925085
451,330614923274316
452,347997309888120
453,366293591620146
454,385551817354915
455,405822562191673
456,427159060262473
457,449617344533298
458,473256393955351
459,498138288352965
460,524328371454887
461,551895422497084
462,580911836847725
463,611453816128691
464,643601568332895
465,677439518462964
466,713056530244438
467,750546139495750
468,790006799767847
469,831542140898546
470,875261241160623
471,921278913718339
472,969716008144686
473,1020699727791180
474,1074363963843670
475,1130849646941450
476,1190305117283030
477,1252886514190630
478,1318758186156300
479,1388093122446730
480,1461073407399900
481,1537890698606990
482,1618746730235000
483,1703853842812100
484,1793435540866910
485,1887727079886220
486,1986976084132480
487,2091443196943710
488,2201402765223450
489,2317143559918500
490,2438969534376320
491,2567200622573880
492,2702173579314110
493,2844242864596410
494,2993781574483820
495,3151182420911380
496,3316858763008790
497,3491245692645860
498,3674801177051500
499,3868007261506950
500,4071371335271790
501,4285427464067092
502,4510737792615150
503,4747894020919090
504,4997518958159170
505,5260268158286650
506,5536831641610597
507,5827935706898551
508,6134344838750264
509,6456863715253241
510,6796339321192696
511,7153663172365470
512,7529773656839322
513,7925658499306098
514,8342357355000561
515,8780964539996909
516,9242631905053166
517,9728571860550616
518,10240060560472234
519,10778441253781738
520,11345127812004512
521,11941608442274364
522,12569449595597174
523,13230300080595126
524,13925895393534868
525,14658062276010920
526,15428723512253524
527,16239902978659398
528,17093730958806278
529,17992449737909266
530,18938419491410928
531,19934124483169476
532,20982179589522464
533,22085337166359168
534,23246494277235696
535,24468700301514952
536,25755164942511624
537,27109266656672836
538,28534561525930784
539,30034792596527584
540,31613899708837472
541,33276029844001064
542,35025548014543492
543,36867048727576936
544,38805368050691648
545,40845596312222400
546,42993091469243264
547,45253493178397088
548,47632737606511952
549,50137073019899488
550,52773076193275048
551,55547669681392120
552,58468139998748928
553,61542156755109984
554,64777792797095496
555,68183545408733504
556,71768358626650760
557,75541646728505456
558,79513318956346160
559,83693805539824256
560,88094085087601024
561,92725713418883264
562,97600853910803808
563,102732309441343664
564,108133556011682944
565,113818778136278192
566,119802906093605840
567,126101655135398080
568,132731566757340752
569,139710052139616496
570,147055437871374816
571,154787014079208544
572,162925085086029760
573,171491022733383040
574,180507322507228992
575,189997662614592832
576,199986966166222656
577,210501466628558784
578,221568776716901152
579,233217960910698816
580,245479611781398400
581,258385930333299872
582,271970810568407392
583,286269928497355904
584,301320835830169664
585,317163058592899584
586,333838200929121664
587,351390054358895680
588,369864712782115264
589,389310693528265536
590,409779064770484608
591,431323579638537280
592,454000817382903104
593,477870331960697472
594,502994808433635328
595,529440227588763200
596,557276039214279168
597,586575344485489664
598,617415087939877632
599,649876259545438080
600,684044107392943872
601,720008361570705408
602,757863469809752832
603,797708845518283392
604,839649128856749568
605,883794461539212928
606,930260776082633856
607,979170100263711744
608,1030650877582825856
609,1084838304576665984
610,1141874685865387392
611,1201909807866700032
612,1265101332158322688
613,1331615209521833728
614,1401626115755261696
615,1475317910398927872
616,1552884119579225344
617,1634528444238358784
618,1720465295084734208
619,1810920355668862720
620,1906131175063502592
621,2006347791704510464
622,2111833390030703872
623,2222864991647175168	
624,2339734182827158016	
625,2462747880262980608	
626,2592229137077085696	
627,2728517991209829376	
628,2871972358412054528	
629,3022968972187579904	
630,3181904373154038272	
631,3349195950420278272	
632,3525283037715150848	
633,3710628067146284544	
634,3905717783618800640	
635,4111064523103218176	
636,4327207558109482496	
637,4554714513900540416	
638,4794182859164657664	
639,5046241475061220352	
640,5311552306760573952	
641,5590812101815104512	
642,5884754239926793216	
643,6194150658916499456	
644,6519813881952868352	
645,6862599151364677632	
646,7223406674640355328	
647,7603183988513002496	
648,8002928447339384832	
649,8423689842307760128	
650,8866573158352987136	
651,9332741476019009536	
652,9823419025889454080	
653,10339894403607752704
654,10883523953929932800
655,11455735332697128960
656,12058031256082102272
657,12691993446955882496
658,13359286788738293760
659,14061663697641041920
660,14800968724785524736
661,15579143400281276416
662,16398231331986323456
663,17260383572339607552
664,18167864267359602688
665,19123056602644283392
666,20128469061987565568
667,21186742015048306688
668,22300654651372138496
669,23473132278975922176
670,24707254006662070272
671,26006260830237663232
672,27373564143874068480
673,28812754698959171584
674,30327612033969598464
675,31922114400127209472
676,33600449208906235904
677,35367024028827758592
678,37226478160420913152
679,39183694819748388864
680,41243813962492141568
681,43412245782277275648
682,45694684918682853376
683,48097125412252098560
684,50625876445776093184
685,53287578913190141952
686,56089222859595202560
687,59038165838204657664
688,62142152232424611840
689,65409333593810493440
690,68848290049310629888
691,72468052834015526912
692,76278128008587329536
693,80288521423655239680
694,84509764996737105920
695,88952944370694684672
696,93629728026357743616
697,98552397925771526144
698,103733881766541328384
699,109187786931979255808
700,114928436226211414016
