레벨,환포,누적경험치,환포,환포/경치
30,2 ,"548,637",2,0.0000036454 
31,3 ,"644,337",3,0.0000046559 
32,3 ,"752,817",3,0.0000039850 
33,4 ,"875,577",4,0.0000045684 
34,6 ,"1,014,243",6,0.0000059157 
35,7 ,"1,169,783",7,0.0000059840 
36,9 ,"1,343,999",9,0.0000066964 
37,10 ,"1,538,831",10,0.0000064984 
38,12 ,"1,755,431",12,0.0000068359 
39,13 ,"1,995,931",13,0.0000065133 
40,15 ,"2,262,613",15,0.0000066295 
41,16 ,"2,556,829",16,0.0000062578 
42,18 ,"2,881,069",18,0.0000062477 
43,19 ,"3,237,985",19,0.0000058678 
44,21 ,"3,629,145",21,0.0000057865 
45,22 ,"4,057,425",22,0.0000054222 
46,24 ,"4,525,875",24,0.0000053028 
47,25 ,"5,036,295",25,0.0000049640 
48,27 ,"5,591,975",27,0.0000048283 
49,28 ,"6,196,391",28,0.0000045188 
50,31 ,"6,851,591",31,0.0000045245 
51,34 ,"7,561,307",34,0.0000044966 
52,37 ,"8,309,915",37,0.0000044525 
53,40 ,"9,099,546",40,0.0000043958 
54,43 ,"9,932,448",43,0.0000043292 
55,46 ,"10,810,993",46,0.0000042549 
56,49 ,"11,737,682",49,0.0000041746 
57,52 ,"12,715,153",52,0.0000040896 
58,55 ,"13,746,189",55,0.0000040011 
59,58 ,"14,833,725",58,0.0000039100 
60,63 ,"15,980,857",63,0.0000039422 
61,68 ,"17,190,851",68,0.0000039556 
62,73 ,"18,467,152",73,0.0000039530 
63,78 ,"19,813,394",78,0.0000039367 
64,83 ,"21,233,410",83,0.0000039089 
65,88 ,"22,731,242",88,0.0000038713 
66,93 ,"24,311,155",93,0.0000038254 
67,98 ,"25,977,647",98,0.0000037725 
68,103 ,"27,735,462",103,0.0000037137 
69,108 ,"29,589,605",108,0.0000036499 
70,116 ,"31,545,355",116,0.0000036772 
71,124 ,"33,608,280",124,0.0000036896 
72,132 ,"35,784,253",132,0.0000036888 
73,140 ,"38,079,469",140,0.0000036765 
74,148 ,"40,500,462",148,0.0000036543 
75,156 ,"43,054,125",156,0.0000036233 
76,164 ,"45,747,728",164,0.0000035849 
77,172 ,"48,588,940",172,0.0000035399 
78,180 ,"51,585,850",180,0.0000034893 
79,188 ,"54,746,990",188,0.0000034340 
80,200 ,"58,081,360",200,0.0000034434 
81,212 ,"61,598,453",212,0.0000034416 
82,224 ,"65,308,282",224,0.0000034299 
83,236 ,"69,221,409",236,0.0000034093 
84,248 ,"73,348,975",248,0.0000033811 
85,260 ,"77,702,731",260,0.0000033461 
86,272 ,"82,295,072",272,0.0000033052 
87,284 ,"87,139,073",284,0.0000032592 
88,296 ,"92,248,525",296,0.0000032087 
89,308 ,"97,637,974",308,0.0000031545 
90,324 ,"103,322,764",324,0.0000031358 
91,340 ,"109,319,080",340,0.0000031102 
92,356 ,"115,643,994",356,0.0000030784 
93,372 ,"122,315,513",372,0.0000030413 
94,388 ,"129,352,631",388,0.0000029996 
95,404 ,"136,775,383",404,0.0000029537 
96,420 ,"144,604,901",420,0.0000029045 
97,436 ,"152,863,476",436,0.0000028522 
98,452 ,"161,574,620",452,0.0000027975 
99,468 ,"170,763,134",468,0.0000027406 
100,488 ,"180,455,178",488,0.0000027043 
101,508 ,"190,678,346",508,0.0000026642 
102,528 ,"201,461,743",528,0.0000026208 
103,548 ,"212,836,070",548,0.0000025748 
104,568 ,"224,833,710",568,0.0000025263 
105,588 ,"237,488,820",588,0.0000024759 
106,608 ,"250,837,430",608,0.0000024239 
107,628 ,"264,917,543",628,0.0000023705 
108,648 ,"279,769,246",648,0.0000023162 
109,668 ,"295,434,822",668,0.0000022611 
110,693 ,"311,958,871",693,0.0000022214 
111,718 ,"329,388,437",718,0.0000021798 
112,743 ,"347,773,143",743,0.0000021365 
113,768 ,"367,165,330",768,0.0000020917 
114,793 ,"387,620,208",793,0.0000020458 
115,818 ,"409,196,013",818,0.0000019990 
116,843 ,"431,954,172",843,0.0000019516 
117,868 ,"455,959,478",868,0.0000019037 
118,893 ,"481,280,274",893,0.0000018555 
119,918 ,"507,988,649",918,0.0000018071 
120,948 ,"536,160,642",948,0.0000017681 
121,"1,010 ","565,876,460","1,010",0.0000017848 
122,"1,070 ","597,220,704","1,070",0.0000017916 
123,"1,130 ","630,282,612","1,130",0.0000017928 
124,"1,190 ","665,156,312","1,190",0.0000017891 
125,"1,250 ","701,941,090","1,250",0.0000017808 
126,"1,310 ","740,741,673","1,310",0.0000017685 
127,"1,370 ","781,668,527","1,370",0.0000017527 
128,"1,430 ","824,838,172","1,430",0.0000017337 
129,"1,490 ","870,373,513","1,490",0.0000017119 
130,"1,550 ","918,404,190","1,550",0.0000016877 
131,"1,650 ","969,066,948","1,650",0.0000017027 
132,"1,750 ","1,022,506,025","1,750",0.0000017115 
133,"1,850 ","1,078,873,563","1,850",0.0000017148 
134,"1,950 ","1,138,330,042","1,950",0.0000017130 
135,"2,050 ","1,201,044,736","2,050",0.0000017068 
136,"2,150 ","1,267,196,195","2,150",0.0000016967 
137,"2,250 ","1,336,972,753","2,250",0.0000016829 
138,"2,350 ","1,410,573,066","2,350",0.0000016660 
139,"2,450 ","1,488,206,676","2,450",0.0000016463 
140,"2,550 ","1,570,094,607","2,550",0.0000016241 
141,"2,720 ","1,656,469,996","2,720",0.0000016420 
142,"2,890 ","1,747,578,756","2,890",0.0000016537 
143,"3,060 ","1,843,680,276","3,060",0.0000016597 
144,"3,230 ","1,945,048,159","3,230",0.0000016606 
145,"3,400 ","2,051,971,001","3,400",0.0000016569 
146,"3,570 ","2,164,753,214","3,570",0.0000016491 
147,"3,740 ","2,283,715,892","3,740",0.0000016377 
148,"3,910 ","2,409,197,724","3,910",0.0000016229 
149,"4,080 ","2,541,555,960","4,080",0.0000016053 
150,"4,250 ","2,681,167,427","4,250",0.0000015851 
151,"4,530 ","2,828,429,602","4,530",0.0000016016 
152,"4,810 ","2,983,761,744","4,810",0.0000016121 
153,"5,090 ","3,147,606,087","5,090",0.0000016171 
154,"5,370 ","3,320,429,099","5,370",0.0000016173 
155,"5,650 ","3,502,722,812","5,650",0.0000016130 
156,"5,930 ","3,695,006,220","5,930",0.0000016049 
157,"6,210 ","3,897,826,758","6,210",0.0000015932 
158,"6,490 ","4,111,761,861","6,490",0.0000015784 
159,"6,770 ","4,337,420,607","6,770",0.0000015608 
160,"7,050 ","4,575,445,452","7,050",0.0000015408 
161,"7,550 ","4,826,514,058","7,550",0.0000015643 
162,"8,050 ","5,091,341,223","8,050",0.0000015811 
163,"8,550 ","5,370,680,916","8,550",0.0000015920 
164,"9,050 ","5,665,328,424","9,050",0.0000015974 
165,"9,550 ","5,976,122,615","9,550",0.0000015980 
166,"10,050 ","6,303,948,327","10,050",0.0000015942 
167,"10,550 ","6,649,738,888","10,550",0.0000015865 
168,"11,050 ","7,014,478,771","11,050",0.0000015753 
169,"11,550 ","7,399,206,399","11,550",0.0000015610 
170,"12,050 ","7,805,017,101","12,050",0.0000015439 
171,"12,850 ","8,233,066,229","12,850",0.0000015608 
172,"13,650 ","8,684,572,449","13,650",0.0000015718 
173,"14,450 ","9,160,821,209","14,450",0.0000015774 
174,"15,250 ","9,663,168,401","15,250",0.0000015782 
175,"16,050 ","10,193,044,219","16,050",0.0000015746 
176,"16,850 ","10,751,957,231","16,850",0.0000015672 
177,"17,650 ","11,341,498,676","17,650",0.0000015562 
178,"18,450 ","11,963,346,992","18,450",0.0000015422 
179,"19,250 ","12,619,272,595","19,250",0.0000015254 
180,"20,050 ","13,311,142,921","20,050",0.0000015063 
181,"21,250 ","14,040,927,740","21,250",0.0000015134 
182,"22,450 ","14,810,704,767","22,450",0.0000015158 
183,"23,650 ","15,622,665,575","23,650",0.0000015138 
184,"24,850 ","16,479,121,835","24,850",0.0000015080 
185,"26,050 ","17,382,511,898","26,050",0.0000014986 
186,"27,250 ","18,335,407,736","27,250",0.0000014862 
187,"28,450 ","19,340,522,265","28,450",0.0000014710 
188,"29,650 ","20,400,717,070","29,650",0.0000014534 
189,"30,850 ","21,519,010,550","30,850",0.0000014336 
190,"32,050 ","22,698,586,512","32,050",0.0000014120 
191,"33,850 ","23,942,803,236","33,850",0.0000014138 
192,"35,650 ","25,255,203,036","35,650",0.0000014116 
193,"37,450 ","26,639,522,345","37,450",0.0000014058 
194,"39,250 ","28,099,702,352","39,250",0.0000013968 
195,"41,050 ","29,639,900,223","41,050",0.0000013850 
196,"42,850 ","31,264,500,937","42,850",0.0000013706 
197,"44,650 ","32,978,129,770","44,650",0.0000013539 
198,"46,450 ","34,785,665,463","46,450",0.0000013353 
199,"48,250 ","36,692,254,111","48,250",0.0000013150 
200,"50,050 ","38,703,323,816","50,050",0.0000012932 
201,"52,550 ","40,824,600,140","52,550",0.0000012872 
202,"55,300 ","43,062,114,198","55,300",0.0000012842 
203,"58,300 ","45,421,305,919","58,300",0.0000012835 
204,"61,550 ","47,907,836,844","61,550",0.0000012848 
205,"65,050 ","50,527,602,921","65,050",0.0000012874 
206,"68,800 ","53,286,749,320","68,800",0.0000012911 
207,"72,800 ","56,191,686,186","72,800",0.0000012956 
208,"77,050 ","59,249,103,137","77,050",0.0000013004 
209,"81,550 ","62,465,985,058","81,550",0.0000013055 
210,"86,300 ","65,849,627,765","86,300",0.0000013106 
211,"91,550 ","69,407,623,776","91,550",0.0000013190 
212,"97,300 ","73,147,878,540","97,300",0.0000013302 
213,"103,550 ","77,078,626,306","103,550",0.0000013434 
214,"110,300 ","81,208,446,704","110,300",0.0000013582 
215,"117,550 ","85,546,281,650","117,550",0.0000013741 
216,"125,300 ","90,101,451,629","125,300",0.0000013907 
217,"133,550 ","94,883,672,247","133,550",0.0000014075 
218,"142,300 ","99,903,071,893","142,300",0.0000014244 
219,"151,550 ","105,170,207,709","151,550",0.0000014410 
220,"161,300 ","110,696,083,580","161,300",0.0000014571 
221,"172,050 ","116,492,168,339","172,050",0.0000014769 
222,"183,800 ","122,570,413,720","183,800",0.0000014995 
223,"196,550 ","128,943,272,586","196,550",0.0000015243 
224,"210,300 ","135,623,717,401","210,300",0.0000015506 
225,"225,050 ","142,625,258,658","225,050",0.0000015779 
226,"240,800 ","149,961,965,343","240,800",0.0000016057 
227,"257,550 ","157,648,483,768","257,550",0.0000016337 
228,"275,300 ","165,700,057,389","275,300",0.0000016614 
229,"294,050 ","174,132,547,043","294,050",0.0000016887 
230,"313,800 ","182,962,451,711","313,800",0.0000017151 
231,"335,300 ","192,206,928,399","335,300",0.0000017445 
232,"358,550 ","201,883,812,277","358,550",0.0000017760 
233,"383,550 ","212,011,637,808","383,550",0.0000018091 
234,"410,300 ","222,609,558,293","410,300",0.0000018431 
