차원의 경계,소모 조각,누적 조각,최종 데미지,최종 크리데미지
1LV,"105","105",0.15%,0%
2LV,"110","215",0.15%,0.15%
3LV,"116","331",0.3%,0.15%
4LV,"122","453",0.3%,0.3%
5LV,"128","581",0.45%,0.3%
6LV,"134","715",0.45%,0.45%
7LV,"141","856",0.6%,0.45%
8LV,"148","1,004",0.6%,0.6%
9LV,"155","1,159",0.75%,0.6%
10LV,"163","1,322",0.75%,0.75%
11LV,"171","1,493",0.9%,0.75%
12LV,"180","1,673",0.9%,0.9%
13LV,"189","1,862",1.05%,0.9%
14LV,"198","2,060",1.05%,1.05%
15LV,"208","2,268",1.2%,1.05%
16LV,"219","2,487",1.2%,1.2%
17LV,"230","2,717",1.35%,1.2%
18LV,"241","2,958",1.35%,1.35%
19LV,"253","3,211",1.5%,1.35%
20LV,"266","3,477",1.5%,1.5%
21LV,"279","3,756",1.65%,1.5%
22LV,"293","4,049",1.65%,1.65%
23LV,"308","4,357",1.8%,1.65%
24LV,"323","4,680",1.8%,1.8%
25LV,"340","5,020",1.95%,1.8%
26LV,"357","5,377",1.95%,1.95%
27LV,"374","5,751",2.1%,1.95%
28LV,"393","6,144",2.1%,2.1%
29LV,"413","6,557",2.25%,2.1%
30LV,"434","6,991",2.25%,2.25%
31LV,"455","7,446",2.4%,2.25%
32LV,"478","7,924",2.4%,2.4%
33LV,"502","8,426",2.55%,2.4%
34LV,"527","8,953",2.55%,2.55%
35LV,"554","9,507",2.7%,2.55%
36LV,"581","10,088",2.7%,2.7%
37LV,"610","10,698",2.85%,2.7%
38LV,"641","11,339",2.85%,2.85%
39LV,"673","12,012",3%,2.85%
40LV,"707","12,719",3%,3%
41LV,"742","13,461",3.15%,3%
42LV,"779","14,240",3.15%,3.15%
43LV,"818","15,058",3.3%,3.15%
44LV,"859","15,917",3.3%,3.3%
45LV,"902","16,819",3.45%,3.3%
46LV,"947","17,766",3.45%,3.45%
47LV,"995","18,761",3.6%,3.45%
48LV,"1,044","19,805",3.6%,3.6%
49LV,"1,097","20,902",3.75%,3.6%
50LV,"1,152","22,054",3.75%,3.75%
51LV,"1,209","23,263",3.9%,3.75%
52LV,"1,270","24,533",3.9%,3.9%
53LV,"1,333","25,866",4.05%,3.9%
54LV,"1,400","27,266",4.05%,4.05%
55LV,"1,470","28,736",4.2%,4.05%
56LV,"1,543","30,279",4.2%,4.2%
57LV,"1,621","31,900",4.35%,4.2%
58LV,"1,702","33,602",4.35%,4.35%
59LV,"1,787","35,389",4.5%,4.35%
60LV,"1,876","37,265",4.5%,4.5%
61LV,"1,970","39,235",4.65%,4.5%
62LV,"2,068","41,303",4.65%,4.65%
63LV,"2,172","43,475",4.8%,4.65%
64LV,"2,280","45,755",4.8%,4.8%
65LV,"2,394","48,149",4.95%,4.8%
66LV,"2,514","50,663",4.95%,4.95%
67LV,"2,640","53,303",5.1%,4.95%
68LV,"2,772","56,075",5.1%,5.1%
69LV,"2,910","58,985",5.25%,5.1%
70LV,"3,056","62,041",5.25%,5.25%
71LV,"3,209","65,250",5.4%,5.25%
72LV,"3,369","68,619",5.4%,5.4%
73LV,"3,538","72,157",5.55%,5.4%
74LV,"3,714","75,871",5.55%,5.55%
75LV,"3,900","79,771",5.7%,5.55%
76LV,"4,095","83,866",5.7%,5.7%
77LV,"4,300","88,166",5.85%,5.7%
78LV,"4,515","92,681",5.85%,5.85%
79LV,"4,741","97,422",6%,5.85%
80LV,"4,978","102,400",6%,6%
81LV,"5,227","107,627",6.15%,6%
82LV,"5,488","113,115",6.15%,6.15%
83LV,"5,763","118,878",6.3%,6.15%
84LV,"6,051","124,929",6.3%,6.3%
85LV,"6,353","131,282",6.45%,6.3%
86LV,"6,671","137,953",6.45%,6.45%
87LV,"7,005","144,958",6.6%,6.45%
88LV,"7,355","152,313",6.6%,6.6%
89LV,"7,723","160,036",6.75%,6.6%
90LV,"8,109","168,145",6.75%,6.75%
91LV,"8,514","176,659",6.9%,6.75%
92LV,"8,940","185,599",6.9%,6.9%
93LV,"9,387","194,986",7.05%,6.9%
94LV,"9,856","204,842",7.05%,7.05%
95LV,"10,349","215,191",7.2%,7.05%
96LV,"10,867","226,058",7.2%,7.2%
97LV,"11,410","237,468",7.35%,7.2%
98LV,"11,981","249,449",7.35%,7.35%
99LV,"12,580","262,029",7.5%,7.35%
100LV,"13,209","275,238",7.5%,7.5%
101LV,"13,869","289,107",7.65%,7.5%
102LV,"14,563","303,670",7.65%,7.65%
103LV,"15,291","318,961",7.8%,7.65%
104LV,"16,055","335,016",7.8%,7.8%
105LV,"16,858","351,874",7.95%,7.8%
106LV,"17,701","369,575",7.95%,7.95%
107LV,"18,586","388,161",8.1%,7.95%
108LV,"19,515","407,676",8.1%,8.1%
109LV,"20,491","428,167",8.25%,8.1%
110LV,"21,516","449,683",8.25%,8.25%
111LV,"22,592","472,275",8.4%,8.25%
112LV,"23,721","495,996",8.4%,8.4%
113LV,"24,907","520,903",8.55%,8.4%
114LV,"26,153","547,056",8.55%,8.55%
115LV,"27,460","574,516",8.7%,8.55%
116LV,"28,833","603,349",8.7%,8.7%
117LV,"30,275","633,624",8.85%,8.7%
118LV,"31,789","665,413",8.85%,8.85%
119LV,"33,378","698,791",9%,8.85%
120LV,"35,047","733,838",9%,9%
121LV,"36,800","770,638",9.15%,9%
122LV,"38,640","809,278",9.15%,9.15%
123LV,"40,572","849,850",9.3%,9.15%
124LV,"42,600","892,450",9.3%,9.3%
125LV,"44,730","937,180",9.45%,9.3%
126LV,"46,967","984,147",9.45%,9.45%
127LV,"49,315","1,033,462",9.6%,9.45%
128LV,"51,781","1,085,243",9.6%,9.6%
129LV,"54,370","1,139,613",9.75%,9.6%
130LV,"57,089","1,196,702",9.75%,9.75%
131LV,"59,943","1,256,645",9.9%,9.75%
132LV,"62,940","1,319,585",9.9%,9.9%
133LV,"66,087","1,385,672",10.05%,9.9%
134LV,"69,392","1,455,064",10.05%,10.05%
135LV,"72,861","1,527,925",10.2%,10.05%
136LV,"76,504","1,604,429",10.2%,10.2%
137LV,"80,330","1,684,759",10.35%,10.2%
138LV,"84,346","1,769,105",10.35%,10.35%
139LV,"88,563","1,857,668",10.5%,10.35%
140LV,"92,992","1,950,660",10.5%,10.5%
141LV,"97,641","2,048,301",10.65%,10.5%
142LV,"102,523","2,150,824",10.65%,10.65%
143LV,"107,650","2,258,474",10.8%,10.65%
144LV,"113,032","2,371,506",10.8%,10.8%
145LV,"118,684","2,490,190",10.95%,10.8%
146LV,"124,618","2,614,808",10.95%,10.95%
147LV,"130,849","2,745,657",11.1%,10.95%
148LV,"137,391","2,883,048",11.1%,11.1%
149LV,"144,261","3,027,309",11.25%,11.1%
150LV,"151,474","3,178,783",11.25%,11.25%
