제네시스,소모 구슬,누적 구슬,숙련도,데미지
1LV,"8,000","8,000",15,3645
2LV,"8,700","16,700",15,3864
3LV,"9,400","26,100",19,4107
4LV,"10,200","36,300",19,4350
5LV,"11,100","47,400",23,4617
6LV,"12,100","59,500",23,4884
7LV,"13,100","72,600",27,5176
8LV,"14,200","86,800",27,5492
9LV,"15,400","102,200",31,5808
10LV,"16,700","118,900",31,6172
11LV,"18,200","137,100",35,6537
12LV,"19,700","156,800",35,6926
13LV,"21,400","178,200",39,7339
14LV,"23,200","201,400",39,7776
15LV,"25,200","226,600",43,8238
16LV,"27,400","254,000",43,8748
17LV,"29,700","283,700",47,9258
18LV,"32,300","316,000",47,9817
19LV,"35,000","351,000",50,10400
20LV,"38,000","389,000",50,11032
21LV,"41,300","430,300",54,11688
22LV,"44,800","475,100",54,12393
23LV,"48,600","523,700",58,13146
24LV,"52,800","576,500",58,13924
25LV,"57,300","633,800",62,14774
26LV,"62,100","695,900",62,15649
27LV,"67,400","763,300",66,16597
28LV,"73,200","836,500",66,17593
29LV,"79,400","915,900",70,18638
30LV,"86,200","1,002,100",70,19756
