아이스데몬,소모 구슬,누적 구슬,숙련도,데미지
1LV,2,2,15,4300
2LV,3,5,15,4577
3LV,4,9,19,4854
4LV,6,15,19,5132
5LV,8,23,23,5409
6LV,12,35,23,5686
7LV,16,51,27,5963
8LV,22,73,27,6241
9LV,32,105,31,6518
10LV,44,149,31,6795
11LV,62,211,35,7072
12LV,87,298,35,7350
13LV,122,420,39,7627
14LV,170,590,39,7904
15LV,239,829,43,8181
16LV,335,"1,164",43,8459
17LV,468,"1,632",46,8736
18LV,655,"2,287",46,9013
19LV,917,"3,204",50,9290
20LV,"1,284","4,488",50,9568
21LV,"1,797","6,285",54,9845
22LV,"2,517","8,802",54,10122
23LV,"3,523","12,325",58,10399
24LV,"4,932","17,257",58,10677
25LV,"6,906","24,163",62,10954
26LV,"9,668","33,831",62,11231
27LV,"13,532","47,363",66,11508
28LV,"18,950","66,313",66,11786
29LV,"26,525","92,838",70,12063
30LV,"37,162","130,000",70,12340
