피어싱,소모 조각,누적 조각,데미지,추가옵션
1LV,80,80,200%
2LV,160,240,220%
3LV,320,560,240%
4LV,480,"1,040",270%
5LV,640,"1,680",300%
6LV,800,"2,480",340%
7LV,960,"3,440",380%
8LV,"1,120","4,560",430%
9LV,"1,280","5,840",480%
10LV,"1,440","7,280",540%
11LV,"1,600","8,880",610%,쿨타임1초감소(5초)
12LV,"1,760","10,640",690%
13LV,"1,920","12,560",780%
14LV,"2,080","14,640",880%
15LV,"2,240","16,880",990%
16LV,"2,400","19,280",1110%
17LV,"2,560","21,840",1240%
18LV,"2,720","24,560",1380%
19LV,"2,880","27,440",1530%
20LV,"3,040","30,480",1690%
21LV,"3,200","33,680",1870%,쿨타임1초감소(4초)
22LV,"3,360","37,040",2070%
23LV,"3,520","40,560",2290%
24LV,"3,680","44,240",2530%
25LV,"3,840","48,080",2790%
26LV,"4,000","52,080",3070%
27LV,"4,160","56,240",3370%
28LV,"4,320","60,560",3600%
29LV,"4,480","65,040",3800%
30LV,"4,640","69,680",4000%
