생츄어리,소모 조각,누적 조각,1.5초쿨 광역딜 45마리,추가옵션
1LV,4,4,480%,
2LV,8,12,510%,
3LV,17,29,540%,
4LV,25,54,570%,
5LV,38,92,600%,
6LV,50,142,630%,
7LV,71,213,660%,
8LV,92,305,690%,
9LV,121,426,720%,
10LV,154,580,750%,
11LV,192,772,775%,50마리
12LV,238,"1,010",800%,
13LV,292,"1,302",825%,
14LV,350,"1,652",850%,
15LV,417,"2,069",875%,
16LV,496,"2,565",900%,
17LV,579,"3,144",925%,
18LV,679,"3,823",950%,
19LV,788,"4,611",975%,
20LV,980,"5,591",1000%,
21LV,"1,096","6,687",1020%,55마리
22LV,"1,221","7,908",1040%,
23LV,"1,351","9,259",1060%,
24LV,"1,488","10,747",1080%,
25LV,"1,634","12,381",1100%,
26LV,"1,788","14,169",1120%,
27LV,"1,951","16,120",1140%,
28LV,"2,117","18,237",1160%,
29LV,"2,292","20,529",1180%,
30LV,"2,476","23,005",1200%,60마리
