폭풍의 시,소모 구슬,누적 구슬,데미지%
1LV,"50,000","50,000","130,000%"
2LV,"58,000","108,000","130,100%"
3LV,"66,000","174,000","130,300%"
4LV,"76,000","250,000","130,700%"
5LV,"88,000","338,000","131,300%"
6LV,"101,000","439,000","132,100%"
7LV,"116,000","555,000","133,000%"
8LV,"133,000","688,000","134,100%"
9LV,"153,000","841,000","135,300%"
10LV,"176,000","1,017,000","136,700%"
11LV,"202,000","1,219,000","138,300%"
12LV,"233,000","1,452,000","140,100%"
13LV,"268,000","1,720,000","142,000%"
14LV,"308,000","2,028,000","144,100%"
15LV,"354,000","2,382,000","146,300%"
16LV,"380,000","2,762,000","148,700%"
17LV,"410,000","3,172,000","151,300%"
18LV,"440,000","3,612,000","154,000%"
19LV,"470,000","4,082,000","156,900%"
20LV,"500,000","4,582,000","160,000%"
21LV,"540,000","5,122,000","163,300%"
22LV,"580,000","5,702,000","166,700%"
23LV,"620,000","6,322,000","170,300%"
24LV,"670,000","6,992,000","174,000%"
25LV,"720,000","7,712,000","177,900%"
26LV,"780,000","8,492,000","182,000%"
27LV,"840,000","9,332,000","186,200%"
28LV,"910,000","10,242,000","190,600%"
29LV,"980,000","11,222,000","195,200%"
30LV,"1,060,000","12,282,000","200,000%"
