썬더볼트,소모 조각,누적 조각,30마리
1LV,2,2,2 숙련도 15%
2LV,4,6,4 숙련도 15%
3LV,8,14,6 숙련도 15%
4LV,12,26,8 숙련도 20%
5LV,18,44,10 숙련도 20%
6LV,24,68,12 숙련도 20%
7LV,34,102,14 숙련도 25%
8LV,44,146,16 숙련도 25%
9LV,58,204,18 숙련도 25%
10LV,74,278,20 숙련도 30%
11LV,92,370,22 숙련도 30%
12LV,114,484,24 숙련도 30%
13LV,140,624,26 숙련도 35%
14LV,168,792,28 숙련도 35%
15LV,200,992,30 숙련도 35%
16LV,238,"1,230",32 숙련도 40%
17LV,278,"1,508",34 숙련도 40%
18LV,326,"1,834",36 숙련도 40%
19LV,378,"2,212",38 숙련도 45%
20LV,470,"2,682",40 숙련도 45%
21LV,526,"3,208",42 숙련도 45%
22LV,586,"3,794",44 숙련도 50%
23LV,648,"4,442",46 숙련도 50%
24LV,714,"5,156",48 숙련도 50%
25LV,784,"5,940",50 숙련도 55%
26LV,858,"6,798",52 숙련도 55%
27LV,936,"7,734",54 숙련도 55%
28LV,"1,016","8,750",56 숙련도 60%
29LV,"1,100","9,850",58 숙련도 60%
30LV,"1,188","11,038",
