"레벨","몬스터명","체력","경험치","경험치/체력 비율
(낮을수록 좋음)","입장 제한 RP","맵 유형","위치
(게임 내 표기)","이세계 조각, 구슬(%)"
"1","달팽이","8","3","2.667","0","일반 필드","빅토리아-리스항구던전1","미드랍"
"2","파란달팽이","15","4","3.75","0","일반 필드","빅토리아-리스항구던전1","미드랍"
"2","스포아","20","5","4","0","일반 필드","빅토리아-리스항구던전2","미드랍"
"4","스텀프","40","8","5","0","일반 필드","빅토리아-헤네시스던전1
빅토리아-페리온던전1","미드랍"
"4","빨강달팽이","40","8","5","0","일반 필드","빅토리아-리스항구던전2
빅토리아-엘리니아던전1","미드랍"
"6","슬라임","50","10","5","0","일반 필드","빅토리아-헤네시스던전1
빅토리아-엘리니아던전1","미드랍"
"7","돼지","75","15","5","0","일반 필드","빅토리아-리스항구던전1","미드랍"
"8","주황버섯","80","15","5.333","0","일반 필드","빅토리아-헤네시스던전1
빅토리아-엘리니아던전2
빅토리아-커닝시티던전1","미드랍"
"10","리본돼지","120","20","6","0","일반 필드","빅토리아-리스항구던전2","미드랍"
"12","옥토퍼스","200","24","8.333","0","일반 필드","빅토리아-커닝시티던전1","미드랍"
"15","버블링","240","26","9.231","0","일반 필드","빅토리아-엘리니아던전3
빅토리아-커닝시티던전1","미드랍"
"10","다크 스텀프","250","18","13.889","0","일반 필드","빅토리아-페리온던전1","미드랍"
"15","초록버섯","250","26","9.615","0","일반 필드","빅토리아-헤네시스던전2","미드랍"
"21","주니어네키","285","38","7.5","0","일반 필드","빅토리아-커닝시티던전2
빅토리아-커닝시티던전3","미드랍"
"17","엑스텀프","300","30","10","0","일반 필드","빅토리아-페리온던전2","미드랍"
"22","뿔버섯","300","35","8.571","0","일반 필드","빅토리아-슬리피우드던전1","미드랍"
"19","고스텀프","330","33","10","0","일반 필드","빅토리아-페리온던전3","미드랍"
"20","파란버섯","350","32","10.938","0","일반 필드","빅토리아-헤네시스던전2","미드랍"
"23","우든 마스크","500","42","11.905","0","일반 필드","빅토리아-페리온던전2","미드랍"
"24","좀비버섯","500","42","11.905","0","일반 필드","빅토리아-슬리피우드던전2","미드랍"
"22","다크 엑스텀프","550","38","14.474","0","일반 필드","빅토리아-페리온던전1","미드랍"
"25","와일드보어","550","42","13.095","0","일반 필드","빅토리아-페리온던전4","미드랍"
"24","스톤 마스크","600","45","13.333","0","일반 필드","빅토리아-페리온던전3","미드랍"
"27","이블아이","720","50","14.4","0","일반 필드","빅토리아-엘리니아던전1","미드랍"
"30","파이어 스톤볼","900","55","16.364","0","일반 필드","오르비스-오르비스탑 던전1","미드랍"
"30","아이스 스톤볼","900","55","16.364","0","일반 필드","오르비스-오르비스탑 던전1","미드랍"
"30","스톤볼","900","55","16.364","0","일반 필드","오르비스-오르비스탑 던전1","미드랍"
"30","브라운테니","950","60","15.833","0","일반 필드","루디브리엄-하늘테라스던전1","미드랍"
"32","라츠","1000","65","15.385","0","일반 필드","루디브리엄-에오스탑던전1","미드랍"
"32","파이어보어","1000","60","16.667","0","일반 필드","빅토리아-페리온던전2","미드랍"
"32","리티","1000","60","16.667","0","일반 필드","오르비스-오르비스탑 던전2","미드랍"
"32","큐브 슬라임","1000","62","16.129","0","일반 필드","마가티아-제뉴미스트 연구소던전1","미드랍"
"32","핑크테니","1050","65","16.154","0","일반 필드","루디브리엄-하늘테라스던전1","미드랍"
"33","다크 리티","1100","65","16.923","0","일반 필드","오르비스-오르비스탑 던전2","미드랍"
"33","주니어 샐리온","1100","65","16.923","0","일반 필드","오르비스-하늘계단던전1","미드랍"
"33","주니어 그류핀","1100","70","15.714","0","일반 필드","오르비스-하늘계단던전1","미드랍"
"33","주니어 라이오너","1100","65","16.923","0","일반 필드","오르비스-하늘계단던전1","미드랍"
"34","티키","1100","70","15.714","0","일반 필드","루디브리엄-시간의길던전1","미드랍"
"34","블랙라츠","1150","70","16.429","0","일반 필드","루디브리엄-에오스탑던전1","미드랍"
"32","리게이터","1200","60","20","0","일반 필드","빅토리아-커닝시티던전3","미드랍"
"34","더키 패밀리","1200","70","17.143","0","일반 필드","루디브리엄-하늘테라스던전1
루디브리엄-하늘테라스던전2","미드랍"
"35","주니어 레이스","1200","70","17.143","0","일반 필드","빅토리아-커닝시티던전1","미드랍"
"35","커즈아이","1250","70","17.857","0","일반 필드","빅토리아-엘리니아던전2
빅토리아-슬리피우드던전1","미드랍"
"35","블록퍼스","1300","72","18.056","0","일반 필드","루디브리엄-에오스탑던전2","미드랍"
"35","스타픽시","1300","72","18.056","0","일반 필드","오르비스-구름공원던전1","미드랍"
"35","주니어 페페","1400","75","18.667","0","일반 필드","오르비스-오르비스탑 던전2","미드랍"
"35","루모","1400","75","18.667","0","일반 필드","마가티아-제뉴미스트 연구소던전1","미드랍"
"36","팬더테니","1400","77","18.182","0","일반 필드","루디브리엄-하늘테라스던전2","미드랍"
"37","루팡","1500","77","19.481","0","일반 필드","빅토리아-엘리니아던전2","미드랍"
"35","주니어부기","1700","150","11.333","0","일반 필드","빅토리아-페리온던전4","미드랍"
"37","크로노스","1750","82","21.341","0","일반 필드","루디브리엄-시간의길던전1","미드랍"
"40","좀비루팡","1800","90","20","0","일반 필드","빅토리아-엘리니아던전3","미드랍"
"38","킹 블록퍼스","1850","85","21.765","0","일반 필드","루디브리엄-에오스탑던전2
루디브리엄-에오스탑던전3","미드랍"
"38","트리플 루모","1850","85","21.765","0","일반 필드","마가티아-제뉴미스트 연구소던전1","미드랍"
"40","틱톡","1900","95","20","0","일반 필드","루디브리엄-시간의길던전1","미드랍"
"40","별다람쥐","1900","95","20","0","일반 필드","무릉-하늘숲-하늘숲던전1","미드랍"
"39","장난감 목마","1920","92","20.87","0","일반 필드","루디브리엄-하늘테라스던전2","미드랍"
"40","콜드아이","2000","85","23.529","0","일반 필드","빅토리아-엘리니아던전3
빅토리아-슬리피우드던전2","미드랍"
"41","로보토이","2000","99","20.202","0","일반 필드","루디브리엄-장난감공장던전1","미드랍"
"41","호저","2000","99","20.202","0","일반 필드","무릉-하늘숲-하늘숲던전1","미드랍"
"41","플래툰 크로노스","2050","99","20.707","0","일반 필드","루디브리엄-시간의길던전2","미드랍"
"42","아이언호그","2200","99","22.222","0","일반 필드","빅토리아-페리온던전3","미드랍"
"42","블록 골렘","2400","102","23.529","0","일반 필드","루디브리엄-에오스탑던전2","미드랍"
"42","아이언뮤테","2400","102","23.529","0","일반 필드","마가티아-알카드노 연구소던전1","미드랍"
"43","흑저","2400","103","23.301","0","일반 필드","무릉-하늘숲-하늘숲던전1","미드랍"
"44","스켈독","2450","107","22.897","0","일반 필드","빅토리아-페리온던전5","미드랍"
"44","마스터로보","2450","105","23.333","0","일반 필드","루디브리엄-장난감공장던전1","미드랍"
"45","루나픽시","2500","105","23.81","0","일반 필드","오르비스-구름공원던전1","미드랍"
"45","강화된 아이언 뮤테","2550","110","23.182","0","일반 필드","마가티아-알카드노 연구소던전1","미드랍"
"45","청화사","2550","110","23.182","0","일반 필드","무릉-하늘숲-하늘숲던전2","미드랍"
"45","홍화사","2550","110","23.182","0","일반 필드","무릉-하늘숲-하늘숲던전2","미드랍"
"45","킹 블록 골렘","2600","110","23.636","0","일반 필드","루디브리엄-에오스탑던전3","미드랍"
"46","마스터 크로노스","2600","115","22.609","0","일반 필드","루디브리엄-시간의길던전3","미드랍"
"45","아이언보어","2650","115","23.043","0","일반 필드","빅토리아-페리온던전5","미드랍"
"45","카파드레이크","2700","105","25.714","0","일반 필드","빅토리아-페리온던전4","미드랍"
"47","머미독","2750","117","23.504","0","일반 필드","빅토리아-페리온던전5","미드랍"
"47","미스릴뮤테","2750","117","23.504","0","일반 필드","마가티아-알카드노 연구소던전2","미드랍"
"48","레이스","2800","120","23.333","0","일반 필드","빅토리아-커닝시티던전2","미드랍"
"50","강화된 미스릴 뮤테","3000","135","22.222","0","일반 필드","마가티아-알카드노 연구소던전2","미드랍"
"50","훈련용 짚 인형","3000","135","22.222","0","일반 필드","무릉-수련장-무릉사원던전1
무릉-수련장-무릉사원던전2","미드랍"
"50","드레이크","3200","135","23.704","0","일반 필드","빅토리아-슬리피우드던전1","미드랍"
"51","훈련용 나무인형","3200","142","22.535","0","일반 필드","무릉-수련장-무릉사원던전2","미드랍"
"50","주니어 예티","3700","135","27.407","0","일반 필드","엘나스-엘나스 산맥-빙판 조심
엘나스-엘나스 산맥-얼음골짜기","미드랍"
"52","크로코","3800","170","22.353","0","일반 필드","빅토리아-커닝시티던전3","미드랍"
"52","러스터픽시","4000","155","25.806","0","일반 필드","오르비스-구름공원던전1","미드랍"
"55","스톤 골렘","4000","170","23.529","0","일반 필드","빅토리아-헤네시스던전2
빅토리아-슬리피우드던전3","미드랍"
"53","샐리온","4200","160","26.25","0","일반 필드","오르비스-하늘계단던전2","미드랍"
"53","그류핀","4200","160","26.25","0","일반 필드","오르비스-하늘계단던전2","미드랍"
"53","라이오너","4200","160","26.25","0","일반 필드","오르비스-하늘계단던전2","미드랍"
"54","로이드","4400","168","26.19","0","일반 필드","마가티아-알카드노 연구소던전3","미드랍"
"56","다크 주니어 예티","4400","180","24.444","0","일반 필드","엘나스-엘나스 산맥-날카로운 절벽","미드랍"
"55","비급","4500","175","25.714","0","일반 필드","무릉-하늘숲-안개숲던전1","미드랍"
"55","헥터","4600","170","27.059","0","일반 필드","엘나스-엘나스 산맥-빙판 조심
엘나스-엘나스 산맥-차가운 벌판
엘나스-엘나스 산맥-늑대의 영역","미드랍"
"57","스켈레톤 사병","4600","190","24.211","0","일반 필드","빅토리아-페리온던전6","미드랍"
"56","달곰","4800","185","25.946","0","일반 필드","무릉-야생곰의 영토-야생곰의 영토던전1","미드랍"
"58","다크 스톤골렘","4800","200","24","0","일반 필드","빅토리아-슬리피우드던전2
빅토리아-슬리피우드던전3","미드랍"
"62","와일드카고","5500","240","22.917","0","일반 필드","빅토리아-슬리피우드던전4","미드랍"
"58","네오 휴로이드","5600","205","27.317","0","일반 필드","마가티아-알카드노 연구소던전3
마가티아-알카드노 연구소던전4","미드랍"
"58","천록","5600","205","27.317","0","일반 필드","무릉-하늘숲-천도과수원던전1
무릉-하늘숲-안개숲던전1","미드랍"
"58","화이트 팽","5800","220","26.364","0","일반 필드","엘나스-엘나스 산맥-차가운 벌판
엘나스-엘나스 산맥-늑대의 영역","미드랍"
"59","믹스 골렘","6000","210","28.571","0","일반 필드","빅토리아-슬리피우드던전3","미드랍"
"60","레드 드레이크","6000","220","27.273","0","일반 필드","빅토리아-슬리피우드던전4","미드랍"
"60","판다곰","6500","225","28.889","0","일반 필드","무릉-야생곰의 영토-야생곰의 영토던전2","미드랍"
"60","페페","7200","220","32.727","0","일반 필드","엘나스-엘나스 산맥-차가운 벌판
엘나스-엘나스 산맥-얼음골짜기","미드랍"
"61","버피","7400","230","32.174","0","일반 필드","루디브리엄-시계탑 최하층 좌측던전1","미드랍"
"62","원공","7500","240","31.25","0","일반 필드","무릉-하늘숲-천도과수원던전1","미드랍"
"63","스켈레톤 장교","7500","240","31.25","0","일반 필드","빅토리아-페리온던전6","미드랍"
"63","소울테니","7600","245","31.02","0","일반 필드","루디브리엄-시계탑 최하층 우측던전1","미드랍"
"63","주니어 루이넬","7600","245","31.02","0","일반 필드","오르비스-하늘계단던전3","미드랍"
"64","아이스 드레이크","7700","250","30.8","0","일반 필드","빅토리아-슬리피우드던전4","미드랍"
"64","다크 페페","7800","250","31.2","0","일반 필드","엘나스-엘나스 산맥-날카로운 절벽","미드랍"
"66","레이지버피","9400","260","36.154","0","일반 필드","루디브리엄-시계탑 최하층 좌측던전1","미드랍"
"47","롬바드","11000","720","15.278","0","슈피겔만","마을 왼쪽 NPC
왼쪽 첫 번째 던전","미드랍"
"65","예티","11000","255","43.137","0","일반 필드","엘나스-엘나스 산맥-얼음골짜기","미드랍"
"67","마스터 소울 테니","11000","265","41.509","0","일반 필드","루디브리엄-시계탑 최하층 우측던전1","미드랍"
"68","다크 드레이크","13000","265","49.057","0","일반 필드","빅토리아-슬리피우드던전5","미드랍"
"68","사이티","13000","265","49.057","0","일반 필드","마가티아-제뉴미스트 연구소던전2","미드랍"
"68","다크 예티","13000","265","49.057","0","일반 필드","엘나스-엘나스 산맥-날카로운 절벽","미드랍"
"70","타우로마시스","15000","270","55.556","0","일반 필드","빅토리아-슬리피우드던전5","미드랍"
"70","클라크","15000","270","55.556","0","일반 필드","루디브리엄-시계탑 최하층 우측던전1","미드랍"
"73","스켈레톤 지휘관","15300","315","48.571","0","일반 필드","빅토리아-페리온던전6","미드랍"
"73","루이넬","15500","320","48.438","0","일반 필드","오르비스-하늘계단던전3","미드랍"
"73","호문쿨루","15500","320","48.438","0","일반 필드","마가티아-제뉴미스트 연구소던전2","미드랍"
"74","버푼","16000","340","47.059","0","일반 필드","루디브리엄-시계탑 최하층 좌측던전1
루디브리엄-시계탑 최하층 좌측던전2","미드랍"
"75","D.로이","16000","350","45.714","0","일반 필드","마가티아-알카드노 연구소던전4","미드랍"
"75","웨어울프","16000","350","45.714","0","일반 필드","엘나스-엘나스 산맥-늑대의 영역","미드랍"
"75","타우로스피어","18000","350","51.429","0","일반 필드","빅토리아-슬리피우드던전5","미드랍"
"76","다크클라크","18000","370","48.649","0","일반 필드","루디브리엄-시계탑 최하층 우측던전2","미드랍"
"78","예티와 페페","20000","800","25","0","일반 필드","엘나스-엘나스 산맥-얼음골짜기","미드랍"
"80","호문스큘러","27000","850","31.765","0","일반 필드","마가티아-제뉴미스트 연구소던전2","미드랍"
"80","라이칸스로프","27000","850","31.765","0","일반 필드","엘나스-엘나스 산맥-늑대의 영역","미드랍"
"82","다크 예티와 페페","29000","900","32.222","0","일반 필드","엘나스-엘나스 산맥-날카로운 절벽","미드랍"
"83","파이렛","30000","1100","27.273","0","일반 필드","루디브리엄-시계탑 최하층 좌측던전2
루디브리엄-시계탑 최하층 좌측던전3","미드랍"
"85","데스테니","32000","1300","24.615","0","일반 필드","루디브리엄-시계탑 최하층 우측던전2","미드랍"
"87","듀얼 파이렛","35000","1500","23.333","0","일반 필드","루디브리엄-시계탑 최하층 좌측던전3
루디브리엄-시계탑 최하층 좌측던전4","미드랍"
"89","마스터 데스 테니","40000","1720","23.256","0","일반 필드","루디브리엄-시계탑 최하층 우측던전2
루디브리엄-시계탑 최하층 우측던전3","미드랍"
"93","바이킹","50000","2100","23.81","0","일반 필드","루디브리엄-시계탑 최하층 좌측던전3
루디브리엄-시계탑 최하층 좌측던전4","미드랍"
"95","팬텀워치","53000","2300","23.043","0","일반 필드","루디브리엄-시계탑 최하층 우측던전3
루디브리엄-시계탑 최하층 우측던전4","미드랍"
"40","바나드 그레이","1930","95","20.315","0","일반 필드","지구방위본부-쿨란초원 던전1","미드랍"
"41","마티안","2080","99","21.01","0","일반 필드","지구방위본부-통제구역 던전1","미드랍"
"42","제타 그레이","2300","102","22.549","0","일반 필드","지구방위본부-쿨란초원 던전1","미드랍"
"44","플라티안","2480","105","23.619","0","일반 필드","지구방위본부-통제구역 던전1","미드랍"
"45","울트라 그레이","2550","110","23.181","0","일반 필드","지구방위본부-쿨란초원 던전2","미드랍"
