레벨,소모 RP,누적 RP,효과
1,"10,000","10,000",공격/스킬범위+1%
2,"20,000","30,000",공격/스킬범위+2%
3,"30,000","60,000",공격/스킬범위+3%
4,"40,000","100,000",공격/스킬범위+4%
5,"50,000","150,000",공격/스킬범위+5%
6,"60,000","210,000",공격/스킬범위+6%
7,"70,000","280,000",공격/스킬범위+7%
8,"80,000","360,000",공격/스킬범위+8%
9,"90,000","450,000",공격/스킬범위+9%
10,"100,000","550,000",공격/스킬범위+10%
11,"120,000","670,000",공격/스킬범위+11%
12,"140,000","810,000",공격/스킬범위+12%
13,"160,000","970,000",공격/스킬범위+13%
14,"180,000","1,150,000",공격/스킬범위+14%
15,"200,000","1,350,000",공격/스킬범위+15%
16,"220,000","1,570,000",공격/스킬범위+16%
17,"240,000","1,810,000",공격/스킬범위+17%
18,"260,000","2,070,000",공격/스킬범위+18%
19,"280,000","2,350,000",공격/스킬범위+19%
20,"300,000","2,650,000",공격/스킬범위+20%
