레벨,소모 RP,누적 RP,효과
1,"10,000,000","10,000,000",최종뎀 101%
2,"20,000,000","30,000,000",최종뎀 102%
3,"30,000,000","60,000,000",최종뎀 103%
4,"40,000,000","100,000,000",최종뎀 104%
5,"50,000,000","150,000,000",최종뎀 105%
6,"60,000,000","210,000,000",최종뎀 106%
7,"70,000,000","280,000,000",최종뎀 107%
8,"80,000,000","360,000,000",최종뎀 108%
9,"90,000,000","450,000,000",최종뎀 109%
10,"100,000,000","550,000,000",최종뎀 110%
11,"110,000,000","660,000,000",최종뎀 111%
12,"120,000,000","780,000,000",최종뎀 112%
13,"130,000,000","910,000,000",최종뎀 113%
14,"140,000,000","1,050,000,000",최종뎀 114%
15,"150,000,000","1,200,000,000",최종뎀 115%
16,"160,000,000","1,360,000,000",최종뎀 116%
17,"170,000,000","1,530,000,000",최종뎀 117%
18,"180,000,000","1,710,000,000",최종뎀 118%
19,"190,000,000","1,900,000,000",최종뎀 119%
20,"200,000,000","2,100,000,000",최종뎀 120%
21,"210,000,000","2,310,000,000",최종뎀 121%
22,"220,000,000","2,530,000,000",최종뎀 122%
23,"230,000,000","2,760,000,000",최종뎀 123%
24,"240,000,000","3,000,000,000",최종뎀 124%
25,"250,000,000","3,250,000,000",최종뎀 125%
26,"260,000,000","3,510,000,000",최종뎀 126%
27,"270,000,000","3,780,000,000",최종뎀 127%
28,"280,000,000","4,060,000,000",최종뎀 128%
29,"290,000,000","4,350,000,000",최종뎀 129%
30,"300,000,000","4,650,000,000",최종뎀 130%
31,"400,000,000","5,050,000,000",최종뎀 131%
32,"500,000,000","5,550,000,000",최종뎀 132%
33,"600,000,000","6,150,000,000",최종뎀 133%
34,"700,000,000","6,850,000,000",최종뎀 134%
35,"800,000,000","7,650,000,000",최종뎀 135%
36,"4,000,000,000","11,650,000,000",최종뎀 136%
37,"5,000,000,000","16,650,000,000",최종뎀 137%
38,"6,000,000,000","22,650,000,000",최종뎀 138%
39,"7,000,000,000","29,650,000,000",최종뎀 139%
40,"8,000,000,000","37,650,000,000",최종뎀 140%
41,"10,000,000,000","47,650,000,000",최종뎀 141%
42,"20,000,000,000","67,650,000,000",최종뎀 142%
43,"30,000,000,000","97,650,000,000",최종뎀 143%
44,"40,000,000,000","137,650,000,000",최종뎀 144%
45,"50,000,000,000","187,650,000,000",최종뎀 145%
46,"100,000,000,000","287,650,000,000",최종뎀 146%
47,"200,000,000,000","487,650,000,000",최종뎀 147%
48,"300,000,000,000","787,650,000,000",최종뎀 148%
49,"400,000,000,000","1,187,650,000,000",최종뎀 149%
50,"500,000,000,000","1,687,650,000,000",최종뎀 150%
51,"1,000,000,000,000","2,687,650,000,000",최종뎀 151%
52,"2,000,000,000,000","4,687,650,000,000",최종뎀 152%
53,"3,000,000,000,000","7,687,650,000,000",최종뎀 153%
54,"4,000,000,000,000","11,687,650,000,000",최종뎀 154%
55,"5,000,000,000,000","16,687,650,000,000",최종뎀 155%
56,"10,000,000,000,000","26,687,650,000,000",최종뎀 156%
57,"20,000,000,000,000","46,687,650,000,000",최종뎀 157%
58,"30,000,000,000,000","76,687,650,000,000",최종뎀 158%
59,"40,000,000,000,000","116,687,650,000,000",최종뎀 159%
60,"50,000,000,000,000","166,687,650,000,000",최종뎀 160%
61,"50,000,000,000,000","216,687,650,000,000",최종뎀 161%
62,"200,000,000,000,000","416,687,650,000,000",최종뎀 162%
63,"800,000,000,000,000","1,216,687,650,000,000",최종뎀 163%
64,"3,000,000,000,000,000","4,216,687,650,000,000",최종뎀 164%
65,"10,000,000,000,000,000","14,216,687,650,000,000",최종뎀 165%
66,"300,000,000,000,000,000","314,216,687,650,000,000",최종뎀 166%
67,"400,000,000,000,000,000","714,216,687,650,000,000",최종뎀 167%
68,"500,000,000,000,000,000","1,214,216,687,650,000,000",최종뎀 168%
69,"600,000,000,000,000,000","1,814,216,687,650,000,000",최종뎀 169%
70,"700,000,000,000,000,000","2,514,216,687,650,000,000",최종뎀 170%
