레벨,소모 RP,누적 RP,효과
1,"40,000,000,000,000","40,000,000,000,000","파이널 어택의 발동 확률 0.2%p, 데미지 1% 증가"
2,"60,000,000,000,000","100,000,000,000,000","파이널 어택의 발동 확률 0.4%p, 데미지 2% 증가"
3,"60,000,000,000,000","160,000,000,000,000","파이널 어택의 발동 확률 0.6%p, 데미지 3% 증가"
4,"80,000,000,000,000","240,000,000,000,000","파이널 어택의 발동 확률 0.8%p, 데미지 4% 증가"
5,"80,000,000,000,000","320,000,000,000,000","파이널 어택의 발동 확률 1.0%p, 데미지 5% 증가"
6,"100,000,000,000,000","420,000,000,000,000","파이널 어택의 발동 확률 1.2%p, 데미지 6% 증가"
7,"120,000,000,000,000","540,000,000,000,000","파이널 어택의 발동 확률 1.4%p, 데미지 7% 증가"
8,"140,000,000,000,000","680,000,000,000,000","파이널 어택의 발동 확률 1.6%p, 데미지 8% 증가"
9,"160,000,000,000,000","840,000,000,000,000","파이널 어택의 발동 확률 1.8%p, 데미지 9% 증가"
10,"180,000,000,000,000","1,020,000,000,000,000","파이널 어택의 발동 확률 2.0%p, 데미지 10% 증가"
11,"200,000,000,000,000","1,220,000,000,000,000","파이널 어택의 발동 확률 2.2%p, 데미지 11% 증가"
12,"240,000,000,000,000","1,460,000,000,000,000","파이널 어택의 발동 확률 2.4%p, 데미지 12% 증가"
13,"280,000,000,000,000","1,740,000,000,000,000","파이널 어택의 발동 확률 2.6%p, 데미지 13% 증가"
14,"320,000,000,000,000","2,060,000,000,000,000","파이널 어택의 발동 확률 2.8%p, 데미지 14% 증가"
15,"360,000,000,000,000","2,420,000,000,000,000","파이널 어택의 발동 확률 3.0%p, 데미지 15% 증가"
16,"420,000,000,000,000","2,840,000,000,000,000","파이널 어택의 발동 확률 3.2%p, 데미지 16% 증가"
17,"480,000,000,000,000","3,320,000,000,000,000","파이널 어택의 발동 확률 3.4%p, 데미지 17% 증가"
18,"540,000,000,000,000","3,860,000,000,000,000","파이널 어택의 발동 확률 3.6%p, 데미지 18% 증가"
19,"620,000,000,000,000","4,480,000,000,000,000","파이널 어택의 발동 확률 3.8%p, 데미지 19% 증가"
20,"720,000,000,000,000","5,200,000,000,000,000","파이널 어택의 발동 확률 4.0%p, 데미지 20% 증가"
21,"820,000,000,000,000","6,020,000,000,000,000","파이널 어택의 발동 확률 4.2%p, 데미지 21% 증가"
22,"940,000,000,000,000","6,960,000,000,000,000","파이널 어택의 발동 확률 4.4%p, 데미지 22% 증가"
23,"1,080,000,000,000,000","8,040,000,000,000,000","파이널 어택의 발동 확률 4.6%p, 데미지 23% 증가"
24,"1,240,000,000,000,000","9,280,000,000,000,000","파이널 어택의 발동 확률 4.8%p, 데미지 24% 증가"
25,"1,420,000,000,000,000","10,700,000,000,000,000","파이널 어택의 발동 확률 5.0%p, 데미지 25% 증가"
26,"1,620,000,000,000,000","12,320,000,000,000,000","파이널 어택의 발동 확률 5.2%p, 데미지 26% 증가"
27,"1,860,000,000,000,000","14,180,000,000,000,000","파이널 어택의 발동 확률 5.4%p, 데미지 27% 증가"
28,"2,140,000,000,000,000","16,320,000,000,000,000","파이널 어택의 발동 확률 5.6%p, 데미지 28% 증가"
29,"2,460,000,000,000,000","18,780,000,000,000,000","파이널 어택의 발동 확률 5.8%p, 데미지 29% 증가"
30,"2,820,000,000,000,000","21,600,000,000,000,000","파이널 어택의 발동 확률 6.0%p, 데미지 30% 증가"
31,"400,000,000,000,000,000","421,600,000,000,000,000","파이널 어택의 발동 확률 6.2%p, 데미지 31% 증가"
32,"600,000,000,000,000,000","1,021,600,000,000,000,000","파이널 어택의 발동 확률 6.4%p, 데미지 32% 증가"
33,"800,000,000,000,000,000","1,821,600,000,000,000,000","파이널 어택의 발동 확률 6.6%p, 데미지 33% 증가"
34,"1,000,000,000,000,000,000","2,821,600,000,000,000,000","파이널 어택의 발동 확률 6.8%p, 데미지 34% 증가"
35,"1,200,000,000,000,000,000","4,021,600,000,000,000,000","파이널 어택의 발동 확률 7.0%p, 데미지 35% 증가"
