레벨,소모 RP,누적 RP,효과
1,"1,000","1,000",데미지+113%
2,"2,000","3,000",데미지+116%
3,"3,000","6,000",데미지+119%
4,"4,000","10,000",데미지+122%
5,"5,000","15,000",데미지+125%
6,"6,000","21,000",데미지+128%
7,"7,000","28,000",데미지+131%
8,"8,000","36,000",데미지+134%
9,"9,000","45,000",데미지+137%
10,"10,000","55,000",데미지+140%
11,"11,000","66,000",데미지+143%
12,"12,000","78,000",데미지+146%
13,"13,000","91,000",데미지+149%
14,"14,000","105,000",데미지+152%
15,"15,000","120,000",데미지+155%
16,"16,000","136,000",데미지+158%
17,"17,000","153,000",데미지+161%
18,"18,000","171,000",데미지+164%
19,"19,000","190,000",데미지+167%
20,"20,000","210,000",데미지+170%
21,"21,000","231,000",데미지+173%
22,"22,000","253,000",데미지+176%
23,"23,000","276,000",데미지+179%
24,"24,000","300,000",데미지+182%
25,"25,000","325,000",데미지+185%
26,"26,000","351,000",데미지+188%
27,"27,000","378,000",데미지+191%
28,"28,000","406,000",데미지+194%
29,"29,000","435,000",데미지+197%
30,"30,000","465,000",데미지+200%
31,"10,000,000","10,465,000",데미지+203%
32,"20,000,000","30,465,000",데미지+206%
33,"30,000,000","60,465,000",데미지+209%
34,"40,000,000","100,465,000",데미지+212%
35,"50,000,000","150,465,000",데미지+215%
36,"100,000,000","250,465,000",데미지+218%
37,"200,000,000","450,465,000",데미지+221%
38,"300,000,000","750,465,000",데미지+224%
39,"400,000,000","1,150,465,000",데미지+227%
40,"500,000,000","1,650,465,000",데미지+230%
41,"1,000,000,000","2,650,465,000",데미지+233%
42,"2,000,000,000","4,650,465,000",데미지+236%
43,"3,000,000,000","7,650,465,000",데미지+239%
44,"4,000,000,000","11,650,465,000",데미지+242%
45,"5,000,000,000","16,650,465,000",데미지+245%
46,"10,000,000,000","26,650,465,000",데미지+248%
47,"20,000,000,000","46,650,465,000",데미지+251%
48,"30,000,000,000","76,650,465,000",데미지+254%
49,"40,000,000,000","116,650,465,000",데미지+257%
50,"50,000,000,000","166,650,465,000",데미지+260%
51,"100,000,000,000","266,650,465,000",데미지+263%
52,"200,000,000,000","466,650,465,000",데미지+266%
53,"300,000,000,000","766,650,465,000",데미지+269%
54,"400,000,000,000","1,166,650,465,000",데미지+272%
55,"500,000,000,000","1,666,650,465,000",데미지+275%
56,"1,000,000,000,000","2,666,650,465,000",데미지+276%
57,"2,000,000,000,000","4,666,650,465,000",데미지+277%
58,"3,000,000,000,000","7,666,650,465,000",데미지+278%
59,"4,000,000,000,000","11,666,650,465,000",데미지+279%
60,"5,000,000,000,000","16,666,650,465,000",데미지+280%
61,"50,000,000,000,000","66,666,650,465,000",데미지+281%
62,"200,000,000,000,000","266,666,650,465,000",데미지+282%
63,"800,000,000,000,000","1,066,666,650,465,000",데미지+283%
64,"3,000,000,000,000,000","4,066,666,650,465,000",데미지+284%
65,"10,000,000,000,000,000","14,066,666,650,465,000",데미지+285%
66,"100,000,000,000,000,000","114,066,666,650,465,000",데미지+286%
67,"200,000,000,000,000,000","314,066,666,650,465,000",데미지+287%
68,"300,000,000,000,000,000","614,066,666,650,465,000",데미지+288%
69,"400,000,000,000,000,000","1,014,066,666,650,465,000",데미지+289%
70,"500,000,000,000,000,000","1,514,066,666,650,465,000",데미지+290%
