레벨,소모 RP,누적 RP,효과
1,"1,000,000,000,000,000","1,000,000,000,000,000","전투 시작 콤보 +100, 아드레날린 오버로드 데미지 +1%"
2,"1,500,000,000,000,000","2,500,000,000,000,000","전투 시작 콤보 +200, 아드레날린 오버로드 데미지 +2%"
3,"2,000,000,000,000,000","4,500,000,000,000,000","전투 시작 콤보 +300, 아드레날린 오버로드 데미지 +3%"
4,"2,500,000,000,000,000","7,000,000,000,000,000","전투 시작 콤보 +400, 아드레날린 오버로드 데미지 +4%"
5,"3,000,000,000,000,000","10,000,000,000,000,000","전투 시작 콤보 +500, 아드레날린 오버로드 데미지 +5%"
6,"3,500,000,000,000,000","13,500,000,000,000,000","전투 시작 콤보 +600, 아드레날린 오버로드 데미지 +6%"
7,"4,000,000,000,000,000","17,500,000,000,000,000","전투 시작 콤보 +700, 아드레날린 오버로드 데미지 +7%"
8,"5,000,000,000,000,000","22,500,000,000,000,000","전투 시작 콤보 +800, 아드레날린 오버로드 데미지 +8%"
9,"6,000,000,000,000,000","28,500,000,000,000,000","전투 시작 콤보 +900, 아드레날린 오버로드 데미지 +9%"
10,"7,000,000,000,000,000","35,500,000,000,000,000","전투 시작 콤보 +1000, 아드레날린 오버로드 데미지 +10%"
11,"8,000,000,000,000,000","43,500,000,000,000,000","전투 시작 콤보 +1100, 아드레날린 오버로드 데미지 +11%"
12,"9,000,000,000,000,000","52,500,000,000,000,000","전투 시작 콤보 +1200, 아드레날린 오버로드 데미지 +12%"
13,"10,000,000,000,000,000","62,500,000,000,000,000","전투 시작 콤보 +1300, 아드레날린 오버로드 데미지 +13%"
14,"12,000,000,000,000,000","74,500,000,000,000,000","전투 시작 콤보 +1400, 아드레날린 오버로드 데미지 +14%"
15,"14,000,000,000,000,000","88,500,000,000,000,000","전투 시작 콤보 +1500, 아드레날린 오버로드 데미지 +15%"
16,"16,000,000,000,000,000","104,500,000,000,000,000","전투 시작 콤보 +1600, 아드레날린 오버로드 데미지 +16%"
17,"18,000,000,000,000,000","122,500,000,000,000,000","전투 시작 콤보 +1700, 아드레날린 오버로드 데미지 +17%"
18,"20,000,000,000,000,000","142,500,000,000,000,000","전투 시작 콤보 +1800, 아드레날린 오버로드 데미지 +18%"
19,"23,000,000,000,000,000","165,500,000,000,000,000","전투 시작 콤보 +1900, 아드레날린 오버로드 데미지 +19%"
20,"26,000,000,000,000,000","191,500,000,000,000,000","전투 시작 콤보 +2000, 아드레날린 오버로드 데미지 +20%"
21,"30,000,000,000,000,000","221,500,000,000,000,000","전투 시작 콤보 +2100, 아드레날린 오버로드 데미지 +21%"
22,"34,000,000,000,000,000","255,500,000,000,000,000","전투 시작 콤보 +2200, 아드레날린 오버로드 데미지 +22%"
23,"38,000,000,000,000,000","293,500,000,000,000,000","전투 시작 콤보 +2300, 아드레날린 오버로드 데미지 +23%"
24,"43,000,000,000,000,000","336,500,000,000,000,000","전투 시작 콤보 +2400, 아드레날린 오버로드 데미지 +24%"
25,"48,000,000,000,000,000","384,500,000,000,000,000","전투 시작 콤보 +2500, 아드레날린 오버로드 데미지 +25%"
26,"54,000,000,000,000,000","438,500,000,000,000,000","전투 시작 콤보 +2600, 아드레날린 오버로드 데미지 +26%"
27,"60,000,000,000,000,000","498,500,000,000,000,000","전투 시작 콤보 +2700, 아드레날린 오버로드 데미지 +27%"
28,"70,000,000,000,000,000","568,500,000,000,000,000","전투 시작 콤보 +2800, 아드레날린 오버로드 데미지 +28%"
29,"80,000,000,000,000,000","648,500,000,000,000,000","전투 시작 콤보 +2900, 아드레날린 오버로드 데미지 +29%"
30,"100,000,000,000,000,000","748,500,000,000,000,000","전투 시작 콤보 +3000, 아드레날린 오버로드 데미지 +30%"
