레벨,소모 RP,누적 RP,효과
1,"100,000,000","100,000,000",크리티컬 확률의 21% 만큼 크리티컬 데미지 증가
2,"200,000,000","300,000,000",크리티컬 확률의 22% 만큼 크리티컬 데미지 증가
3,"300,000,000","600,000,000",크리티컬 확률의 23% 만큼 크리티컬 데미지 증가
4,"400,000,000","1,000,000,000",크리티컬 확률의 24% 만큼 크리티컬 데미지 증가
5,"500,000,000","1,500,000,000",크리티컬 확률의 25% 만큼 크리티컬 데미지 증가
6,"600,000,000","2,100,000,000",크리티컬 확률의 26% 만큼 크리티컬 데미지 증가
7,"700,000,000","2,800,000,000",크리티컬 확률의 27% 만큼 크리티컬 데미지 증가
8,"800,000,000","3,600,000,000",크리티컬 확률의 28% 만큼 크리티컬 데미지 증가
9,"900,000,000","4,500,000,000",크리티컬 확률의 29% 만큼 크리티컬 데미지 증가
10,"1,000,000,000","5,500,000,000",크리티컬 확률의 30% 만큼 크리티컬 데미지 증가
11,"1,100,000,000","6,600,000,000",크리티컬 확률의 31% 만큼 크리티컬 데미지 증가
12,"1,200,000,000","7,800,000,000",크리티컬 확률의 32% 만큼 크리티컬 데미지 증가
13,"1,300,000,000","9,100,000,000",크리티컬 확률의 33% 만큼 크리티컬 데미지 증가
14,"1,400,000,000","10,500,000,000",크리티컬 확률의 34% 만큼 크리티컬 데미지 증가
15,"1,500,000,000","12,000,000,000",크리티컬 확률의 35% 만큼 크리티컬 데미지 증가
16,"1,600,000,000","13,600,000,000",크리티컬 확률의 36% 만큼 크리티컬 데미지 증가
17,"1,700,000,000","15,300,000,000",크리티컬 확률의 37% 만큼 크리티컬 데미지 증가
18,"1,800,000,000","17,100,000,000",크리티컬 확률의 38% 만큼 크리티컬 데미지 증가
19,"1,900,000,000","19,000,000,000",크리티컬 확률의 39% 만큼 크리티컬 데미지 증가
20,"2,000,000,000","21,000,000,000",크리티컬 확률의 40% 만큼 크리티컬 데미지 증가
21,"2,100,000,000","23,100,000,000",크리티컬 확률의 41% 만큼 크리티컬 데미지 증가
22,"2,200,000,000","25,300,000,000",크리티컬 확률의 42% 만큼 크리티컬 데미지 증가
23,"2,300,000,000","27,600,000,000",크리티컬 확률의 43% 만큼 크리티컬 데미지 증가
24,"2,400,000,000","30,000,000,000",크리티컬 확률의 44% 만큼 크리티컬 데미지 증가
25,"2,500,000,000","32,500,000,000",크리티컬 확률의 45% 만큼 크리티컬 데미지 증가
26,"2,600,000,000","35,100,000,000",크리티컬 확률의 46% 만큼 크리티컬 데미지 증가
27,"2,700,000,000","37,800,000,000",크리티컬 확률의 47% 만큼 크리티컬 데미지 증가
28,"2,800,000,000","40,600,000,000",크리티컬 확률의 48% 만큼 크리티컬 데미지 증가
29,"2,900,000,000","43,500,000,000",크리티컬 확률의 49% 만큼 크리티컬 데미지 증가
30,"3,000,000,000","46,500,000,000",크리티컬 확률의 50% 만큼 크리티컬 데미지 증가
31,"10,000,000,000","56,500,000,000",크리티컬 확률의 51% 만큼 크리티컬 데미지 증가
32,"20,000,000,000","76,500,000,000",크리티컬 확률의 52% 만큼 크리티컬 데미지 증가
33,"40,000,000,000","116,500,000,000",크리티컬 확률의 53% 만큼 크리티컬 데미지 증가
34,"80,000,000,000","196,500,000,000",크리티컬 확률의 54% 만큼 크리티컬 데미지 증가
35,"160,000,000,000","356,500,000,000",크리티컬 확률의 55% 만큼 크리티컬 데미지 증가
36,"100,000,000,000","456,500,000,000",크리티컬 확률의 56% 만큼 크리티컬 데미지 증가
37,"200,000,000,000","656,500,000,000",크리티컬 확률의 57% 만큼 크리티컬 데미지 증가
38,"400,000,000,000","1,056,500,000,000",크리티컬 확률의 58% 만큼 크리티컬 데미지 증가
39,"800,000,000,000","1,856,500,000,000",크리티컬 확률의 59% 만큼 크리티컬 데미지 증가
40,"1,600,000,000,000","3,456,500,000,000",크리티컬 확률의 60% 만큼 크리티컬 데미지 증가
41,"1,000,000,000,000","4,456,500,000,000",크리티컬 확률의 61% 만큼 크리티컬 데미지 증가
42,"2,000,000,000,000","6,456,500,000,000",크리티컬 확률의 62% 만큼 크리티컬 데미지 증가
43,"4,000,000,000,000","10,456,500,000,000",크리티컬 확률의 63% 만큼 크리티컬 데미지 증가
44,"8,000,000,000,000","18,456,500,000,000",크리티컬 확률의 64% 만큼 크리티컬 데미지 증가
45,"16,000,000,000,000","34,456,500,000,000",크리티컬 확률의 65% 만큼 크리티컬 데미지 증가
46,"50,000,000,000,000","84,456,500,000,000",크리티컬 확률의 66% 만큼 크리티컬 데미지 증가
47,"200,000,000,000,000","284,456,500,000,000",크리티컬 확률의 67% 만큼 크리티컬 데미지 증가
48,"800,000,000,000,000","1,084,456,500,000,000",크리티컬 확률의 68% 만큼 크리티컬 데미지 증가
49,"3,000,000,000,000,000","4,084,456,500,000,000",크리티컬 확률의 69% 만큼 크리티컬 데미지 증가
50,"10,000,000,000,000,000","14,084,456,500,000,000",크리티컬 확률의 70% 만큼 크리티컬 데미지 증가
51,"300,000,000,000,000,000","314,084,456,500,000,000",크리티컬 확률의 71% 만큼 크리티컬 데미지 증가
52,"400,000,000,000,000,000","714,084,456,500,000,000",크리티컬 확률의 72% 만큼 크리티컬 데미지 증가
53,"500,000,000,000,000,000","1,214,084,456,500,000,000",크리티컬 확률의 73% 만큼 크리티컬 데미지 증가
54,"600,000,000,000,000,000","1,814,084,456,500,000,000",크리티컬 확률의 74% 만큼 크리티컬 데미지 증가
55,"700,000,000,000,000,000","2,514,084,456,500,000,000",크리티컬 확률의 75% 만큼 크리티컬 데미지 증가
