레벨,소모 RP,누적 RP,효과
1,"250,000,000","250,000,000","주간보스·레이드에게 주는 데미지+0.7%"
2,"300,000,000","550,000,000","주간보스·레이드에게 주는 데미지+1.3%"
3,"360,000,000","910,000,000","주간보스·레이드에게 주는 데미지+2.0%"
4,"430,000,000","1,340,000,000","주간보스·레이드에게 주는 데미지+2.7%"
5,"520,000,000","1,860,000,000","주간보스·레이드에게 주는 데미지+3.3%"
6,"620,000,000","2,480,000,000","주간보스·레이드에게 주는 데미지+4.0%"
7,"750,000,000","3,230,000,000","주간보스·레이드에게 주는 데미지+4.7%"
8,"900,000,000","4,130,000,000","주간보스·레이드에게 주는 데미지+5.3%"
9,"1,070,000,000","5,200,000,000","주간보스·레이드에게 주는 데미지+6.0%"
10,"1,290,000,000","6,490,000,000","주간보스·레이드에게 주는 데미지+6.7%"
11,"1,550,000,000","8,040,000,000","주간보스·레이드에게 주는 데미지+7.3%"
12,"1,860,000,000","9,900,000,000","주간보스·레이드에게 주는 데미지+8.0%"
13,"2,230,000,000","12,130,000,000","주간보스·레이드에게 주는 데미지+8.7%"
14,"2,670,000,000","14,800,000,000","주간보스·레이드에게 주는 데미지+9.3%"
15,"3,210,000,000","18,010,000,000","주간보스·레이드에게 주는 데미지+10.0%"
16,"3,850,000,000","21,860,000,000","주간보스·레이드에게 주는 데미지+10.7%"
17,"4,620,000,000","26,480,000,000","주간보스·레이드에게 주는 데미지+11.3%"
18,"5,550,000,000","32,030,000,000","주간보스·레이드에게 주는 데미지+12.0%"
19,"6,660,000,000","38,690,000,000","주간보스·레이드에게 주는 데미지+12.7%"
20,"7,990,000,000","46,680,000,000","주간보스·레이드에게 주는 데미지+13.3%"
21,"9,580,000,000","56,260,000,000","주간보스·레이드에게 주는 데미지+14.0%"
22,"11,500,000,000","67,760,000,000","주간보스·레이드에게 주는 데미지+14.7%"
23,"13,800,000,000","81,560,000,000","주간보스·레이드에게 주는 데미지+15.3%"
24,"16,560,000,000","98,120,000,000","주간보스·레이드에게 주는 데미지+16.0%"
25,"19,870,000,000","117,990,000,000","주간보스·레이드에게 주는 데미지+16.7%"
26,"23,850,000,000","141,840,000,000","주간보스·레이드에게 주는 데미지+17.3%"
27,"28,620,000,000","170,460,000,000","주간보스·레이드에게 주는 데미지+18.0%"
28,"34,340,000,000","204,800,000,000","주간보스·레이드에게 주는 데미지+18.7%"
29,"41,210,000,000","246,010,000,000","주간보스·레이드에게 주는 데미지+19.3%"
30,"49,450,000,000","295,460,000,000","주간보스·레이드에게 주는 데미지+20.0%"
31,"100,000,000,000","395,460,000,000","주간보스·레이드에게 주는 데미지+20.7%"
32,"400,000,000,000","795,460,000,000","주간보스·레이드에게 주는 데미지+21.3%"
33,"2,000,000,000,000","2,795,460,000,000","주간보스·레이드에게 주는 데미지+22.0%"
34,"10,000,000,000,000","12,795,460,000,000","주간보스·레이드에게 주는 데미지+22.7%"
35,"40,000,000,000,000","52,795,460,000,000","주간보스·레이드에게 주는 데미지+23.3%"
36,"300,000,000,000,000,000","300,052,795,460,000,000","주간보스·레이드에게 주는 데미지+24.0%"
37,"500,000,000,000,000,000","800,052,795,460,000,000","주간보스·레이드에게 주는 데미지+24.7%"
38,"700,000,000,000,000,000","1,500,052,795,460,000,000","주간보스·레이드에게 주는 데미지+25.3%"
39,"900,000,000,000,000,000","2,400,052,795,460,000,000","주간보스·레이드에게 주는 데미지+26.0%"
40,"1,100,000,000,000,000,000","3,500,052,795,460,000,000","주간보스·레이드에게 주는 데미지+26.7%"
