레벨,소모 RP,누적 RP,효과
1,1,1,장비lv-5
2,11,12,장비lv-10
3,32,44,장비lv-15
4,73,117,장비lv-20
5,80,197,장비lv-25
6,95,292,장비lv-30
7,104,396,장비lv-35
8,112,508,장비lv-40
9,127,635,장비lv-45
10,144,779,장비lv-50
11,163,942,장비lv-55
12,184,"1,126",장비lv-60
13,207,"1,333",장비lv-65
14,232,"1,565",장비lv-70
15,260,"1,825",장비lv-75
16,290,"2,115",장비lv-80
17,323,"2,438",장비lv-85
18,358,"2,796",장비lv-90
19,396,"3,192",장비lv-95
20,437,"3,629",장비lv-100
21,481,"4,110",장비lv-105
22,528,"4,638",장비lv-110
23,579,"5,217",장비lv-115
24,634,"5,851",장비lv-120
