레벨,소모 RP,누적 RP,효과
1,1,1,경험치+1%
2,1,2,경험치+2%
3,2,4,경험치+3%
4,2,6,경험치+4%
5,3,9,경험치+5%
6,3,12,경험치+6%
7,4,16,경험치+7%
8,4,20,경험치+8%
9,5,25,경험치+9%
10,5,30,경험치+10%
11,6,36,경험치+11%
12,6,42,경험치+12%
13,7,49,경험치+13%
14,7,56,경험치+14%
15,8,64,경험치+15%
16,8,72,경험치+16%
17,9,81,경험치+17%
18,9,90,경험치+18%
19,10,100,경험치+19%
20,10,110,경험치+20%
21,11,121,경험치+21%
22,11,132,경험치+22%
23,12,144,경험치+23%
24,12,156,경험치+24%
25,13,169,경험치+25%
26,13,182,경험치+26%
27,14,196,경험치+27%
28,14,210,경험치+28%
29,15,225,경험치+29%
30,15,240,경험치+30%
31,16,256,경험치+31%
32,16,272,경험치+32%
33,17,289,경험치+33%
34,17,306,경험치+34%
35,18,324,경험치+35%
36,18,342,경험치+36%
37,19,361,경험치+37%
38,19,380,경험치+38%
39,20,400,경험치+39%
40,20,420,경험치+40%
41,21,441,경험치+41%
42,21,462,경험치+42%
43,22,484,경험치+43%
44,22,506,경험치+44%
45,23,529,경험치+45%
46,23,552,경험치+46%
47,24,576,경험치+47%
48,24,600,경험치+48%
49,25,625,경험치+49%
50,25,650,경험치+50%
51,26,676,경험치+51%
52,26,702,경험치+52%
53,27,729,경험치+53%
54,27,756,경험치+54%
55,28,784,경험치+55%
56,28,812,경험치+56%
57,29,841,경험치+57%
58,29,870,경험치+58%
59,30,900,경험치+59%
60,30,930,경험치+60%
61,31,961,경험치+61%
62,31,992,경험치+62%
63,32,"1,024",경험치+63%
64,32,"1,056",경험치+64%
65,33,"1,089",경험치+65%
66,33,"1,122",경험치+66%
67,34,"1,156",경험치+67%
68,34,"1,190",경험치+68%
69,35,"1,225",경험치+69%
70,35,"1,260",경험치+70%
71,36,"1,296",경험치+71%
72,36,"1,332",경험치+72%
73,37,"1,369",경험치+73%
74,37,"1,406",경험치+74%
75,38,"1,444",경험치+75%
76,38,"1,482",경험치+76%
77,39,"1,521",경험치+77%
78,39,"1,560",경험치+78%
79,40,"1,600",경험치+79%
80,40,"1,640",경험치+80%
81,41,"1,681",경험치+81%
82,41,"1,722",경험치+82%
83,42,"1,764",경험치+83%
84,42,"1,806",경험치+84%
85,43,"1,849",경험치+85%
86,43,"1,892",경험치+86%
87,44,"1,936",경험치+87%
88,44,"1,980",경험치+88%
89,45,"2,025",경험치+89%
90,45,"2,070",경험치+90%
91,46,"2,116",경험치+91%
92,46,"2,162",경험치+92%
93,47,"2,209",경험치+93%
94,47,"2,256",경험치+94%
95,48,"2,304",경험치+95%
96,48,"2,352",경험치+96%
97,49,"2,401",경험치+97%
98,49,"2,450",경험치+98%
99,50,"2,500",경험치+99%
100,50,"2,550",경험치+100%
101,51,"2,601",경험치+101%
102,51,"2,652",경험치+102%
103,52,"2,704",경험치+103%
104,52,"2,756",경험치+104%
105,53,"2,809",경험치+105%
106,53,"2,862",경험치+106%
107,54,"2,916",경험치+107%
108,54,"2,970",경험치+108%
109,55,"3,025",경험치+109%
110,55,"3,080",경험치+110%
111,56,"3,136",경험치+111%
112,56,"3,192",경험치+112%
113,57,"3,249",경험치+113%
114,57,"3,306",경험치+114%
115,58,"3,364",경험치+115%
116,58,"3,422",경험치+116%
