레벨,소모 RP,누적 RP,효과
1,"2,000,000,000,000","2,000,000,000,000",주간 보스.레이드 보스의 공격을 11% 확률로 회피한다.
2,"3,000,000,000,000","5,000,000,000,000",주간 보스.레이드 보스의 공격을 12% 확률로 회피한다.
3,"3,000,000,000,000","8,000,000,000,000",주간 보스.레이드 보스의 공격을 13% 확률로 회피한다.
4,"4,000,000,000,000","12,000,000,000,000",주간 보스.레이드 보스의 공격을 14% 확률로 회피한다.
5,"4,000,000,000,000","16,000,000,000,000",주간 보스.레이드 보스의 공격을 15% 확률로 회피한다.
6,"5,000,000,000,000","21,000,000,000,000",주간 보스.레이드 보스의 공격을 16% 확률로 회피한다.
7,"6,000,000,000,000","27,000,000,000,000",주간 보스.레이드 보스의 공격을 17% 확률로 회피한다.
8,"7,000,000,000,000","34,000,000,000,000",주간 보스.레이드 보스의 공격을 18% 확률로 회피한다.
9,"8,000,000,000,000","42,000,000,000,000",주간 보스.레이드 보스의 공격을 19% 확률로 회피한다.
10,"9,000,000,000,000","51,000,000,000,000",주간 보스.레이드 보스의 공격을 20% 확률로 회피한다.
11,"10,000,000,000,000","61,000,000,000,000",주간 보스.레이드 보스의 공격을 21% 확률로 회피한다.
12,"12,000,000,000,000","73,000,000,000,000",주간 보스.레이드 보스의 공격을 22% 확률로 회피한다.
13,"14,000,000,000,000","87,000,000,000,000",주간 보스.레이드 보스의 공격을 23% 확률로 회피한다.
14,"16,000,000,000,000","103,000,000,000,000",주간 보스.레이드 보스의 공격을 24% 확률로 회피한다.
15,"18,000,000,000,000","121,000,000,000,000",주간 보스.레이드 보스의 공격을 25% 확률로 회피한다.
16,"21,000,000,000,000","142,000,000,000,000",주간 보스.레이드 보스의 공격을 26% 확률로 회피한다.
17,"24,000,000,000,000","166,000,000,000,000",주간 보스.레이드 보스의 공격을 27% 확률로 회피한다.
18,"27,000,000,000,000","193,000,000,000,000",주간 보스.레이드 보스의 공격을 28% 확률로 회피한다.
19,"31,000,000,000,000","224,000,000,000,000",주간 보스.레이드 보스의 공격을 29% 확률로 회피한다.
20,"36,000,000,000,000","260,000,000,000,000",주간 보스.레이드 보스의 공격을 30% 확률로 회피한다.
21,"41,000,000,000,000","301,000,000,000,000",주간 보스.레이드 보스의 공격을 31% 확률로 회피한다.
22,"47,000,000,000,000","348,000,000,000,000",주간 보스.레이드 보스의 공격을 32% 확률로 회피한다.
23,"54,000,000,000,000","402,000,000,000,000",주간 보스.레이드 보스의 공격을 33% 확률로 회피한다.
24,"62,000,000,000,000","464,000,000,000,000",주간 보스.레이드 보스의 공격을 34% 확률로 회피한다.
25,"71,000,000,000,000","535,000,000,000,000",주간 보스.레이드 보스의 공격을 35% 확률로 회피한다.
26,"81,000,000,000,000","616,000,000,000,000",주간 보스.레이드 보스의 공격을 36% 확률로 회피한다.
27,"93,000,000,000,000","709,000,000,000,000",주간 보스.레이드 보스의 공격을 37% 확률로 회피한다.
28,"107,000,000,000,000","816,000,000,000,000",주간 보스.레이드 보스의 공격을 38% 확률로 회피한다.
29,"123,000,000,000,000","939,000,000,000,000",주간 보스.레이드 보스의 공격을 39% 확률로 회피한다.
30,"141,000,000,000,000","1,080,000,000,000,000",주간 보스.레이드 보스의 공격을 40% 확률로 회피한다.
31,"160,000,000,000,000","1,240,000,000,000,000",주간 보스.레이드 보스의 공격을 42% 확률로 회피한다.
32,"190,000,000,000,000","1,430,000,000,000,000",주간 보스.레이드 보스의 공격을 44% 확률로 회피한다.
33,"230,000,000,000,000","1,660,000,000,000,000",주간 보스.레이드 보스의 공격을 46% 확률로 회피한다.
34,"280,000,000,000,000","1,940,000,000,000,000",주간 보스.레이드 보스의 공격을 48% 확률로 회피한다.
35,"340,000,000,000,000","2,280,000,000,000,000",주간 보스.레이드 보스의 공격을 50% 확률로 회피한다.
36,"2,000,000,000,000,000","4,280,000,000,000,000",주간 보스.레이드 보스의 공격을 52% 확률로 회피한다.
37,"3,000,000,000,000,000","7,280,000,000,000,000",주간 보스.레이드 보스의 공격을 54% 확률로 회피한다.
38,"5,000,000,000,000,000","12,280,000,000,000,000",주간 보스.레이드 보스의 공격을 56% 확률로 회피한다.
39,"8,000,000,000,000,000","20,280,000,000,000,000",주간 보스.레이드 보스의 공격을 58% 확률로 회피한다.
40,"12,000,000,000,000,000","32,280,000,000,000,000",주간 보스.레이드 보스의 공격을 60% 확률로 회피한다.
