레벨,소모 RP,누적 RP,효과
1,"10,000,000,000,000,000","10,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
2,"15,000,000,000,000,000","25,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
3,"20,000,000,000,000,000","45,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
4,"25,000,000,000,000,000","70,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
5,"30,000,000,000,000,000","100,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
6,"35,000,000,000,000,000","135,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
7,"40,000,000,000,000,000","175,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
8,"50,000,000,000,000,000","225,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
9,"60,000,000,000,000,000","285,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
10,"70,000,000,000,000,000","355,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
11,"80,000,000,000,000,000","435,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
12,"90,000,000,000,000,000","525,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
13,"100,000,000,000,000,000","625,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
14,"120,000,000,000,000,000","745,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
15,"140,000,000,000,000,000","885,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
16,"160,000,000,000,000,000","1,045,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
17,"180,000,000,000,000,000","1,225,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
18,"200,000,000,000,000,000","1,425,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
19,"230,000,000,000,000,000","1,655,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
20,"260,000,000,000,000,000","1,915,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
21,"300,000,000,000,000,000","2,215,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
22,"340,000,000,000,000,000","2,555,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
23,"380,000,000,000,000,000","2,935,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
24,"430,000,000,000,000,000","3,365,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
25,"480,000,000,000,000,000","3,845,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
26,"540,000,000,000,000,000","4,385,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
27,"600,000,000,000,000,000","4,985,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
28,"700,000,000,000,000,000","5,685,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
29,"800,000,000,000,000,000","6,485,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
30,"1,000,000,000,000,000,000","7,485,000,000,000,000,000","캐릭터 레벨에 비례해 최종 데미지가 증가"
