레벨,소모 RP,누적 RP,효과
1,"1,000,000,000","1,000,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+1%"
2,"1,200,000,000","2,200,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+2%"
3,"1,400,000,000","3,600,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+3%"
4,"1,700,000,000","5,300,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+4%"
5,"2,000,000,000","7,300,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+5%"
6,"2,400,000,000","9,700,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+6%"
7,"2,900,000,000","12,600,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+7%"
8,"3,500,000,000","16,100,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+8%"
9,"4,200,000,000","20,300,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+9%"
10,"5,000,000,000","25,300,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+10%"
11,"6,000,000,000","31,300,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+11%"
12,"7,200,000,000","38,500,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+12%"
13,"8,600,000,000","47,100,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+13%"
14,"10,300,000,000","57,400,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+14%"
15,"12,400,000,000","69,800,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+15%"
16,"14,900,000,000","84,700,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+16%"
17,"17,900,000,000","102,600,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+17%"
18,"21,500,000,000","124,100,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+18%"
19,"25,800,000,000","149,900,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+19%"
20,"31,000,000,000","180,900,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+20%"
21,"37,200,000,000","218,100,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+21%"
22,"44,600,000,000","262,700,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+22%"
23,"53,500,000,000","316,200,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+23%"
24,"64,200,000,000","380,400,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+24%"
25,"77,000,000,000","457,400,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+25%"
26,"92,400,000,000","549,800,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+26%"
27,"110,900,000,000","660,700,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+27%"
28,"133,100,000,000","793,800,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+28%"
29,"159,700,000,000","953,500,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+29%"
30,"191,600,000,000","1,145,100,000,000","메소50조당 최종 데미지+0.01%, 최종 데미지 상한+30%"
