레벨,소모 RP,누적 RP,효과
1,2,2,환생포인트+10%
2,16,18,환생포인트+20%
3,48,66,환생포인트+30%
4,60,126,환생포인트+40%
5,80,206,환생포인트+50%
6,105,311,환생포인트+60%
7,135,446,환생포인트+70%
8,170,616,환생포인트+80%
9,210,826,환생포인트+90%
10,255,"1,081",환생포인트+100%
11,305,"1,386",환생포인트+110%
12,360,"1,746",환생포인트+120%
13,420,"2,166",환생포인트+130%
14,485,"2,651",환생포인트+140%
15,555,"3,206",환생포인트+150%
16,630,"3,836",환생포인트+160%
17,710,"4,546",환생포인트+170%
18,795,"5,341",환생포인트+180%
19,885,"6,226",환생포인트+190%
20,980,"7,206",환생포인트+200%
21,"1,080","8,286",환생포인트+210%
22,"1,180","9,466",환생포인트+220%
23,"1,280","10,746",환생포인트+230%
24,"1,380","12,126",환생포인트+240%
25,"1,480","13,606",환생포인트+250%
26,"1,580","15,186",환생포인트+260%
27,"1,680","16,866",환생포인트+270%
28,"1,780","18,646",환생포인트+280%
29,"1,880","20,526",환생포인트+290%
30,"1,980","22,506",환생포인트+300%
31,"2,080","24,586",환생포인트+310%
32,"2,180","26,766",환생포인트+320%
33,"2,280","29,046",환생포인트+330%
34,"2,380","31,426",환생포인트+340%
35,"2,480","33,906",환생포인트+350%
36,"2,580","36,486",환생포인트+360%
37,"2,680","39,166",환생포인트+370%
38,"2,780","41,946",환생포인트+380%
39,"2,880","44,826",환생포인트+390%
40,"2,980","47,806",환생포인트+400%
