레벨,소모 RP,누적 RP,효과
1,"1,000","1,000",케릭터의 공격력과 마력이 0.2% 증가
2,"2,000","3,000",케릭터의 공격력과 마력이 0.4% 증가
3,"3,000","6,000",케릭터의 공격력과 마력이 0.6% 증가
4,"4,000","10,000",케릭터의 공격력과 마력이 0.8% 증가
5,"5,000","15,000",케릭터의 공격력과 마력이 1.0% 증가
6,"6,000","21,000",케릭터의 공격력과 마력이 1.2% 증가
7,"7,000","28,000",케릭터의 공격력과 마력이 1.4% 증가
8,"8,000","36,000",케릭터의 공격력과 마력이 1.6% 증가
9,"9,000","45,000",케릭터의 공격력과 마력이 1.8% 증가
10,"10,000","55,000",케릭터의 공격력과 마력이 2.0% 증가
11,"11,000","66,000",케릭터의 공격력과 마력이 2.2% 증가
12,"12,000","78,000",케릭터의 공격력과 마력이 2.4% 증가
13,"13,000","91,000",케릭터의 공격력과 마력이 2.6% 증가
14,"14,000","105,000",케릭터의 공격력과 마력이 2.8% 증가
15,"15,000","120,000",케릭터의 공격력과 마력이 3.0% 증가
16,"16,000","136,000",케릭터의 공격력과 마력이 3.2% 증가
17,"17,000","153,000",케릭터의 공격력과 마력이 3.4% 증가
18,"18,000","171,000",케릭터의 공격력과 마력이 3.6% 증가
19,"19,000","190,000",케릭터의 공격력과 마력이 3.8% 증가
20,"20,000","210,000",케릭터의 공격력과 마력이 4.0% 증가
21,"21,000","231,000",케릭터의 공격력과 마력이 4.2% 증가
22,"22,000","253,000",케릭터의 공격력과 마력이 4.4% 증가
23,"23,000","276,000",케릭터의 공격력과 마력이 4.6% 증가
24,"24,000","300,000",케릭터의 공격력과 마력이 4.8% 증가
25,"25,000","325,000",케릭터의 공격력과 마력이 5.0% 증가
26,"26,000","351,000",케릭터의 공격력과 마력이 5.2% 증가
27,"27,000","378,000",케릭터의 공격력과 마력이 5.4% 증가
28,"28,000","406,000",케릭터의 공격력과 마력이 5.6% 증가
29,"29,000","435,000",케릭터의 공격력과 마력이 5.8% 증가
30,"30,000","465,000",케릭터의 공격력과 마력이 6.0% 증가
31,"10,000,000","10,465,000",케릭터의 공격력과 마력이 6.2% 증가
32,"20,000,000","30,465,000",케릭터의 공격력과 마력이 6.4% 증가
33,"30,000,000","60,465,000",케릭터의 공격력과 마력이 6.6% 증가
34,"40,000,000","100,465,000",케릭터의 공격력과 마력이 6.8% 증가
35,"50,000,000","150,465,000",케릭터의 공격력과 마력이 7.0% 증가
36,"100,000,000","250,465,000",케릭터의 공격력과 마력이 7.2% 증가
37,"200,000,000","450,465,000",케릭터의 공격력과 마력이 7.4% 증가
38,"300,000,000","750,465,000",케릭터의 공격력과 마력이 7.6% 증가
39,"400,000,000","1,150,465,000",케릭터의 공격력과 마력이 7.8% 증가
40,"500,000,000","1,650,465,000",케릭터의 공격력과 마력이 8.0% 증가
41,"1,000,000,000","2,650,465,000",케릭터의 공격력과 마력이 8.2% 증가
42,"2,000,000,000","4,650,465,000",케릭터의 공격력과 마력이 8.4% 증가
43,"3,000,000,000","7,650,465,000",케릭터의 공격력과 마력이 8.6% 증가
44,"4,000,000,000","11,650,465,000",케릭터의 공격력과 마력이 8.8% 증가
45,"5,000,000,000","16,650,465,000",케릭터의 공격력과 마력이 9.0% 증가
46,"10,000,000,000","26,650,465,000",케릭터의 공격력과 마력이 9.2% 증가
47,"20,000,000,000","46,650,465,000",케릭터의 공격력과 마력이 9.4% 증가
48,"30,000,000,000","76,650,465,000",케릭터의 공격력과 마력이 9.6% 증가
49,"40,000,000,000","116,650,465,000",케릭터의 공격력과 마력이 9.8% 증가
50,"50,000,000,000","166,650,465,000",케릭터의 공격력과 마력이 10.0% 증가
51,"100,000,000,000","266,650,465,000",케릭터의 공격력과 마력이 10.2% 증가
52,"200,000,000,000","466,650,465,000",케릭터의 공격력과 마력이 10.4% 증가
53,"300,000,000,000","766,650,465,000",케릭터의 공격력과 마력이 10.6% 증가
54,"400,000,000,000","1,166,650,465,000",케릭터의 공격력과 마력이 10.8% 증가
55,"500,000,000,000","1,666,650,465,000",케릭터의 공격력과 마력이 11.0% 증가
56,"1,000,000,000,000","2,666,650,465,000",케릭터의 공격력과 마력이 11.2% 증가
57,"2,000,000,000,000","4,666,650,465,000",케릭터의 공격력과 마력이 11.4% 증가
58,"3,000,000,000,000","7,666,650,465,000",케릭터의 공격력과 마력이 11.6% 증가
59,"4,000,000,000,000","11,666,650,465,000",케릭터의 공격력과 마력이 11.8% 증가
60,"5,000,000,000,000","16,666,650,465,000",케릭터의 공격력과 마력이 12.0% 증가
61,"50,000,000,000,000","66,666,650,465,000",케릭터의 공격력과 마력이 12.2% 증가
62,"200,000,000,000,000","266,666,650,465,000",케릭터의 공격력과 마력이 12.4% 증가
63,"800,000,000,000,000","1,066,666,650,465,000",케릭터의 공격력과 마력이 12.6% 증가
64,"3,000,000,000,000,000","4,066,666,650,465,000",케릭터의 공격력과 마력이 12.8% 증가
65,"10,000,000,000,000,000","14,066,666,650,465,000",케릭터의 공격력과 마력이 13.0% 증가
66,"100,000,000,000,000,000","114,066,666,650,465,000",케릭터의 공격력과 마력이 13.2% 증가
67,"200,000,000,000,000,000","314,066,666,650,465,000",케릭터의 공격력과 마력이 13.4% 증가
68,"300,000,000,000,000,000","614,066,666,650,465,000",케릭터의 공격력과 마력이 13.6% 증가
69,"400,000,000,000,000,000","1,014,066,666,650,465,000",케릭터의 공격력과 마력이 13.8% 증가
70,"500,000,000,000,000,000","1,514,066,666,650,465,000",케릭터의 공격력과 마력이 14.0% 증가
