레벨,소모 RP,누적 RP,효과
1,"600,000","600,000",최종올스탯+1%
2,"800,000","1,400,000",최종올스탯+2%
3,"1,000,000","2,400,000",최종올스탯+3%
4,"1,200,000","3,600,000",최종올스탯+4%
5,"1,400,000","5,000,000",최종올스탯+5%
6,"1,600,000","6,600,000",최종올스탯+6%
7,"1,800,000","8,400,000",최종올스탯+7%
8,"2,000,000","10,400,000",최종올스탯+8%
9,"2,200,000","12,600,000",최종올스탯+9%
10,"2,400,000","15,000,000",최종올스탯+10%
11,"2,600,000","17,600,000",최종올스탯+11%
12,"2,800,000","20,400,000",최종올스탯+12%
13,"3,000,000","23,400,000",최종올스탯+13%
14,"3,200,000","26,600,000",최종올스탯+14%
15,"3,400,000","30,000,000",최종올스탯+15%
16,"10,000,000","40,000,000",최종올스탯+16%
17,"20,000,000","60,000,000",최종올스탯+17%
18,"30,000,000","90,000,000",최종올스탯+18%
19,"40,000,000","130,000,000",최종올스탯+19%
20,"50,000,000","180,000,000",최종올스탯+20%
21,"100,000,000","280,000,000",최종올스탯+21%
22,"200,000,000","480,000,000",최종올스탯+22%
23,"300,000,000","780,000,000",최종올스탯+23%
24,"400,000,000","1,180,000,000",최종올스탯+24%
25,"500,000,000","1,680,000,000",최종올스탯+25%
26,"1,000,000,000","2,680,000,000",최종올스탯+26%
27,"2,000,000,000","4,680,000,000",최종올스탯+27%
28,"3,000,000,000","7,680,000,000",최종올스탯+28%
29,"4,000,000,000","11,680,000,000",최종올스탯+29%
30,"5,000,000,000","16,680,000,000",최종올스탯+30%
31,"10,000,000,000","26,680,000,000",최종올스탯+31%
32,"20,000,000,000","46,680,000,000",최종올스탯+32%
33,"30,000,000,000","76,680,000,000",최종올스탯+33%
34,"40,000,000,000","116,680,000,000",최종올스탯+34%
35,"50,000,000,000","166,680,000,000",최종올스탯+35%
36,"100,000,000,000","266,680,000,000",최종올스탯+36%
37,"200,000,000,000","466,680,000,000",최종올스탯+37%
38,"300,000,000,000","766,680,000,000",최종올스탯+38%
39,"400,000,000,000","1,166,680,000,000",최종올스탯+39%
40,"500,000,000,000","1,666,680,000,000",최종올스탯+40%
41,"1,000,000,000,000","2,666,680,000,000",최종올스탯+41%
42,"2,000,000,000,000","4,666,680,000,000",최종올스탯+42%
43,"3,000,000,000,000","7,666,680,000,000",최종올스탯+43%
44,"4,000,000,000,000","11,666,680,000,000",최종올스탯+44%
45,"5,000,000,000,000","16,666,680,000,000",최종올스탯+45%
46,"50,000,000,000,000","66,666,680,000,000",최종올스탯+46%
47,"200,000,000,000,000","266,666,680,000,000",최종올스탯+47%
48,"800,000,000,000,000","1,066,666,680,000,000",최종올스탯+48%
49,"3,000,000,000,000,000","4,066,666,680,000,000",최종올스탯+49%
50,"10,000,000,000,000,000","14,066,666,680,000,000",최종올스탯+50%
51,"200,000,000,000,000,000","214,066,666,680,000,000",최종올스탯+51%
52,"300,000,000,000,000,000","514,066,666,680,000,000",최종올스탯+52%
53,"400,000,000,000,000,000","914,066,666,680,000,000",최종올스탯+53%
54,"500,000,000,000,000,000","1,414,066,666,680,000,000",최종올스탯+54%
55,"600,000,000,000,000,000","2,014,066,666,680,000,000",최종올스탯+55%
