레벨,소모 RP,누적 RP,효과
1,"4,200,000,000,000","4,200,000,000,000",중독 확률 0.25% / 초당 데미지 0.15%
2,"4,700,000,000,000","8,900,000,000,000",중독 확률 0.50% / 초당 데미지 0.30%
3,"5,200,000,000,000","14,100,000,000,000",중독 확률 0.75% / 초당 데미지 0.45%
4,"5,900,000,000,000","20,000,000,000,000",중독 확률 1.00% / 초당 데미지 0.60%
5,"6,600,000,000,000","26,600,000,000,000",중독 확률 1.25% / 초당 데미지 0.75%
6,"7,300,000,000,000","33,900,000,000,000",중독 확률 1.50% / 초당 데미지 0.90%
7,"8,200,000,000,000","42,100,000,000,000",중독 확률 1.75% / 초당 데미지 1.05%
8,"9,200,000,000,000","51,300,000,000,000",중독 확률 2.00% / 초당 데미지 1.20%
9,"10,300,000,000,000","61,600,000,000,000",중독 확률 2.25% / 초당 데미지 1.35%
10,"11,500,000,000,000","73,100,000,000,000",중독 확률 2.50% / 초당 데미지 1.50%
11,"12,900,000,000,000","86,000,000,000,000",중독 확률 2.75% / 초당 데미지 1.65%
12,"14,500,000,000,000","100,500,000,000,000",중독 확률 3.00% / 초당 데미지 1.80%
13,"16,200,000,000,000","116,700,000,000,000",중독 확률 3.25% / 초당 데미지 1.95%
14,"18,200,000,000,000","134,900,000,000,000",중독 확률 3.50% / 초당 데미지 2.10%
15,"20,400,000,000,000","155,300,000,000,000",중독 확률 3.75% / 초당 데미지 2.25%
16,"22,800,000,000,000","178,100,000,000,000",중독 확률 4.00% / 초당 데미지 2.40%
17,"25,500,000,000,000","203,600,000,000,000",중독 확률 4.25% / 초당 데미지 2.55%
18,"28,600,000,000,000","232,200,000,000,000",중독 확률 4.50% / 초당 데미지 2.70%
19,"32,000,000,000,000","264,200,000,000,000",중독 확률 4.75% / 초당 데미지 2.85%
20,"35,800,000,000,000","300,000,000,000,000",중독 확률 5.00% / 초당 데미지 3.00%
