레벨,소모 RP,누적 RP,모든 SP 스킬 Lv.0 까지 자동 습득
1,"10,000,000","10,000,000",1
2,"10,000,000","20,000,000",2
3,"10,000,000","30,000,000",3
4,"10,000,000","40,000,000",4
5,"10,000,000","50,000,000",5
6,"30,000,000","80,000,000",6
7,"30,000,000","110,000,000",7
8,"30,000,000","140,000,000",8
9,"30,000,000","170,000,000",9
10,"30,000,000","200,000,000",10
11,"100,000,000","300,000,000",11
12,"100,000,000","400,000,000",12
13,"100,000,000","500,000,000",13
14,"100,000,000","600,000,000",14
15,"100,000,000","700,000,000",15
16,"300,000,000","1,000,000,000",16
17,"300,000,000","1,300,000,000",17
18,"300,000,000","1,600,000,000",18
19,"300,000,000","1,900,000,000",19
20,"300,000,000","2,200,000,000",20
21,"1,000,000,000","3,200,000,000",21
22,"1,000,000,000","4,200,000,000",22
23,"1,000,000,000","5,200,000,000",23
24,"1,000,000,000","6,200,000,000",24
25,"1,000,000,000","7,200,000,000",25
26,"3,000,000,000","10,200,000,000",26
27,"3,000,000,000","13,200,000,000",27
28,"3,000,000,000","16,200,000,000",28
29,"3,000,000,000","19,200,000,000",29
30,"3,000,000,000","22,200,000,000",30
31,"3,000,000,000","25,200,000,000",31
32,"3,000,000,000","28,200,000,000",32
33,"3,000,000,000","31,200,000,000",33
34,"3,000,000,000","34,200,000,000",34
35,"3,000,000,000","37,200,000,000",35
36,"5,000,000,000","42,200,000,000",36
37,"5,000,000,000","47,200,000,000",37
38,"5,000,000,000","52,200,000,000",38
39,"5,000,000,000","57,200,000,000",39
40,"5,000,000,000","62,200,000,000",40
41,"7,000,000,000","69,200,000,000",41
42,"7,000,000,000","76,200,000,000",42
43,"7,000,000,000","83,200,000,000",43
44,"7,000,000,000","90,200,000,000",44
45,"7,000,000,000","97,200,000,000",45
46,"10,000,000,000","107,200,000,000",46
47,"10,000,000,000","117,200,000,000",47
48,"10,000,000,000","127,200,000,000",48
49,"10,000,000,000","137,200,000,000",49
50,"10,000,000,000","147,200,000,000",50
51,"13,000,000,000","160,200,000,000",51
52,"13,000,000,000","173,200,000,000",52
53,"13,000,000,000","186,200,000,000",53
54,"13,000,000,000","199,200,000,000",54
55,"13,000,000,000","212,200,000,000",55
56,"4,000,000,000,000,000","4,000,212,200,000,000",56
57,"6,000,000,000,000,000","10,000,212,200,000,000",57
58,"8,000,000,000,000,000","18,000,212,200,000,000",58
59,"10,000,000,000,000,000","28,000,212,200,000,000",59
60,"12,000,000,000,000,000","40,000,212,200,000,000",60
61,"1,400,000,000,000,000,000","1,440,000,212,200,000,000",61
62,"1,700,000,000,000,000,000","3,140,000,212,200,000,000",62
63,"2,000,000,000,000,000,000","5,140,000,212,200,000,000",63
64,"2,300,000,000,000,000,000","7,440,000,212,200,000,000",64
65,"2,600,000,000,000,000,000","10,040,000,212,200,000,000",65
66,"2,800,000,000,000,000,000","12,840,000,212,200,000,000",66
67,"3,400,000,000,000,000,000","16,240,000,212,200,000,000",67
68,"4,000,000,000,000,000,000","20,240,000,212,200,000,000",68
69,"4,600,000,000,000,000,000","24,840,000,212,200,000,000",69
70,"5,200,000,000,000,000,000","30,040,000,212,200,000,000",70
