레벨,소모 RP,누적 RP,효과
1,"50,000","50,000",데미지+20%
2,"100,000","150,000",데미지+24%
3,"150,000","300,000",데미지+28%
4,"200,000","500,000",데미지+31%
5,"250,000","750,000",데미지+34%
6,"300,000","1,050,000",데미지+37%
7,"350,000","1,400,000",데미지+40%
8,"400,000","1,800,000",데미지+43%
9,"450,000","2,250,000",데미지+46%
10,"500,000","2,750,000",데미지+49%
11,"550,000","3,300,000",데미지+52%
12,"600,000","3,900,000",데미지+54%
13,"650,000","4,550,000",데미지+56%
14,"700,000","5,250,000",데미지+58%
15,"750,000","6,000,000",데미지+60%
16,"800,000","6,800,000",데미지+62%
17,"850,000","7,650,000",데미지+64%
18,"900,000","8,550,000",데미지+66%
19,"950,000","9,500,000",데미지+68%
20,"1,000,000","10,500,000",데미지+70%
21,"1,050,000","11,550,000",데미지+71%
22,"1,100,000","12,650,000",데미지+72%
23,"1,150,000","13,800,000",데미지+73%
24,"1,200,000","15,000,000",데미지+74%
25,"1,250,000","16,250,000",데미지+75%
26,"1,300,000","17,550,000",데미지+76%
27,"1,350,000","18,900,000",데미지+77%
28,"1,400,000","20,300,000",데미지+78%
29,"1,450,000","21,750,000",데미지+79%
30,"1,500,000","23,250,000",데미지+80%
31,"10,000,000","33,250,000",데미지+81%
32,"20,000,000","53,250,000",데미지+82%
33,"30,000,000","83,250,000",데미지+83%
34,"40,000,000","123,250,000",데미지+84%
35,"50,000,000","173,250,000",데미지+85%
36,"100,000,000","273,250,000",데미지+86%
37,"200,000,000","473,250,000",데미지+87%
38,"300,000,000","773,250,000",데미지+88%
39,"400,000,000","1,173,250,000",데미지+89%
40,"500,000,000","1,673,250,000",데미지+90%
41,"1,000,000,000","2,673,250,000",데미지+91%
42,"2,000,000,000","4,673,250,000",데미지+92%
43,"3,000,000,000","7,673,250,000",데미지+93%
44,"4,000,000,000","11,673,250,000",데미지+94%
45,"5,000,000,000","16,673,250,000",데미지+95%
46,"10,000,000,000","26,673,250,000",데미지+96%
47,"20,000,000,000","46,673,250,000",데미지+97%
48,"30,000,000,000","76,673,250,000",데미지+98%
49,"40,000,000,000","116,673,250,000",데미지+99%
50,"50,000,000,000","166,673,250,000",데미지+100%
51,"100,000,000,000","266,673,250,000",데미지+101%
52,"200,000,000,000","466,673,250,000",데미지+102%
53,"300,000,000,000","766,673,250,000",데미지+103%
54,"400,000,000,000","1,166,673,250,000",데미지+104%
55,"500,000,000,000","1,666,673,250,000",데미지+105%
56,"1,000,000,000,000","2,666,673,250,000",데미지+106%
57,"2,000,000,000,000","4,666,673,250,000",데미지+107%
58,"3,000,000,000,000","7,666,673,250,000",데미지+108%
59,"4,000,000,000,000","11,666,673,250,000",데미지+109%
60,"5,000,000,000,000","16,666,673,250,000",데미지+110%
61,"50,000,000,000,000","66,666,673,250,000",데미지+111%
62,"200,000,000,000,000","266,666,673,250,000",데미지+112%
63,"800,000,000,000,000","1,066,666,673,250,000",데미지+113%
64,"3,000,000,000,000,000","4,066,666,673,250,000",데미지+114%
65,"10,000,000,000,000,000","14,066,666,673,250,000",데미지+115%
66,"200,000,000,000,000,000","214,066,666,673,250,000",데미지+116%
67,"300,000,000,000,000,000","514,066,666,673,250,000",데미지+117%
68,"400,000,000,000,000,000","914,066,666,673,250,000",데미지+118%
69,"500,000,000,000,000,000","1,414,066,666,673,250,000",데미지+119%
70,"600,000,000,000,000,000","2,014,066,666,673,250,000",데미지+120%
