레벨,소모 RP,누적 RP,효과
1,"1,000","1,000","크확+1% ,데미지+11%"
2,"2,000","3,000","크확+1% ,데미지+12%"
3,"3,000","6,000","크확+2% ,데미지+13%"
4,"4,000","10,000","크확+2% ,데미지+14%"
5,"5,000","15,000","크확+3% ,데미지+15%"
6,"6,000","21,000","크확+3% ,데미지+16%"
7,"7,000","28,000","크확+4% ,데미지+17%"
8,"8,000","36,000","크확+4% ,데미지+18%"
9,"9,000","45,000","크확+5% ,데미지+19%"
10,"10,000","55,000","크확+5% ,데미지+20%"
11,"11,000","66,000","크확+6% ,데미지+21%"
12,"12,000","78,000","크확+6% ,데미지+22%"
13,"13,000","91,000","크확+7% ,데미지+23%"
14,"14,000","105,000","크확+7% ,데미지+24%"
15,"15,000","120,000","크확+8% ,데미지+25%"
16,"16,000","136,000","크확+8% ,데미지+26%"
17,"17,000","153,000","크확+9% ,데미지+27%"
18,"18,000","171,000","크확+9% ,데미지+28%"
19,"19,000","190,000","크확+10% ,데미지+29%"
20,"20,000","210,000","크확+10% ,데미지+30%"
21,"21,000","231,000","크확+11% ,데미지+31%"
22,"22,000","253,000","크확+11% ,데미지+32%"
23,"23,000","276,000","크확+12% ,데미지+33%"
24,"24,000","300,000","크확+12% ,데미지+34%"
25,"25,000","325,000","크확+13% ,데미지+35%"
26,"26,000","351,000","크확+13% ,데미지+36%"
27,"27,000","378,000","크확+14% ,데미지+37%"
28,"28,000","406,000","크확+14% ,데미지+38%"
29,"29,000","435,000","크확+15% ,데미지+39%"
30,"30,000","465,000","크확+15% ,데미지+40%"
31,"10,000,000","10,465,000","크확+16% ,데미지+41%"
32,"20,000,000","30,465,000","크확+16% ,데미지+42%"
33,"30,000,000","60,465,000","크확+17% ,데미지+43%"
34,"40,000,000","100,465,000","크확+17% ,데미지+44%"
35,"50,000,000","150,465,000","크확+18% ,데미지+45%"
36,"100,000,000","250,465,000","크확+18% ,데미지+46%"
37,"200,000,000","450,465,000","크확+19% ,데미지+47%"
38,"300,000,000","750,465,000","크확+19% ,데미지+48%"
39,"400,000,000","1,150,465,000","크확+20% ,데미지+49%"
40,"500,000,000","1,650,465,000","크확+20% ,데미지+50%"
41,"1,000,000,000","2,650,465,000","크확+21% ,데미지+51%"
42,"2,000,000,000","4,650,465,000","크확+21% ,데미지+52%"
43,"3,000,000,000","7,650,465,000","크확+22% ,데미지+53%"
44,"4,000,000,000","11,650,465,000","크확+22% ,데미지+54%"
45,"5,000,000,000","16,650,465,000","크확+23% ,데미지+55%"
46,"10,000,000,000","26,650,465,000","크확+23% ,데미지+56%"
47,"20,000,000,000","46,650,465,000","크확+24% ,데미지+57%"
48,"30,000,000,000","76,650,465,000","크확+24% ,데미지+58%"
49,"40,000,000,000","116,650,465,000","크확+25% ,데미지+59%"
50,"50,000,000,000","166,650,465,000","크확+25% ,데미지+60%"
51,"100,000,000,000","266,650,465,000","크확+26% ,데미지+61%"
52,"200,000,000,000","466,650,465,000","크확+26% ,데미지+62%"
53,"300,000,000,000","766,650,465,000","크확+27% ,데미지+63%"
54,"400,000,000,000","1,166,650,465,000","크확+27% ,데미지+64%"
55,"500,000,000,000","1,666,650,465,000","크확+28% ,데미지+65%"
56,"5,000,000,000,000","6,666,650,465,000","크확+28% ,데미지+66%"
57,"6,000,000,000,000","12,666,650,465,000","크확+29% ,데미지+67%"
58,"7,000,000,000,000","19,666,650,465,000","크확+29% ,데미지+68%"
59,"8,000,000,000,000","27,666,650,465,000","크확+30% ,데미지+69%"
60,"9,000,000,000,000","36,666,650,465,000","크확+30% ,데미지+70%"
61,"50,000,000,000,000","86,666,650,465,000","크확+31% ,데미지+71%"
62,"200,000,000,000,000","286,666,650,465,000","크확+31% ,데미지+72%"
63,"800,000,000,000,000","1,086,666,650,465,000","크확+32% ,데미지+73%"
64,"3,000,000,000,000,000","4,086,666,650,465,000","크확+32% ,데미지+74%"
65,"10,000,000,000,000,000","14,086,666,650,465,000","크확+33% ,데미지+75%"
66,"100,000,000,000,000,000","114,086,666,650,465,000","크확+34% ,데미지+76%"
67,"150,000,000,000,000,000","264,086,666,650,465,000","크확+34% ,데미지+77%"
68,"200,000,000,000,000,000","464,086,666,650,465,000","크확+35% ,데미지+78%"
69,"250,000,000,000,000,000","714,086,666,650,465,000","크확+35% ,데미지+79%"
70,"300,000,000,000,000,000","1,014,086,666,650,465,000","크확+36% ,데미지+80%"
