레벨,소모 RP,누적 RP,효과
1,"10,000,000","10,000,000","슈크확률+0.1%, 슈크데미지+1%"
2,"20,000,000","30,000,000","슈크확률+0.2%, 슈크데미지+2%"
3,"30,000,000","60,000,000","슈크확률+0.3%, 슈크데미지+3%"
4,"40,000,000","100,000,000","슈크확률+0.4%, 슈크데미지+4%"
5,"50,000,000","150,000,000","슈크확률+0.5%, 슈크데미지+5%"
6,"60,000,000","210,000,000","슈크확률+0.6%, 슈크데미지+6%"
7,"70,000,000","280,000,000","슈크확률+0.7%, 슈크데미지+7%"
8,"80,000,000","360,000,000","슈크확률+0.8%, 슈크데미지+8%"
9,"90,000,000","450,000,000","슈크확률+0.9%, 슈크데미지+9%"
10,"100,000,000","550,000,000","슈크확률+1.0%, 슈크데미지+10%"
11,"110,000,000","660,000,000","슈크확률+1.1%, 슈크데미지+11%"
12,"120,000,000","780,000,000","슈크확률+1.2%, 슈크데미지+12%"
13,"130,000,000","910,000,000","슈크확률+1.3%, 슈크데미지+13%"
14,"140,000,000","1,050,000,000","슈크확률+1.4%, 슈크데미지+14%"
15,"150,000,000","1,200,000,000","슈크확률+1.5%, 슈크데미지+15%"
16,"160,000,000","1,360,000,000","슈크확률+1.6%, 슈크데미지+16%"
17,"170,000,000","1,530,000,000","슈크확률+1.7%, 슈크데미지+17%"
18,"180,000,000","1,710,000,000","슈크확률+1.8%, 슈크데미지+18%"
19,"190,000,000","1,900,000,000","슈크확률+1.9%, 슈크데미지+19%"
20,"200,000,000","2,100,000,000","슈크확률+2.0%, 슈크데미지+20%"
21,"1,000,000,000","3,100,000,000","슈크확률+2.1%, 슈크데미지+21%"
22,"5,000,000,000","8,100,000,000","슈크확률+2.2%, 슈크데미지+22%"
23,"20,000,000,000","28,100,000,000","슈크확률+2.3%, 슈크데미지+23%"
24,"100,000,000,000","128,100,000,000","슈크확률+2.4%, 슈크데미지+24%"
25,"1,000,000,000,000","1,128,100,000,000","슈크확률+2.5%, 슈크데미지+25%"
26,"400,000,000,000,000,000","400,001,128,100,000,000","슈크확률+2.6%, 슈크데미지+26%"
27,"500,000,000,000,000,000","900,001,128,100,000,000","슈크확률+2.7%, 슈크데미지+27%"
28,"600,000,000,000,000,000","1,500,001,128,100,000,000","슈크확률+2.8%, 슈크데미지+28%"
29,"700,000,000,000,000,000","2,200,001,128,100,000,000","슈크확률+2.9%, 슈크데미지+29%"
30,"800,000,000,000,000,000","3,000,001,128,100,000,000","슈크확률+3.0%, 슈크데미지+30%"
