레벨,소모 RP,누적 RP,효과
1,"1,000,000,000,000,000,000","1,000,000,000,000,000,000","특성 효과 1% 증폭"
2,"1,200,000,000,000,000,000","2,200,000,000,000,000,000","특성 효과 2% 증폭"
3,"1,300,000,000,000,000,000","3,500,000,000,000,000,000","특성 효과 3% 증폭"
4,"1,500,000,000,000,000,000","5,000,000,000,000,000,000","특성 효과 4% 증폭"
5,"1,800,000,000,000,000,000","6,800,000,000,000,000,000","특성 효과 5% 증폭"
6,"2,000,000,000,000,000,000","8,800,000,000,000,000,000","특성 효과 6% 증폭"
7,"2,400,000,000,000,000,000","11,200,000,000,000,000,000","특성 효과 7% 증폭"
8,"2,800,000,000,000,000,000","14,000,000,000,000,000,000","특성 효과 8% 증폭"
9,"3,200,000,000,000,000,000","17,200,000,000,000,000,000","특성 효과 9% 증폭"
10,"3,700,000,000,000,000,000","20,900,000,000,000,000,000","특성 효과 10% 증폭"
11,"4,300,000,000,000,000,000","25,200,000,000,000,000,000","특성 효과 11% 증폭"
12,"5,000,000,000,000,000,000","30,200,000,000,000,000,000","특성 효과 12% 증폭"
13,"5,800,000,000,000,000,000","36,000,000,000,000,000,000","특성 효과 13% 증폭"
14,"6,700,000,000,000,000,000","42,700,000,000,000,000,000","특성 효과 14% 증폭"
15,"7,700,000,000,000,000,000","50,400,000,000,000,000,000","특성 효과 15% 증폭"
16,"8,900,000,000,000,000,000","59,300,000,000,000,000,000","특성 효과 16% 증폭"
17,"10,300,000,000,000,000,000","69,600,000,000,000,000,000","특성 효과 17% 증폭"
18,"11,900,000,000,000,000,000","81,500,000,000,000,000,000","특성 효과 18% 증폭"
19,"13,800,000,000,000,000,000","95,300,000,000,000,000,000","특성 효과 19% 증폭"
20,"16,000,000,000,000,000,000","111,300,000,000,000,000,000","특성 효과 20% 증폭"
21,"18,500,000,000,000,000,000","129,800,000,000,000,000,000","특성 효과 21% 증폭"
22,"21,400,000,000,000,000,000","151,200,000,000,000,000,000","특성 효과 22% 증폭"
23,"24,800,000,000,000,000,000","176,000,000,000,000,000,000","특성 효과 23% 증폭"
24,"28,700,000,000,000,000,000","204,700,000,000,000,000,000","특성 효과 24% 증폭"
25,"33,200,000,000,000,000,000","237,900,000,000,000,000,000","특성 효과 25% 증폭"
26,"38,400,000,000,000,000,000","276,300,000,000,000,000,000","특성 효과 26% 증폭"
27,"44,400,000,000,000,000,000","320,700,000,000,000,000,000","특성 효과 27% 증폭"
28,"51,400,000,000,000,000,000","372,100,000,000,000,000,000","특성 효과 28% 증폭"
29,"59,400,000,000,000,000,000","431,500,000,000,000,000,000","특성 효과 29% 증폭"
30,"68,500,000,000,000,000,000","500,000,000,000,000,000,000","특성 효과 30% 증폭"
