레벨,소모 RP,누적 RP,최종 데미지,효과
1,"4,000,000,000,000","4,000,000,000,000",5%,"몬스터 HP 100% 기준 최종 데미지 +5%"
2,"5,000,000,000,000","9,000,000,000,000",6%,"몬스터 HP 100% 기준 최종 데미지 +6%"
3,"6,000,000,000,000","15,000,000,000,000",7%,"몬스터 HP 100% 기준 최종 데미지 +7%"
4,"7,000,000,000,000","22,000,000,000,000",8%,"몬스터 HP 100% 기준 최종 데미지 +8%"
5,"8,000,000,000,000","30,000,000,000,000",9%,"몬스터 HP 100% 기준 최종 데미지 +9%"
6,"9,000,000,000,000","39,000,000,000,000",10%,"몬스터 HP 100% 기준 최종 데미지 +10%"
7,"11,000,000,000,000","50,000,000,000,000",11%,"몬스터 HP 100% 기준 최종 데미지 +11%"
8,"12,000,000,000,000","62,000,000,000,000",13%,"몬스터 HP 100% 기준 최종 데미지 +13%"
9,"14,000,000,000,000","76,000,000,000,000",15%,"몬스터 HP 100% 기준 최종 데미지 +15%"
10,"16,000,000,000,000","92,000,000,000,000",17%,"몬스터 HP 100% 기준 최종 데미지 +17%"
11,"19,000,000,000,000","111,000,000,000,000",19%,"몬스터 HP 100% 기준 최종 데미지 +19%"
12,"21,000,000,000,000","132,000,000,000,000",21%,"몬스터 HP 100% 기준 최종 데미지 +21%"
13,"25,000,000,000,000","157,000,000,000,000",24%,"몬스터 HP 100% 기준 최종 데미지 +24%"
14,"28,000,000,000,000","185,000,000,000,000",27%,"몬스터 HP 100% 기준 최종 데미지 +27%"
15,"33,000,000,000,000","218,000,000,000,000",30%,"몬스터 HP 100% 기준 최종 데미지 +30%"
16,"37,000,000,000,000","255,000,000,000,000",34%,"몬스터 HP 100% 기준 최종 데미지 +34%"
17,"43,000,000,000,000","298,000,000,000,000",38%,"몬스터 HP 100% 기준 최종 데미지 +38%"
18,"50,000,000,000,000","348,000,000,000,000",43%,"몬스터 HP 100% 기준 최종 데미지 +43%"
19,"57,000,000,000,000","405,000,000,000,000",49%,"몬스터 HP 100% 기준 최종 데미지 +49%"
20,"65,000,000,000,000","470,000,000,000,000",56%,"몬스터 HP 100% 기준 최종 데미지 +56%"
21,"75,000,000,000,000","545,000,000,000,000",64%,"몬스터 HP 100% 기준 최종 데미지 +64%"
22,"87,000,000,000,000","632,000,000,000,000",72%,"몬스터 HP 100% 기준 최종 데미지 +72%"
23,"100,000,000,000,000","732,000,000,000,000",82%,"몬스터 HP 100% 기준 최종 데미지 +82%"
24,"115,000,000,000,000","847,000,000,000,000",93%,"몬스터 HP 100% 기준 최종 데미지 +93%"
25,"132,000,000,000,000","979,000,000,000,000",106%,"몬스터 HP 100% 기준 최종 데미지 +106%"
26,"151,000,000,000,000","1,130,000,000,000,000",120%,"몬스터 HP 100% 기준 최종 데미지 +120%"
27,"174,000,000,000,000","1,304,000,000,000,000",137%,"몬스터 HP 100% 기준 최종 데미지 +137%"
28,"200,000,000,000,000","1,504,000,000,000,000",155%,"몬스터 HP 100% 기준 최종 데미지 +155%"
29,"230,000,000,000,000","1,734,000,000,000,000",176%,"몬스터 HP 100% 기준 최종 데미지 +176%"
30,"266,000,000,000,000","2,000,000,000,000,000",200%,"몬스터 HP 100% 기준 최종 데미지 +200%"
31,"400,000,000,000,000","2,400,000,000,000,000",228%,"몬스터 HP 100% 기준 최종 데미지 +228%"
32,"1,000,000,000,000,000","3,400,000,000,000,000",260%,"몬스터 HP 100% 기준 최종 데미지 +260%"
33,"2,500,000,000,000,000","5,900,000,000,000,000",296%,"몬스터 HP 100% 기준 최종 데미지 +296%"
34,"6,000,000,000,000,000","11,900,000,000,000,000",338%,"몬스터 HP 100% 기준 최종 데미지 +338%"
35,"15,000,000,000,000,000","26,900,000,000,000,000",385%,"몬스터 HP 100% 기준 최종 데미지 +385%"
36,"400,000,000,000,000,000","426,900,000,000,000,000",439%,"몬스터 HP 100% 기준 최종 데미지 +439%"
37,"500,000,000,000,000,000","926,900,000,000,000,000",500%,"몬스터 HP 100% 기준 최종 데미지 +500%"
38,"600,000,000,000,000,000","1,526,900,000,000,000,000",570%,"몬스터 HP 100% 기준 최종 데미지 +570%"
39,"700,000,000,000,000,000","2,226,900,000,000,000,000",650%,"몬스터 HP 100% 기준 최종 데미지 +650%"
40,"800,000,000,000,000,000","3,026,900,000,000,000,000",741%,"몬스터 HP 100% 기준 최종 데미지 +741%"
