레벨,샤프 소모값,누적 RP
1,"1,000","1,000"
2,"2,000","3,000"
3,"3,000","6,000"
4,"4,000","10,000"
5,"5,000","15,000"
6,"6,000","21,000"
7,"7,000","28,000"
8,"8,000","36,000"
9,"9,000","45,000"
10,"10,000","55,000"
11,"11,000","66,000"
12,"12,000","78,000"
13,"13,000","91,000"
14,"14,000","105,000"
15,"15,000","120,000"
16,"16,000","136,000"
17,"17,000","153,000"
18,"18,000","171,000"
19,"19,000","190,000"
20,"20,000","210,000"
21,"21,000","231,000"
22,"22,000","253,000"
23,"23,000","276,000"
24,"24,000","300,000"
25,"25,000","325,000"
26,"26,000","351,000"
27,"27,000","378,000"
28,"28,000","406,000"
29,"29,000","435,000"
30,"30,000","465,000"
31,"10,000,000","10,465,000"
32,"20,000,000","30,465,000"
33,"30,000,000","60,465,000"
34,"40,000,000","100,465,000"
35,"50,000,000","150,465,000"
36,"100,000,000","250,465,000"
37,"200,000,000","450,465,000"
38,"300,000,000","750,465,000"
39,"400,000,000","1,150,465,000"
40,"500,000,000","1,650,465,000"
41,"1,000,000,000","2,650,465,000"
42,"2,000,000,000","4,650,465,000"
43,"3,000,000,000","7,650,465,000"
44,"4,000,000,000","11,650,465,000"
45,"5,000,000,000","16,650,465,000"
46,"10,000,000,000","26,650,465,000"
47,"20,000,000,000","46,650,465,000"
48,"30,000,000,000","76,650,465,000"
49,"40,000,000,000","116,650,465,000"
50,"50,000,000,000","166,650,465,000"
51,"100,000,000,000","266,650,465,000"
52,"200,000,000,000","466,650,465,000"
53,"300,000,000,000","766,650,465,000"
54,"400,000,000,000","1,166,650,465,000"
55,"500,000,000,000","1,666,650,465,000"
56,"5,000,000,000,000","6,666,650,465,000"
57,"6,000,000,000,000","12,666,650,465,000"
58,"7,000,000,000,000","19,666,650,465,000"
59,"8,000,000,000,000","27,666,650,465,000"
60,"9,000,000,000,000","36,666,650,465,000"
61,"50,000,000,000,000","86,666,650,465,000"
62,"200,000,000,000,000","286,666,650,465,000"
63,"800,000,000,000,000","1,086,666,650,465,000"
64,"3,000,000,000,000,000","4,086,666,650,465,000"
65,"10,000,000,000,000,000","14,086,666,650,465,000"
66,"100,000,000,000,000,000","114,086,666,650,465,000"
67,"150,000,000,000,000,000","264,086,666,650,465,000"
68,"200,000,000,000,000,000","464,086,666,650,465,000"
69,"250,000,000,000,000,000","714,086,666,650,465,000"
70,"300,000,000,000,000,000","1,014,086,666,650,465,000"
