레벨,소모 RP,누적 RP
1,"600,000","600,000"
2,"800,000","1,400,000"
3,"1,000,000","2,400,000"
4,"1,200,000","3,600,000"
5,"1,400,000","5,000,000"
6,"1,600,000","6,600,000"
7,"1,800,000","8,400,000"
8,"2,000,000","10,400,000"
9,"2,200,000","12,600,000"
10,"2,400,000","15,000,000"
11,"2,600,000","17,600,000"
12,"2,800,000","20,400,000"
13,"3,000,000","23,400,000"
14,"3,200,000","26,600,000"
15,"3,400,000","30,000,000"
16,"10,000,000","40,000,000"
17,"20,000,000","60,000,000"
18,"30,000,000","90,000,000"
19,"40,000,000","130,000,000"
20,"50,000,000","180,000,000"
21,"100,000,000","280,000,000"
22,"200,000,000","480,000,000"
23,"300,000,000","780,000,000"
24,"400,000,000","1,180,000,000"
25,"500,000,000","1,680,000,000"
26,"1,000,000,000","2,680,000,000"
27,"2,000,000,000","4,680,000,000"
28,"3,000,000,000","7,680,000,000"
29,"4,000,000,000","11,680,000,000"
30,"5,000,000,000","16,680,000,000"
31,"10,000,000,000","26,680,000,000"
32,"20,000,000,000","46,680,000,000"
33,"30,000,000,000","76,680,000,000"
34,"40,000,000,000","116,680,000,000"
35,"50,000,000,000","166,680,000,000"
36,"100,000,000,000","266,680,000,000"
37,"200,000,000,000","466,680,000,000"
38,"300,000,000,000","766,680,000,000"
39,"400,000,000,000","1,166,680,000,000"
40,"500,000,000,000","1,666,680,000,000"
41,"1,000,000,000,000","2,666,680,000,000"
42,"2,000,000,000,000","4,666,680,000,000"
43,"3,000,000,000,000","7,666,680,000,000"
44,"4,000,000,000,000","11,666,680,000,000"
45,"5,000,000,000,000","16,666,680,000,000"
46,"50,000,000,000,000","66,666,680,000,000"
47,"200,000,000,000,000","266,666,680,000,000"
48,"800,000,000,000,000","1,066,666,680,000,000"
49,"3,000,000,000,000,000","4,066,666,680,000,000"
50,"10,000,000,000,000,000","14,066,666,680,000,000"
51,"200,000,000,000,000,000","214,066,666,680,000,000"
52,"300,000,000,000,000,000","514,066,666,680,000,000"
53,"400,000,000,000,000,000","914,066,666,680,000,000"
54,"500,000,000,000,000,000","1,414,066,666,680,000,000"
55,"600,000,000,000,000,000","2,014,066,666,680,000,000"
