레벨,비용,누적 비용
1,"100,000,000","100,000,000"
2,"200,000,000","300,000,000"
3,"300,000,000","600,000,000"
4,"400,000,000","1,000,000,000"
5,"500,000,000","1,500,000,000"
6,"600,000,000","2,100,000,000"
7,"700,000,000","2,800,000,000"
8,"800,000,000","3,600,000,000"
9,"900,000,000","4,500,000,000"
10,"1,000,000,000","5,500,000,000"
11,"1,100,000,000","6,600,000,000"
12,"1,200,000,000","7,800,000,000"
13,"1,300,000,000","9,100,000,000"
14,"1,400,000,000","10,500,000,000"
15,"1,500,000,000","12,000,000,000"
16,"1,600,000,000","13,600,000,000"
17,"1,700,000,000","15,300,000,000"
18,"1,800,000,000","17,100,000,000"
19,"1,900,000,000","19,000,000,000"
20,"2,000,000,000","21,000,000,000"
21,"2,100,000,000","23,100,000,000"
22,"2,200,000,000","25,300,000,000"
23,"2,300,000,000","27,600,000,000"
24,"2,400,000,000","30,000,000,000"
25,"2,500,000,000","32,500,000,000"
26,"2,600,000,000","35,100,000,000"
27,"2,700,000,000","37,800,000,000"
28,"2,800,000,000","40,600,000,000"
29,"2,900,000,000","43,500,000,000"
30,"3,000,000,000","46,500,000,000"
31,"10,000,000,000","56,500,000,000"
32,"20,000,000,000","76,500,000,000"
33,"40,000,000,000","116,500,000,000"
34,"80,000,000,000","196,500,000,000"
35,"160,000,000,000","356,500,000,000"
36,"100,000,000,000","456,500,000,000"
37,"200,000,000,000","656,500,000,000"
38,"400,000,000,000","1,056,500,000,000"
39,"800,000,000,000","1,856,500,000,000"
40,"1,600,000,000,000","3,456,500,000,000"
41,"1,000,000,000,000","4,456,500,000,000"
42,"2,000,000,000,000","6,456,500,000,000"
43,"4,000,000,000,000","10,456,500,000,000"
44,"8,000,000,000,000","18,456,500,000,000"
45,"16,000,000,000,000","34,456,500,000,000"
46,"50,000,000,000,000","84,456,500,000,000"
47,"200,000,000,000,000","284,456,500,000,000"
48,"800,000,000,000,000","1,084,456,500,000,000"
49,"3,000,000,000,000,000","4,084,456,500,000,000"
50,"10,000,000,000,000,000","14,084,456,500,000,000"
51,"300,000,000,000,000,000","314,084,456,500,000,000"
52,"400,000,000,000,000,000","714,084,456,500,000,000"
53,"500,000,000,000,000,000","1,214,084,456,500,000,000"
54,"600,000,000,000,000,000","1,814,084,456,500,000,000"
55,"700,000,000,000,000,000","2,514,084,456,500,000,000"
