레벨,필요 RP,누적 RP
1,1,1
2,1,2
3,2,4
4,2,6
5,3,9
6,3,12
7,4,16
8,4,20
9,5,25
10,5,30
11,6,36
12,6,42
13,7,49
14,7,56
15,8,64
16,8,72
17,9,81
18,9,90
19,10,100
20,10,110
21,11,121
22,11,132
23,12,144
24,12,156
25,13,169
26,13,182
27,14,196
28,14,210
29,15,225
30,15,240
31,16,256
32,16,272
33,17,289
34,17,306
35,18,324
36,18,342
37,19,361
38,19,380
39,20,400
40,20,420
41,21,441
42,21,462
43,22,484
44,22,506
45,23,529
46,23,552
47,24,576
48,24,600
49,25,625
50,25,650
51,26,676
52,26,702
53,27,729
54,27,756
55,28,784
56,28,812
57,29,841
58,29,870
59,30,900
60,30,930
61,31,961
62,31,992
63,32,"1,024"
64,32,"1,056"
65,33,"1,089"
66,33,"1,122"
67,34,"1,156"
68,34,"1,190"
69,35,"1,225"
70,35,"1,260"
71,36,"1,296"
72,36,"1,332"
73,37,"1,369"
74,37,"1,406"
75,38,"1,444"
76,38,"1,482"
77,39,"1,521"
78,39,"1,560"
79,40,"1,600"
80,40,"1,640"
81,41,"1,681"
82,41,"1,722"
83,42,"1,764"
84,42,"1,806"
85,43,"1,849"
86,43,"1,892"
87,44,"1,936"
88,44,"1,980"
89,45,"2,025"
90,45,"2,070"
91,46,"2,116"
92,46,"2,162"
93,47,"2,209"
94,47,"2,256"
95,48,"2,304"
96,48,"2,352"
97,49,"2,401"
98,49,"2,450"
99,50,"2,500"
100,50,"2,550"
101,51,"2,601"
102,51,"2,652"
103,52,"2,704"
104,52,"2,756"
105,53,"2,809"
106,53,"2,862"
107,54,"2,916"
108,54,"2,970"
109,55,"3,025"
110,55,"3,080"
111,56,"3,136"
112,56,"3,192"
113,57,"3,249"
114,57,"3,306"
115,58,"3,364"
116,58,"3,422"
117,59,"3,481"
118,59,"3,540"
119,60,"3,600"
120,60,"3,660"
121,61,"3,721"
122,61,"3,782"
123,62,"3,844"
124,62,"3,906"
125,63,"3,969"
126,63,"4,032"
127,64,"4,096"
128,64,"4,160"
129,65,"4,225"
130,65,"4,290"
131,66,"4,356"
132,66,"4,422"
133,67,"4,489"
134,67,"4,556"
135,68,"4,624"
136,68,"4,692"
137,69,"4,761"
138,69,"4,830"
139,70,"4,900"
140,70,"4,970"
141,71,"5,041"
142,71,"5,112"
143,72,"5,184"
144,72,"5,256"
145,73,"5,329"
146,73,"5,402"
147,74,"5,476"
148,74,"5,550"
149,75,"5,625"
150,75,"5,700"
151,76,"5,776"
152,76,"5,852"
153,77,"5,929"
154,77,"6,006"
155,78,"6,084"
156,78,"6,162"
157,79,"6,241"
158,79,"6,320"
159,80,"6,400"
160,80,"6,480"
161,81,"6,561"
162,81,"6,642"
163,82,"6,724"
164,82,"6,806"
165,83,"6,889"
166,83,"6,972"
167,84,"7,056"
168,84,"7,140"
169,85,"7,225"
170,85,"7,310"
171,86,"7,396"
172,86,"7,482"
173,87,"7,569"
174,87,"7,656"
175,88,"7,744"
176,88,"7,832"
177,89,"7,921"
178,89,"8,010"
179,90,"8,100"
180,90,"8,190"
181,91,"8,281"
182,91,"8,372"
183,92,"8,464"
184,92,"8,556"
185,93,"8,649"
186,93,"8,742"
187,94,"8,836"
188,94,"8,930"
189,95,"9,025"
190,95,"9,120"
191,96,"9,216"
192,96,"9,312"
193,97,"9,409"
194,97,"9,506"
195,98,"9,604"
196,98,"9,702"
197,99,"9,801"
198,99,"9,900"
199,100,"10,000"
200,100,"10,100"
