블레스,LV,비용,성능
블레스,1,2,명중률+1
블레스,2,2,명중률+2
블레스,3,2,명중률+3
블레스,4,2,명중률+4
블레스,5,2,명중률+5
블레스,6,2,명중률+6
블레스,7,2,명중률+7
블레스,8,2,명중률+8
블레스,9,2,명중률+9
블레스,10,2,명중률+10
블레스,11,2,명중률+11
블레스,12,2,명중률+12
블레스,13,2,명중률+13
블레스,14,2,명중률+14
블레스,15,2,명중률+15
블레스,16,2,명중률+16
블레스,17,2,명중률+17
블레스,18,2,명중률+18
블레스,19,2,명중률+19
블레스,20,2,명중률+20
블레스,21,100,명중률+21
블레스,22,200,명중률+22
블레스,23,300,명중률+23
블레스,24,400,명중률+24
블레스,25,500,명중률+25
블레스,26,600,명중률+26
블레스,27,700,명중률+27
블레스,28,800,명중률+28
블레스,29,900,명중률+29
블레스,30,1000,명중률+30
블레스,31,1500,명중률+31
블레스,32,2000,명중률+32
블레스,33,2500,명중률+33
블레스,34,3000,명중률+34
블레스,35,3500,명중률+35
