드래곤 블러드,LV,비용,성능
드래곤 블러드,1,5,공격력 +1 / 마력 +2
드래곤 블러드,2,10,공격력 +2 / 마력 +4
드래곤 블러드,3,15,공격력 +3 / 마력 +6
드래곤 블러드,4,20,공격력 +4 / 마력 +8
드래곤 블러드,5,25,공격력 +4 / 마력 +8
드래곤 블러드,6,30,공격력 +5 / 마력 +10
드래곤 블러드,7,35,공격력 +5 / 마력 +10
드래곤 블러드,8,40,공격력 +6 / 마력 +12
드래곤 블러드,9,45,공격력 +6 / 마력 +12
드래곤 블러드,10,50,공격력 +7 / 마력 +14
드래곤 블러드,11,55,공격력 +7 / 마력 +14
드래곤 블러드,12,60,공격력 +8 / 마력 +16
드래곤 블러드,13,65,공격력 +8 / 마력 +16
드래곤 블러드,14,70,공격력 +9 / 마력 +18
드래곤 블러드,15,75,공격력 +9 / 마력 +18
드래곤 블러드,16,80,공격력 +10 / 마력 +20
드래곤 블러드,17,85,공격력 +10 / 마력 +20
드래곤 블러드,18,90,공격력 +11 / 마력 +21
드래곤 블러드,19,95,공격력 +11 / 마력 +22
드래곤 블러드,20,100,공격력 +12 / 마력 +24
드래곤 블러드,21,100,공격력 +13 / 마력 +26
드래곤 블러드,22,200,공격력 +14 / 마력 +28
드래곤 블러드,23,300,공격력 +15 / 마력 +30
드래곤 블러드,24,400,공격력 +16 / 마력 +32
드래곤 블러드,25,500,공격력 +17 / 마력 +34
드래곤 블러드,26,600,공격력 +18 / 마력 +36
드래곤 블러드,27,700,공격력 +19 / 마력 +38
드래곤 블러드,28,800,공격력 +20 / 마력 +40
드래곤 블러드,29,900,공격력 +21 / 마력 +42
드래곤 블러드,30,1000,공격력 +22 / 마력 +44
드래곤 블러드,31,1500,공격력 +23 / 마력 +46
드래곤 블러드,32,2000,공격력 +24 / 마력 +48
드래곤 블러드,33,2500,공격력 +25 / 마력 +50
드래곤 블러드,34,3000,공격력 +26 / 마력 +52
드래곤 블러드,35,3500,공격력 +27 / 마력 +54
