드래곤버스터,LV,비용,성능
드래곤버스터,1,1,55%
드래곤버스터,2,1,60%
드래곤버스터,3,1,65%
드래곤버스터,4,1,70%
드래곤버스터,5,1,75%
드래곤버스터,6,1,80%
드래곤버스터,7,1,85%
드래곤버스터,8,1,90%
드래곤버스터,9,1,95%
드래곤버스터,10,1,100%
드래곤버스터,11,1,104%
드래곤버스터,12,1,108%
드래곤버스터,13,1,112%
드래곤버스터,14,1,116%
드래곤버스터,15,1,120%
드래곤버스터,16,1,124%
드래곤버스터,17,1,128%
드래곤버스터,18,1,132%
드래곤버스터,19,1,136%
드래곤버스터,20,1,140%
드래곤버스터,21,1,143%
드래곤버스터,22,1,146%
드래곤버스터,23,1,149%
드래곤버스터,24,1,152%
드래곤버스터,25,1,155%
드래곤버스터,26,1,158%
드래곤버스터,27,1,161%
드래곤버스터,28,1,164%
드래곤버스터,29,1,167%
드래곤버스터,30,1,170%
