드래곤 로어,LV,비용,성능
드래곤 로어,1,1,96%
드래곤 로어,2,1,102%
드래곤 로어,3,1,108%
드래곤 로어,4,1,114%
드래곤 로어,5,1,120%
드래곤 로어,6,1,126%
드래곤 로어,7,1,132%
드래곤 로어,8,1,138%
드래곤 로어,9,1,144%
드래곤 로어,10,1,150%
드래곤 로어,11,1,155%
드래곤 로어,12,1,160%
드래곤 로어,13,1,165%
드래곤 로어,14,1,170%
드래곤 로어,15,1,175%
드래곤 로어,16,1,180%
드래곤 로어,17,1,185%
드래곤 로어,18,1,190%
드래곤 로어,19,1,195%
드래곤 로어,20,1,200%
드래곤 로어,21,1,204%
드래곤 로어,22,1,208%
드래곤 로어,23,1,212%
드래곤 로어,24,1,216%
드래곤 로어,25,1,220%
드래곤 로어,26,1,224%
드래곤 로어,27,1,228%
드래곤 로어,28,1,232%
드래곤 로어,29,1,236%
드래곤 로어,30,1,240%
