엘리멘트 엠플리피케이션,LV,비용,성능
엘리멘트 엠플리피케이션,1,5,마공+5%
엘리멘트 엠플리피케이션,2,10,마공+6%
엘리멘트 엠플리피케이션,3,15,마공+7%
엘리멘트 엠플리피케이션,4,20,마공+8%
엘리멘트 엠플리피케이션,5,25,마공+9%
엘리멘트 엠플리피케이션,6,30,마공+10%
엘리멘트 엠플리피케이션,7,35,마공+11%
엘리멘트 엠플리피케이션,8,40,마공+12%
엘리멘트 엠플리피케이션,9,45,마공+13%
엘리멘트 엠플리피케이션,10,50,마공+14%
엘리멘트 엠플리피케이션,11,55,마공+15%
엘리멘트 엠플리피케이션,12,60,마공+16%
엘리멘트 엠플리피케이션,13,65,마공+17%
엘리멘트 엠플리피케이션,14,70,마공+18%
엘리멘트 엠플리피케이션,15,75,마공+19%
엘리멘트 엠플리피케이션,16,80,마공+20%
엘리멘트 엠플리피케이션,17,85,마공+22%
엘리멘트 엠플리피케이션,18,90,마공+23%
엘리멘트 엠플리피케이션,19,95,마공+24%
엘리멘트 엠플리피케이션,20,100,마공+25%
엘리멘트 엠플리피케이션,21,105,마공+26%
엘리멘트 엠플리피케이션,22,110,마공+27%
엘리멘트 엠플리피케이션,23,115,마공+28%
엘리멘트 엠플리피케이션,24,120,마공+29%
엘리멘트 엠플리피케이션,25,125,마공+30%
엘리멘트 엠플리피케이션,26,130,마공+31%
엘리멘트 엠플리피케이션,27,135,마공+32%
엘리멘트 엠플리피케이션,28,140,마공+33%
엘리멘트 엠플리피케이션,29,145,마공+34%
엘리멘트 엠플리피케이션,30,150,마공+35%
엘리멘트 엠플리피케이션,31,200,마공+36%
엘리멘트 엠플리피케이션,32,300,마공+37%
엘리멘트 엠플리피케이션,33,400,마공+38%
엘리멘트 엠플리피케이션,34,500,마공+39%
엘리멘트 엠플리피케이션,35,600,마공+40%
엘리멘트 엠플리피케이션,36,700,마공+41%
엘리멘트 엠플리피케이션,37,800,마공+42%
엘리멘트 엠플리피케이션,38,900,마공+43%
엘리멘트 엠플리피케이션,39,1000,마공+44%
엘리멘트 엠플리피케이션,40,1100,마공+45%
엘리멘트 엠플리피케이션,41,1500,마공+46%
엘리멘트 엠플리피케이션,42,2000,마공+47%
엘리멘트 엠플리피케이션,43,2500,마공+48%
엘리멘트 엠플리피케이션,44,3000,마공+49%
엘리멘트 엠플리피케이션,45,3500,마공+50%
