홀리심볼,LV,비용,성능
홀리심볼,1,1,경험치 +102%
홀리심볼,2,1,경험치 +104%
홀리심볼,3,1,경험치 +106%
홀리심볼,4,1,경험치 +108%
홀리심볼,5,1,경험치 +110%
홀리심볼,6,1,경험치 +112%
홀리심볼,7,1,경험치 +114%
홀리심볼,8,1,경험치 +116%
홀리심볼,9,1,경험치 +118%
홀리심볼,10,1,경험치 +120%
홀리심볼,11,1,경험치 +122%
홀리심볼,12,1,경험치 +124%
홀리심볼,13,1,경험치 +126%
홀리심볼,14,1,경험치 +128%
홀리심볼,15,1,경험치 +130%
홀리심볼,16,1,경험치 +132%
홀리심볼,17,1,경험치 +134%
홀리심볼,18,1,경험치 +136%
홀리심볼,19,1,경험치 +138%
홀리심볼,20,1,경험치 +140%
홀리심볼,21,1,경험치 +141%
홀리심볼,22,1,경험치 +142%
홀리심볼,23,1,경험치 +143%
홀리심볼,24,1,경험치 +144%
홀리심볼,25,1,경험치 +145%
홀리심볼,26,1,경험치 +146%
홀리심볼,27,1,경험치 +147%
홀리심볼,28,1,경험치 +148%
홀리심볼,29,1,경험치 +149%
홀리심볼,30,1,경험치 +150%
홀리심볼,31,100,경험치 +151%
홀리심볼,32,200,경험치 +152%
홀리심볼,33,300,경험치 +153%
홀리심볼,34,400,경험치 +154%
홀리심볼,35,500,경험치 +155%
홀리심볼,36,600,경험치 +156%
홀리심볼,37,700,경험치 +157%
홀리심볼,38,800,경험치 +158%
홀리심볼,39,900,경험치 +159%
홀리심볼,40,1000,경험치 +160%
홀리심볼,41,1500,경험치 +161%
홀리심볼,42,2000,경험치 +162%
홀리심볼,43,2500,경험치 +163%
홀리심볼,44,3000,경험치 +164%
홀리심볼,45,3500,경험치 +165%
