메디테이션,LV,비용,성능
메디테이션,1,1,마력+1
메디테이션,2,1,마력+2
메디테이션,3,1,마력+3
메디테이션,4,1,마력+4
메디테이션,5,1,마력+5
메디테이션,6,1,마력+6
메디테이션,7,1,마력+7
메디테이션,8,1,마력+8
메디테이션,9,1,마력+9
메디테이션,10,1,마력+10
메디테이션,11,1,마력+11
메디테이션,12,1,마력+12
메디테이션,13,1,마력+13
메디테이션,14,1,마력+14
메디테이션,15,1,마력+15
메디테이션,16,1,마력+16
메디테이션,17,1,마력+17
메디테이션,18,1,마력+18
메디테이션,19,1,마력+19
메디테이션,20,1,마력+20
메디테이션,21,100,마력+21
메디테이션,22,200,마력+22
메디테이션,23,300,마력+23
메디테이션,24,400,마력+24
메디테이션,25,500,마력+25
메디테이션,26,600,마력+26
메디테이션,27,700,마력+27
메디테이션,28,800,마력+28
메디테이션,29,900,마력+29
메디테이션,30,1000,마력+30
메디테이션,31,1500,마력+31
메디테이션,32,2000,마력+32
메디테이션,33,2500,마력+33
메디테이션,34,3000,마력+34
메디테이션,35,3500,마력+35
