메소업,LV,비용,성능
메소업,1,1,메소획득 +3%
메소업,2,1,메소획득 +6%
메소업,3,1,메소획득 +9%
메소업,4,1,메소획득 +12%
메소업,5,1,메소획득 +15%
메소업,6,1,메소획득 +18%
메소업,7,1,메소획득 +21%
메소업,8,1,메소획득 +24%
메소업,9,1,메소획득 +27%
메소업,10,1,메소획득 +30%
메소업,11,1,메소획득 +32%
메소업,12,1,메소획득 +34%
메소업,13,1,메소획득 +36%
메소업,14,1,메소획득 +38%
메소업,15,1,메소획득 +40%
메소업,16,1,메소획득 +42%
메소업,17,1,메소획득 +44%
메소업,18,1,메소획득 +46%
메소업,19,1,메소획득 +48%
메소업,20,1,메소획득 +50%
메소업,21,100,메소획득 +51%
메소업,22,200,메소획득 +52%
메소업,23,300,메소획득 +53%
메소업,24,400,메소획득 +54%
메소업,25,500,메소획득 +55%
메소업,26,600,메소획득 +56%
메소업,27,700,메소획득 +57%
메소업,28,800,메소획득 +58%
메소업,29,900,메소획득 +59%
메소업,30,1000,메소획득 +60%
메소업,31,1500,메소획득 +61%
메소업,32,2000,메소획득 +62%
메소업,33,2500,메소획득 +63%
메소업,34,3000,메소획득 +64%
메소업,35,3500,메소획득 +65%
