분노,LV,비용,성능
분노,1,1,물리공격력 +1 / 마법공격력 +10%
분노,2,1,물리공격력 +1 / 마법공격력 +12%
분노,3,1,물리공격력 +2 / 마법공격력 +14%
분노,4,1,물리공격력 +2 / 마법공격력 +16%
분노,5,1,물리공격력 +3 / 마법공격력 +18%
분노,6,1,물리공격력 +3 / 마법공격력 +20%
분노,7,1,물리공격력 +4 / 마법공격력 +22%
분노,8,1,물리공격력 +4 / 마법공격력 +24%
분노,9,1,물리공격력 +5 / 마법공격력 +26%
분노,10,1,물리공격력 +5 / 마법공격력 +28%
분노,11,1,물리공격력 +6 / 마법공격력 +31%
분노,12,1,물리공격력 +6 / 마법공격력 +33%
분노,13,1,물리공격력 +7 / 마법공격력 +35%
분노,14,1,물리공격력 +7 / 마법공격력 +37%
분노,15,1,물리공격력 +8 / 마법공격력 +39%
분노,16,1,물리공격력 +8 / 마법공격력 +41%
분노,17,1,물리공격력 +9 / 마법공격력 +43%
분노,18,1,물리공격력 +9 / 마법공격력 +45%
분노,19,1,물리공격력 +10 / 마법공격력 +47%
분노,20,1,물리공격력 +10 / 마법공격력 +50%
분노,21,100,물리공격력 +11 / 마법공격력 +51%
분노,22,200,물리공격력 +12 / 마법공격력 +52%
분노,23,300,물리공격력 +13 / 마법공격력 +53%
분노,24,400,물리공격력 +14 / 마법공격력 +54%
분노,25,500,물리공격력 +15 / 마법공격력 +55%
분노,26,600,물리공격력 +16 / 마법공격력 +56%
분노,27,700,물리공격력 +17 / 마법공격력 +57%
분노,28,800,물리공격력 +18 / 마법공격력 +58%
분노,29,900,물리공격력 +19 / 마법공격력 +59%
분노,30,1000,물리공격력 +20 / 마법공격력 +60%
분노,31,1500,물리공격력 +21 / 마법공격력 +61%
분노,32,2000,물리공격력 +22 / 마법공격력 +62%
분노,33,2500,물리공격력 +23 / 마법공격력 +63%
분노,34,3000,물리공격력 +24 / 마법공격력 +64%
분노,35,3500,물리공격력 +25 / 마법공격력 +65%
