무기마스터리,LV,비용,성능
무기마스터리,1,1,명중률+1 / 숙련도 +15%
무기마스터리,2,1,명중률+2 / 숙련도 +15%
무기마스터리,3,1,명중률+3 / 숙련도 +20%
무기마스터리,4,1,명중률+4 / 숙련도 +20%
무기마스터리,5,1,명중률+5 / 숙련도 +25%
무기마스터리,6,1,명중률+6 / 숙련도 +25%
무기마스터리,7,1,명중률+7 / 숙련도 +30%
무기마스터리,8,1,명중률+8 / 숙련도 +30%
무기마스터리,9,1,명중률+9 / 숙련도 +35%
무기마스터리,10,1,명중률+10 / 숙련도 +35%
무기마스터리,11,1,명중률+11 / 숙련도 +40%
무기마스터리,12,1,명중률+12 / 숙련도 +40%
무기마스터리,13,1,명중률+13 / 숙련도 +45%
무기마스터리,14,1,명중률+14 / 숙련도 +45%
무기마스터리,15,1,명중률+15 / 숙련도 +50%
무기마스터리,16,1,명중률+16 / 숙련도 +50%
무기마스터리,17,1,명중률+17 / 숙련도 +55%
무기마스터리,18,1,명중률+18 / 숙련도 +55%
무기마스터리,19,1,명중률+19 / 숙련도 +60%
무기마스터리,20,1,명중률+20 / 숙련도 +60%
무기마스터리,21,100,명중률+21 / 숙련도 +61%
무기마스터리,22,200,명중률+22 / 숙련도 +62%
무기마스터리,23,300,명중률+23 / 숙련도 +63%
무기마스터리,24,400,명중률+24 / 숙련도 +64%
무기마스터리,25,500,명중률+25 / 숙련도 +65%
