라운드,보스,HP,영혼의파편,수호자의돌,혼돈의주문서
1,마노,1해 738경,40,50,5
2,스텀피,1해 5034경,47,51,7
3,데우,2해 1048경,55,52,9
4,킹 슬라임,2해 9467경,64,53,11
5,파우스트,4해 1254경,75,54,13
6,킹크랑,5해 7756경,88,55,15
7,알리샤르,8해 858경,103,56,17
8,타이머,11해 3202경,120,57,19
9,머쉬맘,15해 8483경,140,58,21
10,좀비 머쉬맘,22해 1876경,164,59,23
11,다일,31해 626경,192,60,25
12,파파픽시,43해 4877경,225,61,27
13,리치,60해 8828경,263,62,29
14,디트와 로이,85해 2359경,308,63,31
15,프랑켄로이드,119해 3303경,360,64,33
16,엘리쟈,167해 625경,422,65,35
17,키메라,233해 8875경,493,66,37
18,블루 머쉬맘,327해 4426경,577,67,39
19,스노우맨,458해 4196경,675,68,41
20,크림슨 발록,641해 7875경,790,69,43
21,마뇽,898해 5025경,924,70,45
22,그리프,1257해 9035경,"1,081",71,47
23,피아누스,1761해 649경,"1,265",72,49
24,레비아탄,2465해 4909경,"1,480",73,51
25,도도,3451해 6872경,"1,732",74,53
26,파풀라투스,4832해 3621경,"2,026",75,55
27,릴리노흐,6765해 3070경,"2,371",76,57
28,라이카,9471해 4298경,"2,774",77,59
29,핑크빈,1자 3260해,"3,245",78,61
