라운드,수호자의돌,혼줌,젬,30%주문서
1라운드,1개,0개,20개,1개
2라운드,2개,0개,20개,1개
3라운드,3개,0개,20개,1개
4라운드,5개,0개,20개,1개
5라운드,6개,0개,21개,2개
6라운드,8개,0개,21개,2개
7라운드,9개,0개,21개,2개
8라운드,11개,0개,21개,2개
9라운드,12개,0개,21개,2개
10라운드,14개,0개,22개,3개
11라운드,15개,1개,22개,3개
12라운드,17개,1개,22개,3개
13라운드,18개,1개,22개,3개
14라운드,20개,1개,22개,3개
15라운드,21개,2개,23개,4개
16라운드,23개,2개,23개,4개
17라운드,25개,2개,23개,4개
18라운드,26개,2개,23개,4개
19라운드,28개,2개,23개,4개
20라운드,30개,4개,25개,6개
21라운드,31개,4개,25개,6개
22라운드,33개,4개,25개,6개
23라운드,35개,4개,25개,6개
24라운드,36개,4개,25개,6개
25라운드,38개,5개,26개,7개
26라운드,40개,5개,26개,7개
27라운드,42개,5개,26개,7개
28라운드,43개,5개,26개,7개
29라운드,45개,5개,26개,7개
30라운드,47개,7개,28개,9개
31라운드,49개,7개,28개,9개
32라운드,50개,7개,28개,9개
33라운드,52개,7개,28개,9개
34라운드,54개,7개,28개,9개
35라운드,56개,9개,30개,11개
36라운드,57개,9개,30개,11개
37라운드,59개,9개,30개,11개
38라운드,61개,9개,30개,11개
39라운드,63개,9개,30개,11개
40라운드,65개,11개,32개,13개
41라운드,66개,11개,32개,13개
42라운드,68개,11개,32개,13개
43라운드,70개,11개,32개,13개
44라운드,72개,11개,32개,13개
45라운드,73개,14개,35개,16개
46라운드,75개,14개,35개,16개
47라운드,77개,14개,35개,16개
48라운드,79개,14개,35개,16개
49라운드,81개,14개,35개,16개
50라운드,82개,19개,40개,21개
51라운드,84개,19개,40개,21개
52라운드,86개,19개,40개,21개
53라운드,88개,19개,40개,21개
54라운드,89개,19개,40개,21개
55라운드,91개,24개,45개,26개
56라운드,93개,24개,45개,26개
57라운드,95개,24개,45개,26개
58라운드,97개,24개,45개,26개
59라운드,98개,24개,45개,26개
60라운드,100개,29개,50개,31개
61라운드,102개,29개,50개,31개
62라운드,104개,29개,50개,31개
63라운드,106개,29개,50개,31개
64라운드,107개,29개,50개,31개
65라운드,109개,34개,55개,36개
66라운드,111개,34개,55개,36개
67라운드,113개,34개,55개,36개
68라운드,115개,34개,55개,36개
69라운드,117개,34개,55개,36개
70라운드,118개,39개,60개,41개
71라운드,120개,39개,60개,41개
72라운드,122개,39개,60개,41개
73라운드,124개,39개,60개,41개
74라운드,126개,39개,60개,41개
75라운드,127개,44개,65개,46개
76라운드,129개,44개,65개,46개
77라운드,131개,44개,65개,46개
78라운드,133개,44개,65개,46개
79라운드,135개,44개,65개,46개
80라운드,137개,49개,70개,51개
81라운드,138개,49개,70개,51개
82라운드,140개,49개,70개,51개
83라운드,142개,49개,70개,51개
84라운드,144개,49개,70개,51개
85라운드,146개,54개,75개,56개
86라운드,148개,54개,75개,56개
87라운드,149개,54개,75개,56개
88라운드,151개,54개,75개,56개
89라운드,153개,54개,75개,56개
90라운드,155개,59개,80개,61개
91라운드,157개,59개,80개,61개
92라운드,159개,59개,80개,61개
93라운드,160개,59개,80개,61개
94라운드,162개,59개,80개,61개
95라운드,164개,69개,90개,71개
96라운드,166개,69개,90개,71개
97라운드,168개,69개,90개,71개
98라운드,170개,69개,90개,71개
99라운드,171개,69개,90개,71개
100라운드,180개,99개,120개,101개
